Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Bassett, Scott														-										
Bode, Matthew			-	1	-	-		-	-						-	-	-	1	1	1	-	1		5
Bond, Shane		1	1	1	2	-	3			1			1	1	3	2	2	1	-	1	2	-	3	25
Breuer, Shayne						-	1	-	1	-	2	1	1	-	1	-	1	1	-	1	2	-	1	13
Burgoyne, Peter	-	-	1	-	1	-	-	1	1	1	-	1	-	-	-	1	3	2	-				-	12
Carr, Tom							-																	
Chalmers, Brett	2	-	1	-	1			-	2	1	-			1	-	-	-	-				1	1	10
Cockatoo-Collins, Che	1	-				-	1	1			1	4	2							-	2	-	1	13
Cornes, Chad						-	1	-	-											-	1			2
Daniels, Stephen	1				1	-	-	1	-	1	1	-	-	-	-	-	-	2	1	2	2	1	1	14
Dew, Stuart	-	1	-	1	-	1	1	1	-	-	3	-	1	-	1	1	1	-	-	3	1	-	2	18
Dickie, Donald	1	-	1	1	1	-	-			-	-	1												5
Eagleton, Nathan	-	-	1	1					1	-	2	-	-	1	-				-	1	2	-	-	9
Fiegert, Nigel	-	-	-	1	-																			1
Francis, Fabian	1	-	1	3	2			2	-	-	1	-	1	2	-	1	2	1				-	2	19
Francou, Josh	1	-	2	-	1	1	-	3	1	-	-				1	-	3	2	1	2	4	2	-	24
French, Barnaby	3	1	-	-	2	-	-	2	1	-	-	2	2	1	3	2	-	3	2	1	1		-	26
Harwood, Mark								-	2	-			1	-	-	-	1	1	-	-	-	-		5
James, Roger												-		4	-	-	-	1		2	-	1	-	8
Kingsley, Adam	2	3	1	3	-	4	2	2	1	1	2	3	6	-	1	2	2	1	1	-	4	-	-	41
Lade, Brendon	-	1	-	-	1	1	-			1	1	-	1	2	2	-	-	-	6	3	1	3	2	25
Lockwood, Bowen										1	2	-	-						-			1		4
Lyle, Brayden	-	3	-	1	1			2				1	-	-	1	-	1	-	-	1	1	-	-	12
Mead, Darren	1	1	-	-	-	1	1	-	1		2	3	2	1	1	3	1	2	-	2	-	1	2	25
Murray, Derek					2	-	1																	3
Naish, Chris								1	-															1
Paxman, Stephen	2	2	1	-	4	-	1	2	1	-	2	2	1	1	2	1	1	4	1	3	1	1	1	34
Poole, Darryl				1																				1
Poulton, Jared	1					1	-	2	-	-														4
Primus, Matthew		-	-																					
Schofield, Jarrad	-	-	2	1	1	1	2	-	-	-	-	-	-			-	-	2	2	1	2	2	-	16
Steinberner, Nathan									-	-	-	-	-	-	-	1			-	-	-			1
Stevens, Michael																	-	-						
Stevens, Nick	-	-	4	-	1	-	3	2	1	-	-	3	1	-	1	2	-	1	1	1	1	-	1	23
Tredrea, Warren	2	1	1	-	-	2	1	2	1	-	-	2	1	2	2	2	1	1	-				2	23
Wanganeen, Gavin	4	-	-	2	2	1	1				1	-	-	2					1	2	2	1	-	19
Wilson, Michael	2	-	1	1	1	3	1	-	-	-	3	-	1	-	-	1	1	1	1	-	-	-	2	19
Totals	24	14	18	18	24	16	20	24	14	7	23	23	22	18	19	19	20	27	18	27	29	15	21	460
Opponent	SY	FR	BL	GE	ME	AD	WB	CA	SK	KA	RI	WC	HW	CW	ES	SY	FR	BL	GE	ME	AD	WB	KA	
