Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Bassett, Scott														-										
Bode, Matthew			-	5	3	9		3	4						3	7	6	6	13	10	3	9		81
Bond, Shane		6	3	8	12	2	9			2			6	11	6	17	5	7	11	6	10	8	9	138
Breuer, Shayne						4	7	11	10	11	5	9	1	7	11	2	11	9	6	5	6	9	1	125
Burgoyne, Peter	15	19	10	9	18	15	14	10	11	17	10	14	17	11	16	8	18	9	9				11	261
Carr, Tom							4																	4
Chalmers, Brett	3	2	2	4	3			1	2	1	-			3	12	1	1	1				5	1	42
Cockatoo-Collins, Che	3	6				8	7	8			3	9	4							-	8	7	7	70
Cornes, Chad						-	2	1	-											3	1			7
Daniels, Stephen	6				2	2	2	8	7	7	6	3	2	2	-	2	-	2	2	5	8	5	2	73
Dew, Stuart	4	9	5	5	5	9	4	3	8	13	11	3	5	4	6	2	1	4	7	-	2	14	6	130
Dickie, Donald	7	12	8	9	10	13	3			9	2	1												74
Eagleton, Nathan	4	1	4	6					10	12	4	7	3	12	2				8	10	5	8	1	97
Fiegert, Nigel	10	3	6	8	1																			28
Francis, Fabian	9	14	14	12	18			9	8	13	6	13	11	7	17	11	8	7				4	12	193
Francou, Josh	10	12	6	16	10	12	11	19	15	2	1				14	8	9	10	6	8	17	14	11	211
French, Barnaby	1	-	1	2	6	-	2	6	6	3	-	4	3	1	4	1	-	1	3	5	1		1	51
Harwood, Mark								-	1	12			2	1	5	2	3	5	3	2	3	-		39
James, Roger												3		5	3	5	3	7		9	2	10	6	53
Kingsley, Adam	10	7	18	10	5	17	5	14	11	17	9	12	5	1	11	1	15	6	10	8	14	19	15	240
Lade, Brendon	5	1	-	2	3	8	-			7	11	4	11	8	6	9	9	6	3	7	9	5	5	119
Lockwood, Bowen										3	2	1	4						4			3		17
Lyle, Brayden	16	22	12	14	8			15				10	12	19	14	8	11	16	19	14	19	16	9	254
Mead, Darren	6	6	10	12	13	6	7	7	6		6	11	9	4	5	10	1	9	8	8	8	8	8	168
Murray, Derek					5	6	2																	13
Naish, Chris								2	3															5
Paxman, Stephen	2	3	4	9	6	2	3	2	5	5	6	4	5	6	12	3	7	1	3	3	2	8	5	106
Poole, Darryl				1																				1
Poulton, Jared	3					5	5	5	6	7														31
Primus, Matthew		6	1																					7
Schofield, Jarrad	8	4	12	13	3	5	7	24	5	9	3	4	8			8	14	17	16	8	15	13	2	198
Steinberner, Nathan									4	7	1	12	2	4	4	8			1	3	3			49
Stevens, Michael																	1	1						2
Stevens, Nick	4	4	7	3	10	17	16	14	2	15	14	13	14	18	15	15	8	6	11	17	8	19	4	254
Tredrea, Warren	6	5	4	10	6	6	10	9	10	7	1	8	6	7	5	4	3	4	4				4	119
Wanganeen, Gavin	11	8	11	8	7	7	4				9	8	9	8					7	12	8	14	11	142
Wilson, Michael	7	7	4	8	14	8	9	10	3	8	4	5	7	10	6	4	8	9	4	8	2	20	6	171
Totals	150	157	142	174	168	161	133	181	137	187	114	158	146	149	177	136	142	143	158	151	154	218	137	3573
Opponent	SY	FR	BL	GE	ME	AD	WB	CA	SK	KA	RI	WC	HW	CW	ES	SY	FR	BL	GE	ME	AD	WB	KA	
