Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Bassett, Scott														-										
Bode, Matthew			-	6	4	8		4	7						3	9	6	14	17	9	3	8		98
Bond, Shane		10	7	7	14	3	10			-			7	12	12	12	5	8	8	11	8	5	11	150
Breuer, Shayne						3	7	6	12	10	9	8	1	5	12	9	7	7	7	5	7	7	4	126
Burgoyne, Peter	12	15	16	12	17	16	12	6	12	14	14	15	16	9	14	7	22	11	8				19	267
Carr, Tom							5																	5
Chalmers, Brett	7	2	6	5	6			1	1	2	-			9	7	2	-	-				6	2	56
Cockatoo-Collins, Che	6	10				9	9	9			9	11	10							3	13	7	12	108
Cornes, Chad						2	3	2	-											7	5			19
Daniels, Stephen	6				3	-	2	8	6	8	7	4	2	3	-	3	-	5	2	6	11	2	3	81
Dew, Stuart	3	11	8	7	9	9	4	6	12	17	16	4	8	7	9	4	7	5	8	5	6	8	8	181
Dickie, Donald	6	10	8	15	15	10	2			8	5	1												80
Eagleton, Nathan	4	1	9	8					16	15	14	5	4	11	1				7	10	9	7	-	121
Fiegert, Nigel	9	5	5	9	-																			28
Francis, Fabian	12	15	18	15	15			13	8	14	7	14	17	13	18	10	12	7				2	20	230
Francou, Josh	13	12	12	14	10	15	9	20	19	4	3				14	7	9	12	7	11	15	12	6	224
French, Barnaby	3	2	1	2	8	1	4	4	2	-	-	1	2	3	8	2	1	4	6	5	3		4	66
Harwood, Mark								2	4	12			3	1	4	5	3	6	4	1	4	-		49
James, Roger												1		9	4	10	4	6		10	2	10	13	69
Kingsley, Adam	15	11	20	13	6	22	5	14	17	21	22	16	15	3	12	3	13	8	13	9	11	17	24	310
Lade, Brendon	7	6	-	3	2	10	-			11	15	4	12	13	11	11	9	5	6	14	10	9	9	167
Lockwood, Bowen										5	3	2	5						5			8		28
Lyle, Brayden	17	20	12	11	8			19				9	8	13	15	7	13	16	14	14	16	11	12	235
Mead, Darren	4	7	12	14	13	6	8	8	8		11	9	9	7	7	13	3	10	7	6	7	10	7	186
Murray, Derek					5	10	5																	20
Naish, Chris								2	4															6
Paxman, Stephen	6	5	7	10	9	3	2	6	5	4	9	7	5	7	15	4	8	6	10	6	4	10	9	157
Poole, Darryl				1																				1
Poulton, Jared	8					11	4	9	7	7														46
Primus, Matthew		7	2																					9
Schofield, Jarrad	10	4	14	13	6	4	9	23	5	8	3	4	7			8	12	17	17	13	16	10	5	208
Steinberner, Nathan									4	4	3	5	4	5	6	9			2	3	3			48
Stevens, Michael																	1	-						1
Stevens, Nick	6	4	10	1	12	16	17	16	3	13	19	11	20	23	17	17	12	11	9	18	12	13	7	287
Tredrea, Warren	9	8	8	13	8	10	11	14	14	12	4	10	12	10	12	8	5	10	8				4	190
Wanganeen, Gavin	13	12	16	17	11	9	7				12	5	10	14					12	16	12	14	13	193
Wilson, Michael	8	9	9	8	11	16	9	9	6	7	14	6	11	5	7	3	11	9	4	9	1	10	9	191
Totals	184	186	200	204	192	193	144	201	172	196	199	152	188	182	208	163	163	177	181	191	178	186	201	4241
Opponent	SY	FR	BL	GE	ME	AD	WB	CA	SK	KA	RI	WC	HW	CW	ES	SY	FR	BL	GE	ME	AD	WB	KA	
