Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Bassett, Scott														-										
Bode, Matthew			-	-	-	-		-	-						-	2	-	1	-	-	-	-		3
Bond, Shane		1	2	1	1	-	-			-			-	4	2	1	-	-	-	-	1	-	1	14
Breuer, Shayne						2	-	2	2	1	2	-	1	1	-	1	-	1	1	1	1	-	2	18
Burgoyne, Peter	1	1	-	-	-	1	-	-	3	1	-	-	1	2	-	2	1	-	-				2	15
Carr, Tom							1																	1
Chalmers, Brett	-	-	1	2	-			-	-	-	-			-	-	-	-	-				-	-	3
Cockatoo-Collins, Che	-	-				1	-	-			-	1	-							1	1	-	2	6
Cornes, Chad						1	2	1	-											-	-			4
Daniels, Stephen	3				4	-	5	1	1	-	2	-	2	3	2	2	-	2	-	-	-	-	1	28
Dew, Stuart	1	1	1	1	3	3	1	-	-	1	2	1	1	2	2	-	-	-	1	-	2	-	-	23
Dickie, Donald	2	1	1	2	4	1	-			-	-	-												11
Eagleton, Nathan	-	-	-	-					-	-	1	-	-	-	-				-	-	-	-	-	1
Fiegert, Nigel	1	2	-	1	1																			5
Francis, Fabian	2	-	-	1	-			-	1	-	1	2	2	1	1	-	1	1				2	1	16
Francou, Josh	2	1	1	-	1	-	3	1	-	-	1				-	-	-	5	-	-	-	2	4	21
French, Barnaby	1	-	-	-	4	-	-	-	-	-	-	1	2	1	-	-	1	-	-	1	1		1	13
Harwood, Mark								-	-	-			1	-	-	-	-	-	1	1	2	1		6
James, Roger												2		-	-	-	1	-		2	1	-	-	6
Kingsley, Adam	2	-	1	-	-	4	3	-	1	1	-	2	3	1	1	1	2	1	-	-	-	1	2	26
Lade, Brendon	1	-	-	-	-	-	-			-	3	1	-	-	1	-	1	-	-	3	1	2	-	13
Lockwood, Bowen										-	-	-	-						-			2		2
Lyle, Brayden	-	-	-	-	-			-				1	-	2	1	-	1	1	-	-	2	-	1	9
Mead, Darren	-	3	-	1	-	1	-	2	1		1	2	-	1	1	-	1	-	1	-	-	-	4	19
Murray, Derek					-	1	-																	1
Naish, Chris								-	-															
Paxman, Stephen	-	-	-	-	1	-	-	-	1	1	1	1	1	1	-	-	-	-	2	1	-	-	2	12
Poole, Darryl				-																				
Poulton, Jared	2					2	-	1	-	1														6
Primus, Matthew		1	-																					1
Schofield, Jarrad	-	-	-	1	-	-	3	3	1	-	-	-	-			-	-	1	-	1	2	-	-	12
Steinberner, Nathan									1	-	-	-	-	2	1	-			-	-	1			5
Stevens, Michael																	-	-						
Stevens, Nick	1	1	1	-	1	2	1	3	-	-	4	2	1	2	-	-	1	-	1	1	-	-	1	23
Tredrea, Warren	1	-	1	1	3	2	1	-	3	1	1	-	2	-	1	2	-	-	-				3	22
Wanganeen, Gavin	3	-	-	1	-	1	-				1	-	1	1					3	-	2	-	1	14
Wilson, Michael	1	1	1	-	-	1	1	1	4	-	1	-	1	1	1	1	1	-	2	1	-	4	1	24
Totals	24	13	10	12	23	23	21	15	19	7	21	16	19	25	14	12	11	13	12	13	17	14	29	383
Opponent	SY	FR	BL	GE	ME	AD	WB	CA	SK	KA	RI	WC	HW	CW	ES	SY	FR	BL	GE	ME	AD	WB	KA	
