Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Bassett, Scott														-										
Bode, Matthew			-	-	-	-		-	-						2	-	-	-	3	-	-	2		7
Bond, Shane		-	-	-	-	-	1			-			-	-	-	-	1	1	-	-	1	-	-	4
Breuer, Shayne						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1
Burgoyne, Peter	1	5	5	-	5	2	-	1	1	5	-	2	2	1	5	1	1	-	2				-	39
Carr, Tom							-																	
Chalmers, Brett	-	-	-	-	-			-	-	-	-			-	-	-	-	-				-	-	
Cockatoo-Collins, Che	-	1				-	-	1			-	-	-							-	4	-	-	6
Cornes, Chad						-	-	-	-											-	-			
Daniels, Stephen	-				-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	1
Dew, Stuart	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	1	-	1	-	3	6
Dickie, Donald	-	-	2	-	-	3	-			1	-	-												6
Eagleton, Nathan	-	-	-	-					1	3	-	1	-	-	2				-	-	3	-	-	10
Fiegert, Nigel	-	-	-	-	-																			
Francis, Fabian	-	2	1	-	-			4	-	-	-	-	-	1	1	-	3	7				1	2	22
Francou, Josh	-	3	-	-	1	1	-	-	2	-	-				1	1	-	-	-	-	1	-	-	10
French, Barnaby	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	
Harwood, Mark								-	-	-			-	-	-	2	-	-	-	-	-	-		2
James, Roger												-		-	-	-	-	-		1	-	-	-	1
Kingsley, Adam	-	-	1	1	-	-	-	-	-	5	1	5	-	-	-	-	-	1	1	-	5	5	-	25
Lade, Brendon	-	-	-	-	-	1	-			-	-	-	4	-	2	-	-	-	-	-	2	-	-	9
Lockwood, Bowen										-	-	-	-						-			-		
Lyle, Brayden	2	-	-	-	-			-				-	-	1	1	-	-	-	6	1	5	-	-	16
Mead, Darren	-	-	-	1	-	1	-	-	-		-	-	-	-	-	-	-	1	1	-	-	1	-	5
Murray, Derek					-	-	-																	
Naish, Chris								-	-															
Paxman, Stephen	2	-	-	-	-	-	-	1	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	5
Poole, Darryl				-																				
Poulton, Jared	-					-	1	-	-	1														2
Primus, Matthew		-	-																					
Schofield, Jarrad	-	-	-	2	1	-	3	4	-	-	-	1	-			-	5	-	2	-	5	2	-	25
Steinberner, Nathan									-	-	-	-	-	-	-	-			-	-	-			
Stevens, Michael																	-	-						
Stevens, Nick	1	-	-	1	1	5	4	-	-	-	-	-	-	-	4	3	2	-	1	3	-	9	1	35
Tredrea, Warren	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-				-	1
Wanganeen, Gavin	5	1	-	2	2	8	5				2	-	1	7					2	1	4	2	2	44
Wilson, Michael	-	-	-	-	-	1	-	-	-	1	-	-	-	-	1	-	2	2	-	-	1	-	-	8
Totals	11	12	9	7	10	22	14	11	4	16	4	10	7	10	20	7	15	13	19	6	32	23	8	290
Opponent	SY	FR	BL	GE	ME	AD	WB	CA	SK	KA	RI	WC	HW	CW	ES	SY	FR	BL	GE	ME	AD	WB	KA	
