Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Bassett, Scott														-										
Bode, Matthew			-	3	-	4		-	-						-	1	1	2	5	6	1	3		26
Bond, Shane		4	1	5	4	1	2			-			3	7	3	9	2	3	6	4	2	3	4	63
Breuer, Shayne						2	3	5	8	3	-	4	-	-	7	3	2	6	2	2	-	2	-	49
Burgoyne, Peter	3	2	5	3	5	3	3	2	3	6	-	4	1	1	6	2	11	1	3				2	66
Carr, Tom							4																	4
Chalmers, Brett	1	-	2	3	4			1	2	1	-			3	6	2	-	-				4	-	29
Cockatoo-Collins, Che	3	3				8	6	4			2	7	2							-	6	5	3	49
Cornes, Chad						1	2	2	-											3	2			10
Daniels, Stephen	5				1	-	-	2	5	6	3	1	1	2	-	3	-	3	2	4	6	5	1	50
Dew, Stuart	2	3	5	3	3	1	2	3	3	6	5	1	1	-	1	1	1	-	1	1	-	3	1	47
Dickie, Donald	2	5	6	6	10	3	4			4	1	-												41
Eagleton, Nathan	1	-	4	3					6	2	4	2	1	6	2				2	3	2	3	-	41
Fiegert, Nigel	5	2	2	2	-																			11
Francis, Fabian	3	4	5	6	12			5	2	4	1	4	4	-	5	3	2	2				2	2	66
Francou, Josh	2	3	3	2	4	2	2	3	5	-	-				4	1	3	2	-	-	1	3	2	42
French, Barnaby	-	-	1	2	5	-	-	4	1	-	-	2	3	2	5	-	-	1	4	7	3		3	43
Harwood, Mark								1	2	9			-	-	4	2	3	4	3	2	4	-		34
James, Roger												1		-	2	4	1	4		1	1	5	5	24
Kingsley, Adam	5	-	5	3	2	3	3	7	3	5	4	4	2	-	2	-	5	2	3	3	2	5	3	71
Lade, Brendon	4	4	-	2	1	9	-			5	11	3	8	7	7	9	7	4	4	5	7	3	-	100
Lockwood, Bowen										4	-	1	3						3			3		14
Lyle, Brayden	5	9	7	5	1			6				3	3	6	6	3	2	8	7	5	6	5	3	90
Mead, Darren	-	5	8	9	11	2	3	5	3		3	4	3	2	4	6	2	6	5	5	5	7	5	103
Murray, Derek					4	3	2																	9
Naish, Chris								-	2															2
Paxman, Stephen	2	2	3	5	3	2	1	1	5	3	2	3	4	3	7	3	5	-	5	3	3	6	3	74
Poole, Darryl				1																				1
Poulton, Jared	3					4	2	3	5	4														21
Primus, Matthew		4	-																					4
Schofield, Jarrad	4	-	6	6	1	1	1	10	1	4	-	-	3			3	6	6	4	2	6	3	1	68
Steinberner, Nathan									1	1	-	1	1	2	1	-			1	-	3			11
Stevens, Michael																	-	-						
Stevens, Nick	3	2	4	-	5	-	6	6	2	5	3	4	8	2	7	4	4	4	3	7	4	6	-	89
Tredrea, Warren	4	6	5	9	8	3	9	12	12	9	3	6	8	9	8	4	2	8	5				3	133
Wanganeen, Gavin	2	7	7	5	3	1	1				4	2	3	4					-	4	3	7	6	59
Wilson, Michael	4	4	4	5	3	4	2	2	2	4	-	1	1	2	4	-	5	3	-	3	-	7	3	63
Totals	63	69	83	88	90	57	58	84	73	85	46	58	63	58	91	63	64	69	68	70	67	90	50	1607
Opponent	SY	FR	BL	GE	ME	AD	WB	CA	SK	KA	RI	WC	HW	CW	ES	SY	FR	BL	GE	ME	AD	WB	KA	
