Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Bassett, Scott														-										
Bode, Matthew			-	-	-	-		-	1						-	-	-	2	1	-	-	1		5
Bond, Shane		5	2	1	6	1	9			-			3	5	3	3	-	4	5	1	5	1	3	57
Breuer, Shayne						-	3	1	-	2	-	-	-	-	2	-	-	1	1	2	-	2	-	14
Burgoyne, Peter	1	2	-	-	-	-	-	1	2	4	1	1	-	-	-	-	1	-	-				1	14
Carr, Tom							2																	2
Chalmers, Brett	-	-	3	-	-			-	-	-	-			-	-	-	-	-				1	-	4
Cockatoo-Collins, Che	-	-				-	-	-			-	-	-							-	1	-	1	2
Cornes, Chad						-	-	-	-											-	-			
Daniels, Stephen	3				1	2	-	-	2	6	4	2	1	2	-	3	-	2	-	4	4	1	1	38
Dew, Stuart	1	1	-	-	1	-	1	-	2	1	5	-	-	-	1	-	-	-	-	-	-	-	-	13
Dickie, Donald	-	1	1	1	1	1	-			1	-	-												6
Eagleton, Nathan	1	1	1	-					2	1	3	1	-	1	-				1	1	1	-	-	14
Fiegert, Nigel	-	-	-	2	-																			2
Francis, Fabian	3	8	10	6	6			5	3	1	-	3	5	5	8	-	4	-				1	2	70
Francou, Josh	-	-	1	-	2	-	-	4	2	-	1				1	-	3	-	1	1	-	3	4	23
French, Barnaby	2	-	-	-	1	2	1	1	-	-	-	-	-	-	1	-	-	-	1	-	-		-	9
Harwood, Mark								-	-	3			-	-	-	-	-	-	-	-	-	-		3
James, Roger												-		1	-	-	1	4		-	-	1	4	11
Kingsley, Adam	2	-	1	2	1	1	1	3	1	2	6	1	1	-	-	-	4	2	1	2	-	1	3	35
Lade, Brendon	1	-	-	2	-	1	-			2	4	1	1	4	-	3	3	-	2	7	2	2	1	36
Lockwood, Bowen										-	1	-	-						-			-		1
Lyle, Brayden	3	5	1	1	1			-				2	1	4	-	-	2	4	2	2	3	1	-	32
Mead, Darren	1	2	3	3	3	5	2	1	5		5	4	3	2	1	4	2	1	1	2	2	2	4	58
Murray, Derek					-	1	-																	1
Naish, Chris								-	2															2
Paxman, Stephen	4	2	4	4	5	4	2	5	4	1	1	4	2	3	4	2	4	5	6	3	1	3	3	76
Poole, Darryl				-																				
Poulton, Jared	2					2	-	-	-	3														7
Primus, Matthew		2	-																					2
Schofield, Jarrad	-	-	-	-	1	-	-	2	1	-	-	-	-			-	1	2	3	1	1	-	-	12
Steinberner, Nathan									-	-	1	2	-	-	2	1			-	1	-			7
Stevens, Michael																	-	-						
Stevens, Nick	-	-	-	-	6	1	2	4	-	3	3	2	4	4	4	4	2	1	1	1	1	4	3	50
Tredrea, Warren	-	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-				-	2
Wanganeen, Gavin	6	1	2	1	1	4	3				5	4	4	2					4	6	5	6	2	56
Wilson, Michael	1	2	-	-	1	9	2	-	1	4	-	1	1	-	4	1	5	2	1	3	-	2	1	41
Totals	31	33	29	23	37	34	28	27	28	34	41	28	26	33	31	21	32	30	31	37	26	32	33	705
Opponent	SY	FR	BL	GE	ME	AD	WB	CA	SK	KA	RI	WC	HW	CW	ES	SY	FR	BL	GE	ME	AD	WB	KA	
