Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	GF	Tot
Armitage, David	-	-	-	-	-	-		-													-	-					
Baker, Steven	-	-	-	-	-	-	-	-	-	-	-	-	-												-	-	
Blake, Jason	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Clarke, Raphael				-	-	-	-		-	-	-	-															
Dal Santo, Nick	-	1	-	3	-	-	-	-	-	1	-	-	-	-	-		-	-	-	-	2	-	-	-	-	-	7
Dawson, Zac	-	-	-	-	-	-	-	-	-	-				-	-	-	-	-				-	-	-	-	-	
Dempster, Sean													-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Eddy, Robert					-					-	-	-							-	-			-	-	-	-	
Fisher, Sam			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Gardiner, Michael		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-		
Geary, Jarryn	-	-	-	-	-	-	-	-			-	-	-	-	-	-		-	-	-	-	-					
Gilbert, Sam	-	-	3	-	-	-	-	-	-	-	-	2	-	-	1	-	-	-	-	-	-	-	-	-	-	-	6
Goddard, Brendon	-	2	-	1	-	-	-	-	1	-	3	3	-	1		-	-	-	2	-	-	1	-	-	-	-	14
Gram, Jason	-	-	-	-			-	-							-	-	-	-	-	1	-	-	-	-	-	-	1
Gwilt, James	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Hayes, Lenny	-	-	-	-	-	3	-	2	3	-	-	-	3	-	-	-	2	-	3	3		-	-	-	-	-	19
Heyne, Nick								-	-												-						
Jones, Clinton	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-		-	-		-	-	-	-	-	3
King, Steven	-		-	-	-	-	-																				
Koschitzke, Justin	-				-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	-	-	
Lynch, Tom																		-									
McEvoy, Ben	-	-						-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-		-	
McQualter, Andrew	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	
Miles, Luke																					-	-					
Milne, Stephen	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	-	-		-	-	-	-	3
Montagna, Leigh	1	-	2	-	-	1	-	-	-	3	-	-	1	2	3	-	-	-	-	-	3	-	-	-	-	-	16
Pattison, Adam		-												-	-	-					-						
Peake, Brett	-	-	-	-	-				-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Ray, Farren	-	-	-	-		-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2
Riewoldt, Nick	3	3	-												-	-	-	-	-	2	-	-	-	-	-	-	8
Schneider, Adam	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-		-	-	-	-	3
Stanley, Rhys									-	-	-	-	-	-						-							
Steven, Jack						-	-						-	-	-	-	-	-									
Totals	4	6	6	4	2	4	0	2	6	4	5	6	4	6	4	0	2	0	6	6	5	1	0	0	0	0	83
Opponent	SY	NM	CW	FR	PA	WB	CA	ES	WC	AD	RI	FR	GE	ME	BL	CW	HW	ES	PA	NM	RI	AD	GE	WB	CW	CW	
