Player	R1	R2	R3	R4	R5	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R18	R19	R20	R21	R22	R23	R24	QF	SF	PF	Tot
Bailey, Max								-	-	2		2	1	2	-	1	-	2	1	2	-		-	-	-	13
Bateman, Chance	-	-	-	-	1	-	1	-	-				-	-					-	-		-	-	-	-	2
Birchall, Grant	-	-	1	-	-	-	1	1	2	-	2	-	1	-	-	1	-	-	-	-	-		1	-	-	10
Breust, Luke							1	-	-	-	-	-	1	-	-	-	2	-	-	-	-	-	-			4
Bruce, Cameron	1	1	-	1	-														-	1	-	2				6
Burgoyne, Shaun	1	-	-	-	1	-	-	-	-	-	-	1	-	1	-	-	-	1	-	-	-		1	-	-	6
Cheney, Kyle										1			1	-	1	-	-	-				-				3
Ellis, Xavier			1	1	-	-									-	-	-					-				2
Franklin, Lance	1	1	-	5	-	1	3	3	3		2	3		1	1	2	-	1	3	2	-		2	4	1	39
Gibson, Josh	1	-	-	-	-	3	-	2	2	-	1	-	1	-	1	2	1	1	1	1	-	-	1	-	1	19
Gilham, Stephen	-	-	-	-	2	-	-																			2
Guerra, Brent			-	1	-	1	2	-	2	-	1		-	-	-	-	1	-	-	2	-	-	-	-	-	10
Hale, David	1	1	1	1	1		-					1	3	3	2	3	-	5	4	4	3	-	-	1	1	35
Hodge, Luke		1	1	1	1	2	1	1	-	1	-	2	-	-	1	2		-	-	-	-		2	-	1	17
Johnson, Paul																						-				
Ladson, Rick	-	1	-	-	-	-						-					-	-				-				1
Lewis, Jordan	-	-	-	1	-	-	-	-	-	-	-	-	-			-	2	1	-	2	-		-	-	1	7
Lisle, Jordan										-		1	-	2								1				4
Milne, Riley															1											1
Mitchell, Sam	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-		-	-	-	-	1
Murphy, Tom						1	-	1	2	-	1	-		1	-	1	-	1	-	-	-	1	1	-	-	10
Osborne, Michael	-	-	-				1	1	-	-	-	-	2	1	-	-	-	-			1	-	-	-	-	6
Puopolo, Paul						-	-	1	-	1	-	1	-	-	2	-	1	-	1	1	-	-	-	-	1	9
Renouf, Brent	1	-	1	1	1	1					1															6
Rioli, Cyril	1	-		1	-			1	-	1	-	-	-			1	-	2	1	-	-		-	1	-	9
Roughead, Jarryd	1	1	1	1	3	1	2	2	2	-	2															16
Savage, Shane	-	-	-	2	-	1	-	-	-		-	-	2	-	-	-					-	-				5
Schoenmakers, Ryan								1	1	1	1								2	2	-	-	-	-	-	8
Sewell, Brad	-	-	-	1	-	-	-	-	-	-	1	2	-			-	-	-	1	-	-		1	-	-	6
Shiels, Liam	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	-	-	-	1	-	-	3
Smith, Isaac						-	-					-	1	-	-	-	-	-	-	-	1	-	-	-	-	2
Stratton, Ben	-	-	-																			1		-	-	1
Suckling, Matt	1	-	-	-	-		-	1	-	-	1	-	-	-	-		-	-	-	-	-	1	1	-	-	5
Whitecross, Brendan	-					-	1	-	-	-	-	-	1	1	-	-	-	-	-	-	-	-	-	-	-	3
Young, Clinton	-	1	-	-	-	2				-	-			-	-											3
Totals	9	7	6	17	10	13	13	15	14	7	14	13	14	13	9	13	7	15	14	17	5	6	11	6	6	274
Opponent	AD	ME	RI	WC	GE	PA	SK	SY	WB	FR	GE	GC	ES	CW	BL	ME	FR	NM	PA	CA	WB	GC	GE	SY	CW	
