Player	R1	R2	R3	R4	R5	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R18	R19	R20	R21	R22	R23	R24	QF	SF	PF	Tot
Bailey, Max								2	2	1		-	1	3	1	-	1	-	-	1	-		1	-	-	13
Bateman, Chance	1	-	1	-	-	1	1	-	-				-	-					-	-		1	1	1	1	8
Birchall, Grant	1	1	3	3	2	2	-	8	5	7	2	1	2	3	-	1	2	1	1	6	5		6	1	3	66
Breust, Luke							-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
Bruce, Cameron	3	2	1	1	-														1	-	-	3				11
Burgoyne, Shaun	-	1	2	1	2	-	-	-	-	1	1	2	5	-	4	2	2	4	1	1	-		1	3	7	40
Cheney, Kyle										1			1	1	3	3	4	2				2				17
Ellis, Xavier			4	3	2	1									-	3	-					4				17
Franklin, Lance	-	-	1	-	1	-	1	-	-		-	-		1	1	1	-	-	1	-	-		-	-	-	7
Gibson, Josh	7	1	4	-	2	1	2	1	1	1	2	1	4	4	3	4	4	4	4	5	3	2	1	8	4	73
Gilham, Stephen	5	2	4	-	3	5	-																			19
Guerra, Brent			-	1	3	-	2	2	6	2	5		2	-	4	1	3	3	2	7	4	4	8	2	5	66
Hale, David	1	-	-	-	-		-					1	-	1	-	-	-	-	-	1	-	-	-	-	-	4
Hodge, Luke		4	3	7	3	1	2	1	3	-	-	-	3	8	1	-		-	-	3	2		1	2	3	47
Johnson, Paul																						1				1
Ladson, Rick	-	1	2	-	1	1						1					-	1				-				7
Lewis, Jordan	-	-	2	-	2	-	2	2	-	-	1	1	-			-	1	1	1	3	-		1	2	2	21
Lisle, Jordan										-		3	2	1								1				7
Milne, Riley															1											1
Mitchell, Sam	2	3		3	3	2	-	1	2	3	-	2	2	1	-	1	1	2	1	1		2	-	-	2	34
Murphy, Tom						2	1	4	1	2	1	1		-	-	4	2	2	2	3	-	6	5	2	2	40
Osborne, Michael	-	-	-				-	2	1	-	1	-	-	1	-	2	-	-			-	1	-	1	-	9
Puopolo, Paul						1	-	-	2	1	2	1	-	-	-	-	-	1	1	-	3	3	4	-	-	19
Renouf, Brent	-	-	-	-	-	-					-															
Rioli, Cyril	4	2		1	1			-	-	-	1	-	-			2	-	-	-	-	-		-	3	-	14
Roughead, Jarryd	-	-	-	1	-	1	-	2	1	1	1															7
Savage, Shane	1	2	3	3	2	-	-	2	-		5	2	1	3	-	-					-	2				26
Schoenmakers, Ryan								3	1	3	4								1	2	2	1	7	-	4	28
Sewell, Brad	-	-	1	-	-	1	1	1	-	-	3	-	1			-	-	-	-	-	2		-	1	1	12
Shiels, Liam	1	-	1	2	1	-	1	3	2	-	1	1	-	1	-	1	2	2	2	2	-	1	2	1	1	28
Smith, Isaac						-	1					1	1	-	-	-	1	-	1	-	-	-	2	3	1	11
Stratton, Ben	3	1	4																			-		1	3	12
Suckling, Matt	7	1	8	4	7		5	5	5	1	3	4	4	9	4		-	4	5	4	1	3	6	3	1	94
Whitecross, Brendan	-					-	-	1	-	3	-	-	1	-	1	-	-	1	-	1	-	2	1	2	1	14
Young, Clinton	2	2	1	4	1	2				4	1			1	1											19
Totals	38	23	45	34	36	21	19	40	32	31	34	22	30	38	24	25	23	28	24	40	22	39	47	36	41	792
Opponent	AD	ME	RI	WC	GE	PA	SK	SY	WB	FR	GE	GC	ES	CW	BL	ME	FR	NM	PA	CA	WB	GC	GE	SY	CW	
