Player	R1	R2	R3	R4	R5	R6	R7	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	SF	PF	Tot
Adams, Leigh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
Anthony, Liam										-	-	-			-											
Atley, Shaun	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Bastinac, Ryan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	1
Black, Aaron	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Brown, Ben													1	4	1	4			6	3	2	5	-	-	1	27
Cunnington, Ben	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	1
Currie, Daniel		9	8		3																	36				56
Dal Santo, Nick	1	2	1	2	-	2	-	1	1	-	1	2	2	2	1	1	1	1	-	-	-	-	1	1	2	25
Daw, Majak						5	6	11	6	10	1						5	10								54
Firrito, Michael				-	-	1	-		-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	1
Gibson, Sam	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Goldstein, Todd	34	29	33	38	23	24	43	33	29	22	43	38	31	48	34	39	43	30	29	36	37		39	54	29	838
Greenwood, Levi		-	-	-	-	-	1	-	-	-	-	-	-	-	2	1	-	-		-	-		-	-	-	4
Grima, Nathan	-	-	-	-	-	-	-												-	-	-	-	-	-	-	
Hansen, Lachlan	-	-	-	-	-	-	1	-	-	-	-	-	-		-	-	-	-				-				1
Harvey, Brent	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-				-	-	1
Jacobs, Ben			-	-	-									-	-	-	-	-	-	-	-	-	-		-	
Macmillan, Jamie	-	-	-																			-	-	-		
McDonald, Luke	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-		-	-	-	
McKenzie, Brad	-	-	-	-	-	-	-						-	-		-										
McMahon, Scott	-							-							-	-	-									
Mullett, Aaron	-	-	-	-	-	-	-			-	-	-	-	-		-		-	-		-	-				
Nahas, Robin				-		-		-	-	-	-	-	-													
Petrie, Drew	9	1	-	3	-	-	-	-	-	1	-	6	-	1	-	-	-	-	-	-	-	-	2	-	-	23
Swallow, Andrew								-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Tarrant, Robbie												-														
Thomas, Lindsay	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-		-	-	-	
Thompson, Scott	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Tippett, Joel						-	-	-	-																	
Turner, Kayne																			-		-	-	-	-	-	
Warren, Max														-												
Wells, Daniel	-	-	-	4	2															1		-	-	-	-	7
Wood, Mason																						-				
Wright, Sam	-							-	-		-				-	-	-	-	-	-	-	-	-	-	-	
Ziebell, Jack	-	1				1	-	-	-	-	-	-	1	-			-	-	1	-	-	1	1	-	-	6
Totals	44	42	42	47	29	33	51	45	36	34	45	46	35	55	39	45	49	41	37	40	39	42	43	55	32	1046
Opponent	ES	WB	PA	SY	CW	FR	GC	BL	GE	WC	RI	AD	ME	BL	HW	SK	CA	GE	GW	WB	AD	ME	ES	GE	SY	
