Player	R1	R2	R3	R4	R5	R6	R7	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	SF	PF	Tot
Adams, Leigh	-	-	2	1	-	-	-	-	-	2	1	2	-	-	1	-	1	1	-	-	-	-				11
Anthony, Liam										-	1	-			-											1
Atley, Shaun	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	2
Bastinac, Ryan	-	2	1	-	-	-	1	-	2	-	-	-	1	1	1	2	-	-	1	-	-	-	-	-	1	13
Black, Aaron	-	3	-	-	1	2	1	2	1	1	-	-	-	1	2	-	1	2	-	-	2	1	-	3	-	23
Brown, Ben													-	-	1	2			-	1	1	2	1	1	-	9
Cunnington, Ben	-	1	-	1	-	-	-	-	-	-	-	1	-	1	-	-	1	-	1	1	-	-	-	-	-	7
Currie, Daniel		-	-		-																	-				
Dal Santo, Nick	-	1	-	-	1	-	-	1	1	1	1	-	-	-	1	1	1	-	1	1	1	-	-	-	-	12
Daw, Majak						2	1	4	1	-	1						-	1								10
Firrito, Michael				-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	
Gibson, Sam	-	-	1	-	-	1	-	1	-	-	1	-	-	1	1	-	-	-	-	-	-	-	-	-	-	6
Goldstein, Todd	-	-	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	2	1	-	1		-	1	-	7
Greenwood, Levi		-	-	-	-	1	2	1	-	2	-	1	2	2	-	-	1	2		-	3		-	1	-	18
Grima, Nathan	-	-	-	-	-	-	-												-	-	-	-	-	-	-	
Hansen, Lachlan	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-				-				
Harvey, Brent	1	1	2	1	-	1	-	1	1	1	2	3	-	2	1	-	-	1	-	1				-	1	20
Jacobs, Ben			-	-	1									-	-	1	-	-	-	-	-	-	-		-	2
Macmillan, Jamie	-	-	-																			-	-	-		
McDonald, Luke	-	-	-	1	-	-	-	-	-	-	-	-	1	-	-		1	1	1	-	-		-	-	1	6
McKenzie, Brad	-	-	-	-	-	-	-						-	-		-										
McMahon, Scott	-							-							-	-	-									
Mullett, Aaron	-	1	1	1	-	-	-			-	1	-	-	1		-		-	-		-	-				5
Nahas, Robin				-		1		-	3	1	-	1	3													9
Petrie, Drew	-	1	1	1	1	1	1	4	-	-	1	1	5	1	1	1	1	-	3	3	-	2	2	4	4	39
Swallow, Andrew								1	1	1	1	-	-	-	-	-	-	-	-	-	-	1	1	-	-	6
Tarrant, Robbie												-														
Thomas, Lindsay	-	-	1	2	1	1	-	2	2	-		1	-	-	-	4	-	1	-	2	2		1	3	-	23
Thompson, Scott	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1
Tippett, Joel						-	-	-	-																	
Turner, Kayne																			-		1	-	-	-	-	1
Warren, Max														-												
Wells, Daniel	-	1	1	-	-															-		1	-	-	1	4
Wood, Mason																						1				1
Wright, Sam	2							2	-		-				-	-	-	1	-	-	-	-	-	-	-	5
Ziebell, Jack	-	-				1	-	1	-	-	1	-	2	2			-	1	1	-	5	-	-	-	1	15
Totals	3	11	12	8	5	11	6	20	12	10	11	10	14	12	9	11	7	13	9	9	16	8	7	13	9	256
Opponent	ES	WB	PA	SY	CW	FR	GC	BL	GE	WC	RI	AD	ME	BL	HW	SK	CA	GE	GW	WB	AD	ME	ES	GE	SY	
