Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Allen, Scott													-	-											
Brown, Nathan	-	-	-	1	-							2	1				-	1	1	-	-		1	-	7
Cameron, Leon	2	-	-	-	1	-	1	-								1	-	-	-	-	2	-	-	-	7
Contessa, Adam													3	-	2		-								5
Cook, James			-							-	-	1	-	-	-			-	-	1	-	1	2	-	5
Cox, Simon	-	-						-										-	-	-	1	1	-	-	2
Croft, Matthew			2	1	3	1	2	-	2	1	1	-	4	2	3	-	-	-			-	-	1	-	23
Curley, Todd		1					3	-									2	6	-	-		1	1	-	14
Darcy, Luke	2	-	1	2	-	1	-	2	-	1	-	1	-	1	-	1	-		-	-	1	-	1	-	14
Dent, Matthew	1	1	4	1	1			-	2	-	1	2	2	4	2	1			-	-	-	1	3	3	29
Dimattina, Paul			1	-	-	2	4		2	4	2	-	3	-	1	-			2	1	3	2			27
Ellis, Craig	2	1	4	1	2	3	-	-	-	-	2	-	2	-	1	-	1	1	-	1	-	1	-	2	24
Grant, Chris	2	2	-	1	-	1	-		1	-	2	1	2	4	-	1	2	1	-	3	2	1	1	2	29
Hargraves, Daniel	-	1														-	1								2
Hudson, Paul	2	2	1	-	1	-	2	2	-		-	2	-	-	-	-	2	-				1	-	-	15
Johnson, Brad	2	1	-	2	-	-	1	1	-	1	1	2	1	2	1	2	-	3	1	-	1	1	2	-	25
Kellett, Nigel	1								-	3		1													5
Kolyniuk, Steven	2	1	1	1	2	1	2	1	2	2	-	-	1		-	2		1			3				22
Kretiuk, Steven	2	1									-	-	2	1	-	-	1		1	1	3	1	1	-	14
Lane, Tyson					1									-	1										2
Liberatore, Tony	3	3	4	4	6	2	3	2	6	5	5	5	3	5	5	3	2	7	3	1	5	4	5	4	95
Martin, Michael																			3	-	-	2	1	-	6
Minton-Connell, Simon	1	1	-	1	1	2	-	1	1	1	-	-	-	-	-	-		-							9
Montgomery, Brett		2	1	2		1			-	-	-					3	1	1	2	-	1	-	1	-	15
Powell, Stephen						-	-	-																	
Quill, Peter						-	3	1									4								8
Romero, Jose	3	2	-	1	-	-	-	-	-	-	1	2	1	3	2	1	2	1	-	3	2	2	2	1	29
Round, David			-	-																					
Sir, Sedat				-	2	1	3	2	1	-		-													9
Smith, Rohan	2	1	1	2	1	2	1	2	-	1	2	3	1	1	-	1	1	1	-	3	-	4	1	1	32
Southern, Daniel						1	-	4	-	2	1	3	1	1	-	2	1	1	1	1	-	-			19
Watts, Jason	-			-	-													-							
West, Mark									-	4	1								2	1			4	3	15
West, Scott	4	5	1	1	4	2	3	1	2	2	4	-	1	3	5	1	3	4	3	3	-	3	2	-	57
Wira, Brad	-	3	2	-	-	-	-	1	-	-	-			-	-	-	-	1							7
Wynd, Scott	3	1	2		1	1	1	2	1	-	-	-	2	-	3	3	2	1	3	1	-	1	1	1	30
Totals	34	29	25	21	26	21	29	22	20	27	23	25	30	27	26	22	25	30	22	20	24	27	30	17	602
Opponent	FR	SY	RI	ME	AD	WC	HW	CW	NM	ES	GE	PA	SK	CA	BL	FR	SY	RI	ME	AD	WC	HW	SY	AD	
