Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	Tot
Adkins, Damien						-	-					-	-	1	-	-		-						1
Banfield, Drew	-	-	1	-	-	-	-	-	-	-	-	-	-	2	-	-	2	-		1	3	1	-	10
Braun, Michael	-	-	-	-	-		-	-	-	-	-	-	-	-	1	-	-	-	4	-	-	-	-	5
Carroll, Trent	-	-	1	-	-	-	-	1	-	1			-		1	-		-						4
Chambers, Callum																			2	3	3	-		8
Chick, Daniel			-	2	1	1	1	3		-	-	1	-	3			-	-	1	-	-	3	-	16
Collica, Michael																	1	1	-	3	2			7
Cousins, Ben	-	2	4	2	2	-	-	-	-	3	1	4	1	1	2	2	1	1	1	3	1	2	4	37
Cox, Dean	-	-		-	-	-	-	-	-	-				1	-	-	2	-	1	-	-	-	-	4
Embley, Andrew	2	-	1	-	1	-	1	-	-	-	3	2	-	-	-	1	1				3		4	19
Fletcher, Chad	1	-	-	1	-	-	-	-	1	2	3	3	-	1	-	1				1	2	-	2	18
Gardiner, Michael	-	-	1	-	5	-	-	-	-	-	-	-	1		-	-					-	-	-	7
Gaspar, Travis	-	-	-			-					-													
Glass, Darren				-				-	-	-	-	-	-	-	-	-	3	-		-		-	-	3
Green, Kasey	-	-	1		1	-	-	-	-	-	-	-	-	-	-	1	-	-	-			3	-	6
Haynes, David	-	-	-	1	-	-	-	-	2	-	1	-	-	-	-	-	-	-	1	-			-	5
Humm, Jeremy	-	-						-	2	-	-		-	1										3
Hunter, Adam			-	2	-	-	-	-	-	-	-		-	-	-	-	-	2	-	-	-	-	-	4
Jakovich, Glen	1	-	-	-	-	-	-		-	-	5	2	-	-	2	1	-	1	-	-	3	3		18
Johnson, Paul					-																			
Jones, Rowan	-	-	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	3
Judd, Chris	-	-	-	1	1	-	1	-	-	2	2	1	-	-	5	1	2	-	-	7	5	1	8	37
Kerr, Daniel	2	1	4	-	3			-	2	-	-	2	-	1	-	-	1	1	4	6	5	15	1	48
Matera, Phillip	1	2	1	-	-	-	-	-	-		-				-	-	-	-	-	1	-	-	-	5
McDougall, Andrew												-	-	-	-	-	1	-	-		-	-		1
McIntosh, Ashley	-		-	-	1	-	-	3		-	-	-								-	1	-	-	5
Morrison, Chad	1	-	-	-	1	4	1	-	-			-												7
Munro, Kane						2	-		1	-	-								-					3
Read, Phillip					2	1	-							-			-	-	-	-	-	-	1	4
Sampi, Ashley		-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	1	-		3	-	1	-	7
Selwood, Adam																			-				-	
Sierakowski, David																			1	-			-	1
Staker, Brent																	1	-	-	-	-	-	-	1
Wilson, Troy	-	-										-		-					-					
Wirrpanda, David	-	1	5	2				2	-	1	4	2	-	-	2	2	4	2	2	1	-	1		31
Wooden, Josh	2	-	-	-								-	-		1	-	-							3
Totals	10	6	20	11	18	9	4	9	8	9	19	17	2	12	14	10	20	8	17	30	28	30	20	331
Opponent	PA	HW	SK	AD	FR	ME	GE	CW	RI	ES	WB	BL	KA	SY	CA	PA	HW	SK	AD	GE	ME	FR	AD	
