Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Alvey, Mark										-					5										5
Brown, Nathan						1	1	-	2	1	-	1	-	2	3								-	1	12
Cameron, Leon	-	-	1	2	-	-	-	1	-	-	2	1	2			-	1	-	-	-	-	1	-	2	13
Contessa, Adam							-																		
Cook, James		-	1	-	-									1	1	2	-			1	1	-			7
Cox, Simon					1	2		-	-	-		-						-	-						3
Croft, Matthew	-	1	-	3	1	5	1	-	-	-	1	1	-	-	-	1	-	3	1	-	-	-	3	2	23
Curley, Todd	2	-	-	-	1	-	-	-	-	1	-	-	2	-	-	2	2	1	-	-	1	1	-	2	15
Darcy, Luke	1	-	1	1	-	1	-	-	-	-	2	-	1	2	-	1	2	-	-	-	2	1	1	1	17
Dent, Matthew	-	1	-	5	-	-	-	-	-				-	4	-	1	2	3	4	2	-	1	-	2	25
Dimattina, Paul	-	1	-	-	-						1	-	1	-	-	1	2	2	-		3	-			11
Dooley, Paul	-																								
Ellis, Craig		1	1	-	-	2	-				-					1	-		1	-					6
Garlick, Simon	-	-	-	1	-	-	-	-	-	-	-	2	3	3	1	1	1	2	-	-	4	-	-	2	20
Grant, Chris	2	1	3	1			-	-	-	-	3	1	1	3	2	1	-	-	1	2	-	-	3	2	26
Hudson, Paul	1	-	1	1	-	5	3	-	1	1	2	4	-	-	2	-	3		2	-	3	1	2	4	36
Johnson, Brad	4	2	-	-	-	-	-	1	-	2	-	-	-	-	2	-	-	1	2	2	-	-	3	1	20
Kolyniuk, Steven	2	-	-	-	-	-	1	-	-	-	-	1	3	-	1	1	2	-	1	-	1	1	-	2	16
Kretiuk, Steven	-	-	3	1		2	1	-	-		-	-	2	-	1	1	-	1	-	4	-	-	-	1	17
Lane, Tyson																2	-	1	1	1					5
Liberatore, Tony	-	1	-	1	-																-	-	1	1	4
Martin, Michael	-	-	-	1	-	-	1	1	1	-	2	1	1	2	1	-	-	-	2	-	-	2	1	-	16
Minton-Connell, Simon	1					-		-	-					1	2								2	-	6
Montgomery, Brett	3				-	-	-	-	1	-	2	1	-	-	1	2	-	2	2	1	5	3	3	-	26
Powell, Stephen										-	-	-	2					1	-						3
Romero, Jose	1	1	2	-	3	-	2	-	1	1	1	-	-	-		2	-	4	1	3	-	1	1	3	27
Sir, Sedat										-															
Smith, Rohan	1	1	-	1	-	3	1	1	-	-	-	1	3	-	2	1	-	-	2	1	-	-	-	1	19
Southern, Daniel	2	2	-	-	-	1	2	2	-	-	-	-	1	-	-										10
Watts, Jason																		1							1
West, Mark																				3	-	1	3	-	7
West, Scott	-	-	-	3	2	-	2	2	1	-	1	2	4	3	3	-	3	2	-	7	-	3	-	2	40
Wira, Brad	2	-	-	1	-	1	1	-	-	-	-	1	1	2	-	-	-	1	1	-	2	-	1	-	14
Wynd, Scott		1	-	-	-	1	-	-	-	-	1	-	-	-	-	1	3	-		-	1	-	1	1	10
Totals	22	13	13	22	8	24	16	8	7	6	18	17	27	23	27	21	21	25	21	27	23	16	25	30	460
Opponent	BL	CA	CW	GE	SY	ES	NM	HW	RI	WC	AD	FR	PA	SK	ME	BL	CA	CW	GE	SY	ES	NM	WC	AD	
