Player	R1	R2	R3	R4	R5	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R22	R23	R24	QF	SF	PF	Tot
Atkins, Simon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2
Ballantyne, Jon	-	-	-				-	-								-	-									
Barrow, Gary																			-		-					
Baxter, Darren	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Cameron, Leon							3	-	-																	3
Campbell, Adrian												-	-		-											
Campbell, Tony	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1
Charles, Justin	-	-	2																			10	19		4	35
Coleman, Glenn	-	1	-	4	3	3	-	4	2	1	2	6	2	2	1	-	2	3	-	1	4	2	-	5	3	51
Corcoran, Shannon	-	-	-																-		-	-	-	-	-	
Croft, Matthew																-										
Cuzzupe, John																			-							
Del-Re, Danny				-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Eppelstun, Greg													-													
Foster, Peter	-	-	-	-	-	-	3	-	-	-					-											3
Frost, Michael												-		-	-	-	-							-	-	
Grant, Chris	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	
Hawkins, Doug	-	-	1	-	-	-	-	-		-	2	-	-	-	-		-	-	-	-	-	-	-	-	-	3
Hunter, Mark		-	-	-	-				-	-	-	-	-	-	-	-				-						
Kellett, Nigel	-	-	-	-	-	-				-	-	-	-	-	-						-	-	-	-	-	
Kolyniuk, Steven	-	-	-	-	-	-	-	-	-	-			-	-		-	-	-		-		-	-	-	-	
Kretiuk, Steven											-			-	-	-	-	-	-	-	-	-	-	-		
Liberatore, Tony	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
MacPherson, Stephen	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	
Mansfield, Matthew				-	-	-	-	-	-	-	-	-				-	-	-	-	-	-	-	-	-	-	
Moloney, Troy						-	-	-																		
Reynolds, Keenan									-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	3
Royal, Brian				-	-	-			-	-	-	-	-	-	-	-	-	-		-	-		-			
Sexton, Ben	-		-	-	-													-	-	-						
Smith, Rohan	-	-	-	-	-	-	-	-	-		-	-				-	-	-								
Standfield, Barry	1	-				-	-	1	2	1	-	-	-	-	-	-	-	2	-	-	-	-	2	2	-	11
Toohey, Bernard	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-		-	-	-	-	-	-	-	-	
Wallis, Stephen	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-		-	-	-	-	-	-	-	-	-	1
Wynd, Scott	18	18	22	13	20	17	35	20	20	20	19	14	22	15	17	19	13	19	18	13	18	3		12	6	411
Totals	19	19	25	17	23	20	41	25	24	23	23	20	24	17	18	19	15	24	19	15	22	17	22	20	13	524
Opponent	AD	SK	ES	SY	NM	CA	WC	BB	RI	HW	FI	ME	CW	GE	AD	SK	ES	SY	NM	CA	WC	BB	GE	SK	GE	
