Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Alessio, Steven	1	3	1	1	-	1	1	2	3	1	-	-	-	1	2	1	1	1	-			2	1	-	23
Barnard, Paul			1	1	2	-	1	3	2	2	-	4	2	5	3	-	1	-	1	1	3	4	4	2	42
Berbakov, Peter	-	-	3	1	3	3	1	-																	11
Bewick, Darren	1	3	2	-	1	7	2	3	2	1	2	2	1	6	2	2	7	2	2	1	-	3	2	2	56
Blumfield, Justin	2	2	-	-	-	1	-	1	-	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	8
Bolton, Mark				3																		-			3
Caracella, Blake	-	-	3	2	2	-	-	-	-	-	1	-	-	-	1	-	-	-	-	1	1	-	-	2	13
Denham, Sean					-	3												1	2	-	2	-			8
Doolan, Ben			3		-			2	1	1	-	2													9
Eastaugh, Simon					1	1	1	-		-															3
Fletcher, Dustin	4	7	7	6	2	3			7	6	6	5	1				3	7	6	9	3	2	8	5	97
Fraser, Mark	2	1	-	-	1	2	-		1				1	-	1	1	-		-	2	-	2	-	-	14
Grgic, Ilija		-	-																						
Hardwick, Damien	5	3	6	4			2	8	1	3	4	8	5	4	1			7	3	4	3	2	4	4	81
Heffernan, Chris	2	3	-	4	-	1	2			-	1	1	6	-	-	1	1	1	1	3	-	-	2	-	29
Hird, James	4	-																							4
Jacobs, Danny														-											
Johnson, Jason					-											1				-	-				1
Johnson, Mark	5	2										1	1	-	1	1	3	1	2	1	1	3	-	1	23
Lalich, Judd	2	1												1	-	3	1	-		-	1				9
Lloyd, Matthew	-	-	-	1	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	1
Long, Michael	-	1	2	-				1	1	-	1	3	-	-	1	-	-	-		-	-	-	1	1	12
Lucas, Scott	1	-	3	1	-	3	-	2	3	-															13
McVeigh, Mark	-		-	-					-	-	-		-	-	1										1
Mercuri, Mark	2	1	-	-	-		-	1		-	2	2	1	2	-	1	3	-	-	-	-		-	-	15
Misiti, Joe	2	1				2	4	2	1	2	3	2	-	5	3	1	1	-	1				2	4	36
Moorcroft, Gary					2	-	2	1	1	-	1	2				-	3	-	-	1	1	-	-	-	14
Prior, Michael						-	6	5	3	9	4	6	6	4	4	5	5	7					3	-	67
Ramanauskas, Adam								2	-																2
Rioli, Dean			-		-	-	-	-	-	-	1	-	-	-					-	-	-	-	-	-	1
Solomon, Dean				1	6	-	3	1	2	3	1	-	2	3	1	1	1		2		1	2	3	2	35
Somerville, Peter											1	1	2	2	1	-	-	1	1	1	2	-	2	-	14
Symons, Michael	1	1	2	3	-	2	2	-							1			-	-	-	1	4			17
Ukovic, Andrew	-			3										1	6	6	-	1							17
Wallis, Dean	5	2	-	-	2	2	3	3	-		4	-	-	3	-	-	-	4	-	-	3	-	1	2	34
Wellman, Sean		1	3	3	4	5	2	3	2	4	2	3	2		4	4	-	8	2	5	5	7	6	2	77
Young, Barry	4	4	1	3		6	2		2	3	1	4	2	-	1	1	1		-	-		-	2	2	39
Totals	43	36	37	37	26	42	34	40	32	36	35	46	33	37	34	29	31	41	23	29	27	31	41	29	829
Opponent	CA	KA	SY	WC	CW	RI	ME	SK	HW	AD	GE	BL	WB	FR	PA	CA	KA	SY	WC	CW	RI	ME	SY	CA	
