Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Alessio, Steven	8	5	7	5	4	7	8	7	10	4	5	5	5	5	8	5	4	6	13			5	4	3	133
Barnard, Paul			10	7	3	11	3	7	5	6	7	7	8	5	4	2	10	3	6	6	6	4	7	5	132
Berbakov, Peter	1	1	9	4	2	3	1	-																	21
Bewick, Darren	3	1	5	2	4	3	1	4	3	2	2	3	2	4	8	2	3	1	5	2	1	7	2	3	73
Blumfield, Justin	3	6	11	6	8	6	9	11	9	8	6	5	8	7	4	12	13	6	-	5	9	7	10	2	171
Bolton, Mark				5																		2			7
Caracella, Blake	3	7	12	6	4	3	1	3	1	5	4	4	5	2	3	5	6	7	11	6	7	3	5	9	122
Denham, Sean					9	3												4	7	5	8	6			42
Doolan, Ben			6		2			7	8	4	6	3													36
Eastaugh, Simon					6	2	6	6		-															20
Fletcher, Dustin	2	4	6	2	3	4			4	1	5	2	-				3	3	1	4	3	-	2	2	51
Fraser, Mark	7	3	5	7	9	4	8		2				5	5	15	3	2		13	4	5	13	3	4	117
Grgic, Ilija		1	4																						5
Hardwick, Damien	7	8	7	4			3	2	8	7	4	4	6	10	-			4	4	4	4	9	10	3	108
Heffernan, Chris	4	9	10	13	5	10	5			2	10	5	6	6	3	4	6	1	5	7	1	2	3	2	119
Hird, James	10	1																							11
Jacobs, Danny														-											
Johnson, Jason					3											2				2	4				11
Johnson, Mark	11	7										2	5	3	4	4	7	1	3	5	8	2	12	5	79
Lalich, Judd	4	1												6	3	1	2	3		1	-				21
Lloyd, Matthew	2	4	4	3	1	2	-	4	2	3	2	1	2			2	2	2	3	1	3	6	5	-	54
Long, Michael	6	3	9	-				3	7	12	6	6	5	4	11	3	8	2		5	6	14	7	5	122
Lucas, Scott	8	3	4	-	3	3	2	3	1	-															27
McVeigh, Mark	2		4	-					2	3	3		1	-	2										17
Mercuri, Mark	13	8	6	9	14		4	10		6	12	12	8	10	15	9	10	8	13	12	8		5	8	200
Misiti, Joe	17	8				10	10	9	9	12	10	9	11	7	12	7	10	10	17				13	10	191
Moorcroft, Gary					5	4	2	4	3	7	4	2				6	6	5	1	5	1	5	2	6	68
Prior, Michael						1	3	4	10	1	5	2	2	4	2	3	2	1					3	3	46
Ramanauskas, Adam								2	2																4
Rioli, Dean			4		3	2	6	4	5	5	2	4	1	3					3	4	3	7	3	1	60
Solomon, Dean				2	4	3	3	2	11	3	11	1	10	8	10	3	6		6		5	6	6	5	105
Somerville, Peter											1	3	2	7	4	4	3	1	-	9	4	1	1	4	44
Symons, Michael	5	5	5	9	2	3	1	5							3			4	2	3	5	11			63
Ukovic, Andrew	5			3										2	2	3	1	1							17
Wallis, Dean	7	5	5	3	1	9	5	4	-		2	2	5	5	2	-	3	1	6	4	3	-	4	2	78
Wellman, Sean		7	4	4	5	1	5	3	4	5	6	5	5		4	6	4	5	3	2	1	2	4	5	90
Young, Barry	10	5	12	6		11	8		8	8	4	6	7	15	10	3	7		5	4		6	10	5	150
Totals	138	102	149	100	100	105	94	104	114	104	117	93	109	118	129	89	118	79	127	100	95	118	121	92	2615
Opponent	CA	KA	SY	WC	CW	RI	ME	SK	HW	AD	GE	BL	WB	FR	PA	CA	KA	SY	WC	CW	RI	ME	SY	CA	
