Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Alessio, Steven	-	-	1	1	1	3	3	2	1	2	1	1	1	5	3	-	2	2	3			1	1	-	34
Barnard, Paul			1	1	2	-	-	-	-	1	1	3	-	1	2	1	-	1	2	3	-	-	1	1	21
Berbakov, Peter	1	1	2	1	3	-	-	-																	8
Bewick, Darren	1	4	2	3	-	1	-	1	1	-	2	2	4	2	2	2	3	3	4	-	2	5	2	1	47
Blumfield, Justin	2	1	2	-	3	-	-	1	2	1	1	-	1	1	-	-	3	4	1	1	2	1	2	1	30
Bolton, Mark				2																		-			2
Caracella, Blake	-	1	1	1	4	2	-	1	1	2	2	2	-	-	2	-	-	1	3	2	1	-	1	1	28
Denham, Sean					2	-												-	1	2	-	-			5
Doolan, Ben			1		-			1	1	-	1	-													4
Eastaugh, Simon					3	1	2	5		-															11
Fletcher, Dustin	2	3	1	1	1	-			-	-	1	-	-				-	2	-	2	1	-	1	1	16
Fraser, Mark	1	1	1	-	2	3	2		-				-	-	1	2	-		3	-	-	2	-	-	18
Grgic, Ilija		-	-																						
Hardwick, Damien	2	2	3	3			1	2	1	-	2	1	3	1	-			-	1	1	2	3	1	1	30
Heffernan, Chris	1	1	-	3	4	6	3			2	1	-	2	3	1	-	-	-	1	3	-	-	-	3	34
Hird, James	4	1																							5
Jacobs, Danny														-											
Johnson, Jason					1											-				1	2				4
Johnson, Mark	-	-										1	1	-	2	-	2	-	1	2	3	-	1	2	15
Lalich, Judd	-	1												4	1	1	1	1		1	1				11
Lloyd, Matthew	1	1	2	3	-	1	-	2	1	2	-	-	1			1	1	1	-	2	1	2	3	1	26
Long, Michael	2	1	-	-				2	2	2	2	-	-	1	1	2	-	1		2	2	1	-	1	22
Lucas, Scott	-	2	3	2	2	-	2	-	2	-															13
McVeigh, Mark	-		2	1					-	-	1		-	-	1										5
Mercuri, Mark	2	1	-	-	3		-	3		1	1	-	2	2	2	-	1	2	2	2	1		1	1	27
Misiti, Joe	1	1				3	1	1	2	1	1	-	2	5	1	1	2	-	3				3	2	30
Moorcroft, Gary					2	1	1	1	1	4	-	1				3	1	3	-	-	-	-	2	3	23
Prior, Michael						-	1	1	-	-	3	-	1	1	1	4	-	3					-	1	16
Ramanauskas, Adam								4	-																4
Rioli, Dean			1		-	1	2	1	2	2	-	1	4	1					-	1	-	1	1	-	18
Solomon, Dean				-	3	-	-	1	-	-	1	1	2	1	3	-	2		1		1	2	1	4	23
Somerville, Peter											-	-	-	2	1	1	-	-	-	4	2	-	1	1	12
Symons, Michael	1	4	2	2	1	3	1	3							1			-	-	-	3	3			24
Ukovic, Andrew	-			1										1	2	-	1	-							5
Wallis, Dean	2	2	-	1	-	3	-	-	-		-	-	3	1	1	-	4	-	-	-	1	1	3	1	23
Wellman, Sean		2	2	1	1	3	3	-	1	1	-	-	2		2	1	1	1	-	2	-	2	1	3	29
Young, Barry	1	-	3	2		2	-		2	3	3	1	2	2	2	-	1		3	2		1	-	2	32
Totals	24	30	30	29	38	33	22	32	20	24	24	14	31	34	32	19	25	25	29	33	25	25	26	31	655
Opponent	CA	KA	SY	WC	CW	RI	ME	SK	HW	AD	GE	BL	WB	FR	PA	CA	KA	SY	WC	CW	RI	ME	SY	CA	
