Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Alessio, Steven	8	9	6	12	7	7	10	7	12	5	5	4	7	4	8	9	5	9	13			9	6	2	164
Barnard, Paul			3	5	3	10	6	7	3	6	1	9	3	2	2	1	12	7	7	8	4	4	5	9	117
Berbakov, Peter	5	3	10	3	2	6	1	4																	34
Bewick, Darren	7	5	7	4	7	4	1	12	7	2	1	5	1	4	8	7	4	5	6	3	6	5	5	5	121
Blumfield, Justin	6	9	15	10	6	6	9	7	15	10	6	6	7	9	3	14	12	6	-	8	8	9	11	5	197
Bolton, Mark				5																		3			8
Caracella, Blake	5	8	14	6	5	7	1	2	3	13	7	5	8	3	5	7	10	7	12	12	11	3	7	6	167
Denham, Sean					4	4												11	4	8	7	2			40
Doolan, Ben			4		-			6	5	7	2	2													26
Eastaugh, Simon					8	6	5	3		-															22
Fletcher, Dustin	5	4	7	6	5	8			6	5	11	4	-				6	6	4	10	6	1	5	9	108
Fraser, Mark	4	4	4	7	5	4	4		3				2	2	9	7	3		10	2	6	12	4	1	93
Grgic, Ilija		3	6																						9
Hardwick, Damien	7	9	7	7			7	7	9	13	2	11	11	10	1			9	9	7	7	13	7	10	163
Heffernan, Chris	7	9	10	12	5	12	6			6	7	8	11	8	3	5	6	5	3	11	12	7	7	5	165
Hird, James	7	3																							10
Jacobs, Danny														-											
Johnson, Jason					3											3				7	3				16
Johnson, Mark	9	3										2	8	8	6	6	13	2	6	6	6	6	10	6	97
Lalich, Judd	2	1												9	3	3	-	3		1	3				25
Lloyd, Matthew	8	10	12	8	11	9	4	7	8	6	7	3	2			6	6	3	7	5	9	7	8	8	154
Long, Michael	8	5	7	-				6	5	13	6	8	5	5	9	2	9	2		9	4	10	5	12	130
Lucas, Scott	7	5	5	3	7	8	4	3	10	2															54
McVeigh, Mark	1		4	1					2	3	-		4	4	4										23
Mercuri, Mark	7	6	7	7	10		8	10		5	8	13	15	18	11	10	7	8	14	6	12		7	12	201
Misiti, Joe	9	9				11	8	11	10	15	9	6	9	5	6	4	7	7	13				12	9	160
Moorcroft, Gary					6	7	10	6	10	9	5	5				7	12	4	4	6	3	6	8	8	116
Prior, Michael						-	5	6	8	4	3	3	3	3	3	7	6	4					1	3	59
Ramanauskas, Adam								5	-																5
Rioli, Dean			4		3	4	4	4	12	5	7	7	4	5					7	7	3	14	5	5	100
Solomon, Dean				2	9	4	4	1	8	7	9	1	10	13	10	6	9		9		7	2	7	5	123
Somerville, Peter											6	7	1	4	5	3	4	1	1	7	2	2	3	1	47
Symons, Michael	3	8	2	10	1	1	2	3							1			4	3	4	6	8			56
Ukovic, Andrew	6			5										6	7	5	-	1							30
Wallis, Dean	5	7	-	4	1	5	3	5	1		4	5	7	10	3	6	2	3	8	8	4	2	6	4	103
Wellman, Sean		5	6	7	9	4	8	6	5	10	9	2	6		4	7	2	14	7	5	8	2	3	4	133
Young, Barry	8	2	8	7		8	4		11	7	8	4	5	9	6	3	7		5	3		3	10	4	122
Totals	134	127	148	131	117	135	114	128	153	153	123	120	129	141	117	128	142	121	152	143	137	130	142	133	3198
Opponent	CA	KA	SY	WC	CW	RI	ME	SK	HW	AD	GE	BL	WB	FR	PA	CA	KA	SY	WC	CW	RI	ME	SY	CA	
