Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Alessio, Steven	2	-	-	4	2	-	1	1	1	2	-	1	3	1	3	-	1	3	1			-	-	-	26
Barnard, Paul			-	1	1	2	-	-	-	3	1	1	-	3	1	1	1	-	1	3	-	-	-	1	20
Berbakov, Peter	2	-	-	-	-	2	1	-																	5
Bewick, Darren	-	1	1	1	-	1	-	-	-	1	-	-	1	-	-	1	1	1	1	2	-	-	-	1	13
Blumfield, Justin	1	1	-	1	-	-	-	1	1	1	1	-	-	-	-	-	1	2	2	1	2	1	1	-	17
Bolton, Mark				-																		-			
Caracella, Blake	-	2	-	-	-	1	-	-	2	5	1	-	2	3	1	-	1	1	1	-	-	1	-	-	21
Denham, Sean					-	1												3	2	2	-	2			10
Doolan, Ben			-		-			-	1	1	2	-													4
Eastaugh, Simon					3	5	1	1		2															12
Fletcher, Dustin	2	1	1	1	-	-			2	-	1	-	1				-	1	-	-	3	1	1	1	16
Fraser, Mark	1	-	-	1	-	-	-		-				-	-	-	-	-		1	-	-	1	-	1	5
Grgic, Ilija		-	2																						2
Hardwick, Damien	-	2	1	5			-	2	2	-	-	2	-	-	-			-	3	1	-	1	-	1	20
Heffernan, Chris	1	2	1	3	-	-	4			1	1	-	1	-	-	1	1	1	1	2	-	4	-	2	26
Hird, James	1	2																							3
Jacobs, Danny														-											
Johnson, Jason					-											2				-	1				3
Johnson, Mark	1	1										1	-	1	2	2	1	-	1	2	1	2	1	-	16
Lalich, Judd	2	-												2	2	-	-	-		1	-				7
Lloyd, Matthew	1	2	-	2	1	1	-	3	2	1	-	-	-			-	-	3	2	4	2	-	2	-	26
Long, Michael	-	1	2	-				1	1	-	1	1	1	-	1	-	2	-		1	1	2	-	1	16
Lucas, Scott	3	-	2	2	1	-	-	-	1	-															9
McVeigh, Mark	1		-	2					2	-	1		-	-	1										7
Mercuri, Mark	2	1	-	4	-		1	2		1	-	2	1	3	2	1	3	3	2	1	1		-	2	32
Misiti, Joe	1	-				3	1	1	1	2	1	2	1	-	-	1	1	1	-				1	-	17
Moorcroft, Gary					2	-	4	2	1	3	2	1				-	1	1	2	2	-	2	3	1	27
Prior, Michael						-	-	1	1	-	1	1	2	-	1	1	-	1					3	-	12
Ramanauskas, Adam								-	-																
Rioli, Dean			-		-	-	-	2	1	4	-	-	1	-					1	3	1	2	-	-	15
Solomon, Dean				1	1	2	4	2	1	-	2	1	3	1	1	1	3		1		1	-	-	1	26
Somerville, Peter											2	-	1	2	3	4	-	1	-	-	1	1	1	2	18
Symons, Michael	-	-	-	2	-	-	-	-							-			1	1	-	1	1			6
Ukovic, Andrew	-			-										-	-	2	-	-							2
Wallis, Dean	2	1	-	2	-	2	3	-	1		-	-	3	1	-	1	1	2	3	1	-	3	-	4	30
Wellman, Sean		-	-	-	3	-	1	-	1	-	-	-	1		1	1	2	1	1	-	-	1	1	1	15
Young, Barry	1	-	2	-		-	-		1	2	3	1	-	-	-	-	1		3	1		-	2	-	17
Totals	24	17	12	32	14	20	21	19	23	29	20	14	22	17	19	19	21	26	30	27	15	25	16	19	501
Opponent	CA	KA	SY	WC	CW	RI	ME	SK	HW	AD	GE	BL	WB	FR	PA	CA	KA	SY	WC	CW	RI	ME	SY	CA	
