Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	Tot
Archer, Glenn	1	2	1	4	3	-	1	1	4		1	2	4	3	-	2	3	5	6	-	1	1	-	45
Baird, John						-												-		-	-			
Brown, Leigh	1	-	-	-	-	1	-	1	-	-	-	1	-	-	-	-	-	1	-	-	1	-	-	6
Colbert, Leigh	-	1	-	-	1		3	-	-	-	-	-	-	1	1	2	-	-	-		1	-	-	10
Firrito, Michael	1	-	3	2	3	2	2	5	1	3	3	-	-	-	-	1	-	-	-	4	1	2	-	33
Grant, Shannon	5	3	4	1	2	-	2	-	4	3	4	1	1	2	2	4	2	2	-	1	3	4	3	53
Grima, Blake			1	1	-																			2
Hale, David	1	3	-	1	2	3	-	3	3	1	2	-	-	1	2	-	1	2	2	2	1	2	7	39
Harding, Leigh	-							-		2	1	-	-	2	-	1	1	1	-	-	-	1	1	10
Harris, Daniel	3	4	4	2	8	8	4	9	7	1		4	6	4	6	9	8	3	3	2	5	9	6	115
Harvey, Brent	2	4	1	1	3	4	1	4	3	3	2	7	2	5	2	1	3	2	3	1	-	3	5	62
Jones, Corey	1	2	3	1	1	1	4	3	1	1	-	-	1	1	3	1	4	1	3	4	3	-	1	40
LeCras, Brent									-	-		-	-											
Makepeace, Troy	1	2	2	-	-	2	1	1	2	2	2	1	1	1	-	1	-	3	-	-	1	-	1	24
McIntosh, Hamish						-																		
Motlop, Daniel												-	-	-										
Perkins, Justin									2	2	-									-				4
Petrie, Drew	5	1	2	1	-		3	-	3	1	2	2	2	3	4	2	4	4	5	5	2	2	2	55
Picioane, Lance	2	1	1	5	2	2	4			1	1	-	-	4	1							2	-	26
Pratt, Daniel	1	-	2	-	-	1	-	-						-	-	-	-	-	2	2	-	-		8
Rawlings, Brady	2	2				3	1	1	1	1	1	-	1	2	4	1	2	2	2	-	2	-	1	29
Rocca, Saverio	-	-	-	1	-	-	1	-	-		-			1	-	1	-	-	-	-	1	-	-	5
Sansbury, Eddie		1	1	1	-	-	1	-							5	2	-							11
Simpson, Adam	3	3	6	4	1	8	4	7	3	3	3	3	4	3	3	11	8			5	5	1	4	92
Sinclair, Jess	1	-	3	-	3	3	3	2	-	2	1	-	1			1	1	1	1	4	-		2	29
Smith, Jesse								-	1	1	1	-							-					3
Stevens, Michael	1	-	-	1	1	-	1	3	1	-	-		1	1	-	-	1	-	-			2	-	13
Thompson, Nathan	-	1	-	-	1	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-	1	-	-	5
Trotter, David																		-	1	-				1
Urch, Callum																					-	1	2	3
Watson, Ashley															1									1
Watt, Shannon	-	-	-	-	-	-	-		1	2	-	-	-	-	-	-	1	-	-	-	1	-	-	5
Wells, Daniel	4	2	2	1	2	3	1	-	3	5	2	1	1	1		5	2	-	5	4	3	5	5	57
Totals	35	32	36	27	33	41	37	41	40	34	26	22	25	36	34	45	41	27	33	34	32	35	40	786
Opponent	CA	SY	SK	CW	HW	AD	PA	WB	GE	BL	ME	RI	FR	ES	WC	HW	AD	PA	CW	SK	SY	CA	PA	
