Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Alessio, Steven	4	13	4	5	3	10	5	7	4	-		10	1	3	6	8	10	2	4	5	4	4	6	4	3	125
Barnard, Paul	5	14	8	8	12		6	15	10	5	4	9	11	11	4		12	1	7	5		7	10	6	12	182
Barnes, John	11	14	5	11	8	7	8	10	5	4	6	1	11	4	7	12	5	6	9	14	7		9	4	10	188
Bewick, Darren	8	15	9	18	8	7	9	12	11	5	8							12	12	11	9	10	15	9	7	195
Blumfield, Justin	9	5	12	8	7	10	5	10		11	8	17	11	8	16	11	5	8	5	16	6	7	12	7	14	228
Bolton, Mark																						4				4
Caracella, Blake	9	8	3		15	16	16	19	7	10	12	11	15	6	13	8	11	14	8	13	9	12	13	9	13	270
Denham, Sean	14	13	3		8	9								6	4		9					9				75
Fletcher, Dustin	10	9	8	7	12	11	9	18		15	13	21	13	10	14	15	14	6	8		13	10	12	17	11	276
Fraser, Mark			6	5												3	4									18
Hardwick, Damien	16	6	17	16	18	9	15	10	15	14	12	9	8	8	11	9	9	10	10	12	2		15	8	11	270
Heffernan, Chris	11	5	4	11	6	5	12	10	11	16	15	12	13	5	9	4					9	12	10	5	9	194
Henneman, Aaron											11	5			5	7	2	9	6	2						47
Hird, James	14	15	8	22	16	3	20	14	26	11	15	13	22	15	6				15	14			13	8	24	294
Jacobs, Danny						5			7	9	9	5	4	3			3	1								46
Johnson, Jason	17	18	9	16	15	15	16	14	6	11	18	12	8	6	20	16	8	15	6	17	17	10	12	7	8	317
Johnson, Mark	13	7	14	6	11	10	10	6	8	14	20	17	16	13	12	17		17	12	9	14	12	-	2	9	269
Lloyd, Matthew	11	15	14	11	9	11	13	16	12	8	15	18	8	14	14	16	12	18	13	10	12	12	16	11	14	323
Long, Michael	9	10	13	10			11	10	8	14	4	4	10	15	6	12	11	6	11	7	18	11	18	6	6	230
Lucas, Scott			6	14	15	11	16	9	9	9	7	7	12	13	9	14	13	18	20	6	10	16	15	8	8	265
McVeigh, Mark																						2				2
Mercuri, Mark	7			14	5		10	16	12	10	12	13	9		4	16	14	5	15	10	9		7	9	11	208
Misiti, Joe	11	5	14	18	8	11	14	13	9	13	8	9	22	10	10	9	11	13	14	8	16	20	21	13	12	312
Moorcroft, Gary				6	3	12	9	14	5			14	3			6	6	8	8	3	13	9	19	2	4	144
Prior, Michael				4		5		10	5					6	14	5	11	9			10	6				85
Ramanauskas, Adam	4	9	5		11	6	7	14	9	6	17	8	5	3	6	14	9	7	15	12	10	10	10	15	9	221
Rioli, Dean	2	2																	11	9	8					32
Robran, Jonathon		4																		12	3	11				30
Solomon, Dean	7	8	6	14	15	9	4	3	6	3	7	8	7	4	5	10	12	8	3	11	6	7	7	15	11	196
Wallis, Dean	7	8	3	3	6	6	3		14	8	-		6	-		3							3	1	8	79
Wellman, Sean	14	8	8	6	13	14	12	6	7	12	6	9	7	6	11	13	7	8	6	8	8	9	9	12	12	231
Totals	213	211	179	233	224	202	230	256	206	208	227	232	222	169	206	228	198	201	218	214	213	210	252	178	226	5356
Opponent	PA	RI	FR	HW	CA	WB	CW	BL	ME	AD	GE	SK	KA	SY	WC	PA	RI	FR	HW	CA	WB	CW	KA	CA	ME	
