Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	GF	Tot
Akermanis, Jason	1	-	-	-	1	-	-	-	1	-	1	-	-	-	-		-	-	-	-	1	-	-	1	-	-	6
Ashcroft, Marcus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-		-	1
Black, Simon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1
Bradshaw, Daniel	1	-	1		4	-	1	-	3	-	-		1	-	1	1	2	2	2	1	3	-	-	-	1	2	26
Brennan, Jared				1	2	1	3	-			-	1															8
Brown, Jonathan	-	1		4	1	-			-					3	2	2	3	2	6	5	1	3	2	2	3	4	44
Caracella, Blake	-		-					1	1	3	-	-				1	-	1	2	-	-	-	-	-	1	-	10
Charman, Jamie	-	-	1	-	-	3	1	2	1	-	3	1	2	-	-	2	-	1	-	1	-	1	1	1	2	1	24
Copeland, Robert									-	-	1	-	-	-	-	1	-	-	1	-	-	-	-	-	-	1	4
Gram, Jason													-	-													
Hadley, Richard																								-	-	-	
Hart, Shaun	-	-	-	2	-	-	-	-	-	-		-	-	1	-	-	-	-	1	-	-	-	-	1	-	-	5
Johnson, Chris	1	-	-	1	-	1	1	-	-	1	-	-	-						-	2	1	-	-	-	-	1	9
Keating, Clark															-	-	2	-	-	2	1	-	-	1	1	-	7
Lappin, Nigel	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-					-	-	-	-	-	-	-	2
Leppitsch, Justin	1	3	2	2	1	-	1	1	2	2	-	-	1	1	4	-					3	1	1	-	-	1	27
Lynch, Alastair	2	-		-			1	4	-	2	4	3	2		2	1	1	1	2	-	1	1	1	3	3	5	39
McDonald, Beau			-	-	-		2		-	-	1		-	-													3
McGrath, Ashley		-	1	-	1	-	-			-	-	-	-	1	1	-	-	-	2	-		-	1	-	-	-	7
McLaren, Dylan	-	-				-		-				-															
McRae, Craig				-	-	-	-	-	-	-	2	-	-	-	2	1	-	1	-		-			-	-	-	6
Michael, Mal	2	4	-	1	3	1	-	-	-			1	1	1	1	-	-	-	1	-	1		2	-	-	1	20
Morrison, Shane			-					-																			
Notting, Tim	-	1	-	2	-	1	-									-	-	-	-			1	-		-		5
Pike, Martin	-	-	1	-	1	-	-	-	1	2	2	1	1	-	-	1	1	-	-	-	-		-	1	1	-	13
Power, Luke	-	3	-	-	-	-	-	-	-	1	-	-	-	-	-	2	-	-	-	-	2	-	-	-	-	1	9
Scott, Brad	-	-	-	1	1	1	-	-	2	-	-	-	-	-	-	-	-	-	-	-	1	-					6
Scott, Chris	-	2	-	1	-	-	1	4	-	1	2			-	1	-		1		-	-	1	-				14
Shattock, Aaron	2	-	-					-	-	-	1	1	-	1	-	1	-	-	-	-	1	-					7
Voss, Michael	1	-	1	-	-	1	-	1	1	1	1		2	-	-	1	2	-	-	-	-	-	-	-	1	-	13
Weller, Luke												1	-	-			-										1
White, Darryl	-	1	1	1	-	-	-			-	-	2			-	-	1	-	2	-		1	2	-	1	3	15
Totals	11	15	8	16	15	9	12	13	13	13	18	11	10	8	14	14	12	9	20	11	16	9	10	10	14	21	332
Opponent	ES	PA	KA	CW	WB	GE	SY	AD	CA	ME	SK	WC	RI	FR	HW	ES	PA	KA	CW	SY	GE	WB	CW	AD	SY	CW	
