Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	GF	Tot
Akermanis, Jason	4	4	5	1	1	1	6	3	5	2	2	-	5	3	-		2	3	3	2	2	1	3	1	3	2	64
Ashcroft, Marcus	2	-	-	1	-	1	4	-	-	-	-	1	-	-	1	2	-	3	2	-	-	1	-	-		-	18
Black, Simon	4	-	6	1	2	5	4	3	2	1	1	1	1	4	6	4	-	4	2	1	1	-	3	5	5	1	67
Bradshaw, Daniel	3	1	3		3	1	1	-	-	-	1		1	1	-	-	-	-	1	1	-	1	3	1	-	1	23
Brennan, Jared				1	1	1	1	4			4	2															14
Brown, Jonathan	3	5		4	4	-			3					4	2	1	1	3	2	3	2	3	7	-	1	2	50
Caracella, Blake	-		3					2	2	1	1	1				1	-	2	3	-	-	-	1	2	1	3	23
Charman, Jamie	1	4	1	2	1	3	4	2	1	1	3	-	3	5	4	2	-	1	2	3	4	2	4	1	3	2	59
Copeland, Robert									-	3	1	1	1	3	1	2	4	2	2	-	-	1	2	4	1	2	30
Gram, Jason													1	-													1
Hadley, Richard																								1	3	-	4
Hart, Shaun	1	-	2	2	1	-	1	1	1	-		-	-	4	1	2	2	1	1	-	-	2	1	4	1	1	29
Johnson, Chris	1	3	6	2	2	2	3	1	4	1	5	2	-						1	3	2	3	3	4	-	4	52
Keating, Clark															1	1	1	-	2	2	-	1	-	-	1	3	12
Lappin, Nigel	4	2	-	4	3	3	2	2	-	2	3	2	1	2	2					1	6	3	4	1	1	1	49
Leppitsch, Justin	1	2	-	3	4	5	1	2	-	-	4	2	3	2	2	1					4	1	4	-	2	-	43
Lynch, Alastair	4	2		3			1	2	2	6	3	4	3		2	2	5	1	3	1	1	3	2	1	2	2	55
McDonald, Beau			2	-	2		1		2	-	-		2	1													10
McGrath, Ashley		-	3	1	2	1	-			1	2	2	-	-	3	3	1	-	2	1		-	1	1	2	2	28
McLaren, Dylan	-	-				1		-				1															2
McRae, Craig				2	-	1	-	1	2	2	1	2	1	-	-	1	-	1	1		-			2	-	2	19
Michael, Mal	1	-	1	-	-	2	-	1	-			-	1	-	2	-	2	-	2	3	1		1	2	1	-	20
Morrison, Shane			-					-																			
Notting, Tim	-	3	2	2	1	3	-									2	1	2	-			1	1		2		20
Pike, Martin	2	1	-	1	-	1	-	1	-	2	2	3	4	1	2	1	-	1	1	1	-		1	4	-	3	32
Power, Luke	2	3	-	1	-	2	1	-	2	1	1	3	1	3	-	1	-	2	-	2	5	1	1	1	1	1	35
Scott, Brad	2	1	2	1	4	1	1	-	4	1	1	2	-	3	-	4	3	2	1	2	1	-					36
Scott, Chris	2	4	9	1	-	1	-	5	1	5	7			2	3	1		2		2	4	1	-				50
Shattock, Aaron	-	1	1					-	1	-	1	2	1	-	3	1	1	2	-	2	1	-					17
Voss, Michael	3	1	-	1	1	1	2	3	4	-	2		2	-	1	2	2	-	1	2	-	-	1	2	1	-	32
Weller, Luke												-	-	-			1										1
White, Darryl	1	3	-	1	1	4	-			-	1	-			1	3	1	-	2	1		1	5	-	3	-	28
Totals	41	40	46	35	33	40	33	33	36	29	46	31	31	38	37	37	27	32	34	33	34	26	48	37	34	32	923
Opponent	ES	PA	KA	CW	WB	GE	SY	AD	CA	ME	SK	WC	RI	FR	HW	ES	PA	KA	CW	SY	GE	WB	CW	AD	SY	CW	
