Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	GF	Tot
Akermanis, Jason	1	-	-	-	3	-	-	-	2	-	-	-	1	-	-		1	5	-	1	-	1	-	1	-	2	18
Ashcroft, Marcus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	
Black, Simon	-	-	2	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	5
Bradshaw, Daniel	4	2	2		6	3	-	-	1	-	-		1	-	1	1	-	-	-	-	11	2	-	-	1	1	36
Brennan, Jared				2	2	1	-	1			-	1															7
Brown, Jonathan	-	1		1	1	2			-					2	1	3	2	2	1	6	-	1	2	2	3	3	33
Caracella, Blake	-		1					2	3	3	1	-				-	2	3	3	-	1	-	-	1	1	-	21
Charman, Jamie	-	1	-	-	-	1	-	1	-	-	-	1	-	-	1	-	-	2	1	-	1	1	-	-	3	-	13
Copeland, Robert									-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Gram, Jason													-	-													
Hadley, Richard																								-	-	1	1
Hart, Shaun	-	-	1	2	-	-	-	1	1	1		-	-	2	-	-	-	-	1	1	1	2	-	-	-	1	14
Johnson, Chris	1	-	-	-	-	-	-	-	2	1	1	-	-						-	2	-	1	-	1	-	-	9
Keating, Clark															-	-	2	1	-	2	1	1	-	-	-	-	7
Lappin, Nigel	-	2	-	-	-	-	-	-	-	-	2	-	-	1	1					1	1	-	-	-	-	-	8
Leppitsch, Justin	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-					-	-	1	-	-	-	4
Lynch, Alastair	6	1		1			4	6	3	8	4	8	7		4	5	4	4	3	-	1	5	3	7	3	7	94
McDonald, Beau			-	-	-		-		-	-	1		-	-													1
McGrath, Ashley		-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	1	-		2	-	1	-	-	4
McLaren, Dylan	-	-				-		-				-															
McRae, Craig				-	-	1	-	2	-	1	-	-	-	-	3	2	1	-	-		-			1	-	-	11
Michael, Mal	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	-		-	-	-	-	
Morrison, Shane			-					-																			
Notting, Tim	-	-	1	1	-	-	-									-	-	-	-			-	-		-		2
Pike, Martin	-	-	-	-	1	1	-	-	2	1	3	-	-	1	-	-	2	-	-	1	-		1	1	1	1	16
Power, Luke	-	3	-	-	1	-	-	-	-	-	-	1	-	1	-	-	-	2	-	-	2	1	-	1	-	-	12
Scott, Brad	1	-	1	-	2	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-					6
Scott, Chris	-	-	-	-	-	1	-	-	-	-	-			-	1	-		-		-	-	1	-				3
Shattock, Aaron	1	-	-					-	-	1	-	-	-	-	-	-	-	1	-	-	2	1					6
Voss, Michael	-	-	5	1	-	2	-	1	1	1	2		2	1	2	3	-	-	-	-	-	-	-	-	1	1	23
Weller, Luke												-	-	-			-										
White, Darryl	-	-	2	-	-	1	1			2	-	-			-	-	-	2	-	-		-	-	-	-	-	8
Totals	14	10	18	8	16	13	5	14	16	19	15	11	11	8	14	14	16	22	10	14	22	19	7	16	13	18	363
Opponent	ES	PA	KA	CW	WB	GE	SY	AD	CA	ME	SK	WC	RI	FR	HW	ES	PA	KA	CW	SY	GE	WB	CW	AD	SY	CW	
