Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	Tot
Ambrose, Patrick	-	-						-	-	-	-	-	-	-	-	-	-	-		-	-	-		
Ashby, Jason			-	-	-	-	-																	
Aylett, Kurt								-	-															
Baguley, Mark	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	1	-	-	-	-	-	1
Bellchambers, Tom									-	-	-	-	-					-				-	-	
Carlisle, Jake	1	-	-	-	-	-	-	-	-	-	1	-		-	-	-	-	-	-		-			2
Chapman, Paul	1	-	1		-	-	-	-		-	1	1		-	-	2	-	-	-	-	2	1	3	12
Colyer, Travis				-									3	3	-	1	4	3	2	2	2	-	1	21
Daniher, Joe	-	-	2	1	-	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	3
DellOlio, Cory											-					-	-	-	1					1
Dempsey, Courtenay						1	-	-	-	1	-	-	-	-	-	1	2	-	2	1	1	2	-	11
Fantasia, Orazio																			-		2	-		2
Fletcher, Dustin	-	-	-		-	-	-	-	-	-	-		-	-		-	-	-						
Gleeson, Martin	-	-	-	1	-	1		-														-	1	3
Goddard, Brendon	2	1	-	-			-	-	-	1	-	-	-	-	-		1	-	-	-	-	-	1	6
Hardingham, Kyle	-	-	-	-	-	-								-	-									
Heppell, Dyson	1	-	-	1	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	1		2	2	9
Hibberd, Michael	-	1	-	-	-	-	1	-	-	1	-	-	2	-			-			-	-	3	-	8
Hocking, Heath	-	-	-	-	-		-	-	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	2
Hooker, Cale	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-	-	-	2
Howlett, Ben	-	-	-	-	1	-	-			1	-	-	3	-	-	-	-	-	-	-	-	-	-	5
Hurley, Michael	1	-	-	-	-	-	-	-	-			-	1	-	-	-	-	-	-	2	4	-	-	8
Jetta, Leroy				3	-																			3
Kavanagh, Elliott												-	-						-					
Melksham, Jake			-	-	-	-	-	-	-	-	-	-	-	-	-	-			1	-				1
Merrett, Jackson	-	-	-	-	-	-	-	-	-					-	-	-	-	-						
Merrett, Zach	-	-				-	-	-	2	-	-	-	2	1	-	-	1	-	-	-	-	-	1	7
Myers, David	1	-	-		-				-	2	-	-	-	-	-	-	-	-	1	-	-		-	4
Ryder, Patrick	-	-			-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Stanton, Brent	-	1	-	1	1	1	-	-	-	-	-	-	1	2	-	-	-	-	-	-	-	-	-	7
Steinberg, Ariel																				-	-		-	
Watson, Jobe	-	-	-	-	-	1	1	-	-	-	1									1	-	-	2	6
Winderlich, Jason			-	-		-	-			-		-	1		-	-	-	-	1	-	-	-	-	2
Zaharakis, David	-	-	-	-	-	-	1	-	2	2	-	-	1	-	1	-	-	-	-	-	2	-	1	10
van Unen, Dylan				-																				
Totals	7	3	3	7	2	4	3	0	5	9	3	4	15	6	1	4	8	5	8	7	13	8	12	137
Opponent	NM	HW	CA	FR	SK	CW	WB	BL	SY	RI	GW	ME	AD	GE	PA	CW	WB	SY	RI	WC	GC	CA	NM	
