Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	Tot
Ackland, Cain	-	-	-	-	-	-	-	-	-	-	-	-													
Bassett, Scott			-	-										-		-							-	-	
Bishop, Matthew													-	-	-		4	-	-	1	2	1	-	-	8
Brogan, Dean									-					-		-	-	-	-				-		
Burgoyne, Peter	-	2	1	2	2	-	1	-	-	1		-	-	-	-	-	1		1	2	1	-	-	1	15
Carr, Josh	3	-	1	2	2	2	-	-	1	-	-	-	4	1	-	-	4	-	1	-	4	-	-	-	25
Cockatoo-Collins, Che	-	1	1	3	-	1	-	-	2	5	-	4	3	-	1			1	-	5	-	1	1	1	30
Cornes, Chad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Cornes, Kane										-	-	-	-	1		-	-								1
Dew, Stuart	2	-	1	4	1	-	2	-	-	1	-	-	3	-	-	-	-	4	-	-	-	1	-	-	19
Francis, Fabian	5	2	1	3	1	2	1	1	-	-	-	4	-	1	3	3	2	-	5	1	1	-	-	1	37
Francou, Josh	-	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	1	1
French, Barnaby																				-	-	-		-	
Guerra, Brent	-	-	-	-	-	-	-	-	-		-		-	-	-	-	-	1	-	-		-	-	-	1
Harwood, Mark																		-	-						
James, Roger	-	-	-	-	-	-	1	1	-	-	-	-	2	-	4	-	-	-	2	-	1	-	-	-	11
Kingsley, Adam	-	-	-	-	1	-	-	-	-	-	1	2			-		1	-	-	1	1	-	-	-	7
Lockwood, Bowen	-	-											-				-								
Lyle, Brayden						-	1	-	-	-	-										-			-	1
Mead, Darren	-	-		-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1
Montgomery, Brett	-	-	2	-	1	1	-	1	1	-	-	-	-	-	-	-	1	-	-	-	4	-	-	6	17
Murray, Derek														-	-	-				-	-	1	-		1
Paxman, Stephen	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-			1
Poulton, Jared	-		-									-	-	-	-		1	-							1
Primus, Matthew	1	-	-	-	-	-	-	-		-	-	-	-		-	-	-	-	-	-	-	-	-	-	1
Schofield, Jarrad	1	-	2	-	-	-	-	-	-	3	-	-	1	-	-	2	1	2	-	2	-	-	-	-	14
Steinberner, Nathan					-							-	-			-									
Stevens, Nick	-	-	-	1	-	-	-	-	-	-	-	-	4	-	-	-	3	-	-	1	4	3	-	-	16
Tredrea, Warren		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2
Wakelin, Darryl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	
Wanganeen, Gavin	-	2	2	2	1	1	-	-	-	2	-	1	-	3	-	2	1	1	1	2	2	2	2	5	32
Wilson, Michael	-	-	-	-	-	-	-	-	-	-	-														
Totals	12	7	11	17	9	7	6	4	4	12	1	12	17	6	8	7	19	9	10	15	20	9	3	17	242
Opponent	BL	ES	AD	SK	GE	WB	WC	CW	ME	HW	SY	CA	KA	FR	RI	BL	ES	AD	SK	GE	WB	WC	BL	HW	
