Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	Tot
Ackland, Cain	-	-	-	-	-	-	2	-	-	-	1	-													3
Bassett, Scott			-	-										2		-							-	-	2
Bishop, Matthew													-	-	-		-	-	-	-	-	-	-	-	
Brogan, Dean									1					-		1	-	-	-				1		3
Burgoyne, Peter	-	-	3	4	-	3	4	-	-	3		-	-	6	1	-	-		-	-	2	-	3	1	30
Carr, Josh	-	1	3	-	1	1	2	-	-	-	-	2	-	-	2	1	1	-	-	-	3	-	-	1	18
Cockatoo-Collins, Che	3	4	1	1	2	3	2	4	1	1	2	-	2	2	-			2	2	2	2	3	-	2	41
Cornes, Chad	1	-	-	-	1	3	-	1	-	-	-	-	-	1	1	-	2	3	4	1	-	2	-	1	21
Cornes, Kane										-	-	-	1	-		-	-								1
Dew, Stuart	1	6	1	4	6	-	-	1	1	2	2	1	1	1	4	-	1	1	1	2	3	3	-	2	44
Francis, Fabian	2	-	2	1	-	1	3	-	-	-	-	-	-	1	1	-	2	2	4	-	3	-	-	-	22
Francou, Josh	-	1	2	-	-	-	-	-	-	-	-	1			-	-	-	-	-	1	-	1	1	-	7
French, Barnaby																				-	-	1		-	1
Guerra, Brent	3	-	-	-	1	1	-	-	-		-		1	-	-	-	4	-	-	-		2	1	-	13
Harwood, Mark																		-	-						
James, Roger	-	1	-	2	-	3	1	-	3	2	1	-	2	-	1	-	1	-	1	-	-	1	-	-	19
Kingsley, Adam	-	-	-	-	-	-	-	-	-	-	-	-			-		-	-	-	-	-	-	-	-	
Lockwood, Bowen	1	-											-				-								1
Lyle, Brayden						-	-	-	-	-	-										-			-	
Mead, Darren	1	-		-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	2
Montgomery, Brett	-	-	1	-	-	-	-	-	-	1	1	-	-	1	-	1	-	-	-	-	-	-	-	-	5
Murray, Derek														-	-	-				1	-	-	-		1
Paxman, Stephen	-	-	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-	1			4
Poulton, Jared	-		1									-	-	2	-		-	-							3
Primus, Matthew	-	-	-	-	-	-	-	-		1	-	-	-		-	-	-	3	1	2	2	-	-	-	9
Schofield, Jarrad	1	-	-	1	5	-	-	1	-	-	-	-	1	1	-	1	1	-	1	1	1	-	-	1	16
Steinberner, Nathan					-							-	-			-									
Stevens, Nick	-	-	1	1	-	1	-	2	1	3	1	1	-	1	-	-	1	-	2	1	1	2	-	-	19
Tredrea, Warren		3	1	-	4	1	3	2	3	1	1	1	1	4	2	3	2	2	3	3	4	5	2	-	51
Wakelin, Darryl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	1	1
Wanganeen, Gavin	1	-	6	3	2	1	-	5	3	3	1	3	1	2	2	1	-	2	-	-	1	3	-	1	41
Wilson, Michael	-	-	-	-	1	2	-	-	-	-	-														3
Totals	14	16	23	17	23	20	17	16	13	17	10	10	10	25	14	8	15	16	19	14	22	24	8	10	381
Opponent	BL	ES	AD	SK	GE	WB	WC	CW	ME	HW	SY	CA	KA	FR	RI	BL	ES	AD	SK	GE	WB	WC	BL	HW	
