Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	Tot
Ackland, Cain	1	1	3	-	1	1	-	1	1	-	-	-													9
Bassett, Scott			2	-										3		-							-	2	7
Bishop, Matthew													-	3	-		-	-	1	2	1	2	1	-	10
Brogan, Dean									-					-		-	-	-	-				-		
Burgoyne, Peter	3	5	6	7	3	3	2	4	1	4		2	2	1	6	2	3		1	5	4	5	6	3	78
Carr, Josh	3	1	1	1	2	2	4	1	3	5	2	-	5	7	3	1	3	5	3	2	3	3	1	1	62
Cockatoo-Collins, Che	4	5	6	3	1	1	4	3	3	4	1	2	3	1	3			-	1	3	2	4	7	7	68
Cornes, Chad	1	-	3	4	4	3	2	3	3	3	7	1	3	3	3	2	2	2	5	2	1	4	1	2	64
Cornes, Kane										1	2	-	3	2		3	-								11
Dew, Stuart	3	5	3	3	7	2	4	1	4	2	4	2	4	3	3	2	3	6	-	3	5	5	2	4	80
Francis, Fabian	6	2	5	3	4	5	6	3	2	1	4	3	6	5	4	2	5	1	6	1	7	5	2	2	90
Francou, Josh	2	6	3	3	2	3	4	5	4	4	2	2			4	2	5	1	-	8	4	5	3	1	73
French, Barnaby																				1	-	-		-	1
Guerra, Brent	2	2	-	2	3	1	1	2	-		1		3	3	2	-	1	-	-	-		4	1	1	29
Harwood, Mark																		2	1						3
James, Roger	2	2	-	1	1	3	1	3	2	7	3	5	-	4	4	3	3	6	5	3	2	-	3	4	67
Kingsley, Adam	-	3	5	2	1	2	1	2	5	5	3	7			1		1	2	2	-	1	-	2	-	45
Lockwood, Bowen	2	1											-				-								3
Lyle, Brayden						1	2	-	-	-	2										-			1	6
Mead, Darren	-	2		1	1	-	-	1	2	-	1	1	2	-	-	2	-	-	-	1	-	-	1	-	15
Montgomery, Brett	-	-	3	1	-	-	4	-	1	5	4	1	2	2	3	2	3	4	4	1	-	1	1	-	42
Murray, Derek														3	3	1				2	9	4	3		25
Paxman, Stephen	1	-	-	1	-	1	-	1	-	2	1	2	2	-	-	1	-	-	2	1	2	-			17
Poulton, Jared	1		1									-	2	3	1		1	-							9
Primus, Matthew	4	1	1	1	1	1	1	1		2	6	2	1		3	2	1	2	1	3	4	-	2	-	40
Schofield, Jarrad	3	2	2	6	12	3	2	1	5	2	2	6	-	9	3	5	4	4	5	7	4	7	2	1	97
Steinberner, Nathan					-							-	1			1									2
Stevens, Nick	7	5	6	5	1	7	8	10	8	8	3	1	5	6	3	3	8	8	6	7	5	7	2	4	133
Tredrea, Warren		1	3	7	5	-	5	2	8	9	1	2	4	3	5	1	8	8	4	-	9	3	3	3	94
Wakelin, Darryl	-	-	1	1	-	1	-	-	-	-	-	1	-	-	-	-		-	-	-	1	2	-	-	7
Wanganeen, Gavin	-	2	3	2	5	3	4	2	-	1	-	4	4	5	-	2	3	3	1	5	2	2	-	2	55
Wilson, Michael	3	3	2	3	1	4	2	3	-	2	-														23
Totals	48	49	59	57	55	47	57	49	52	67	49	44	52	66	54	37	54	54	48	57	66	63	43	38	1265
Opponent	BL	ES	AD	SK	GE	WB	WC	CW	ME	HW	SY	CA	KA	FR	RI	BL	ES	AD	SK	GE	WB	WC	BL	HW	
