Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	Tot
Ackland, Cain	-	2	4	1	2	-	4	-	-	1	-	-													14
Bassett, Scott			1	-										2		1							1	-	5
Bishop, Matthew													-	1	-		1	1	-	2	1	1	-	-	7
Brogan, Dean									-					-		1	1	2	1				-		5
Burgoyne, Peter	1	5	3	3	2	3	1	3	1	4		5	4	1	2	1	5		3	3	4	9	1	-	64
Carr, Josh	3	3	-	3	4	2	6	4	1	2	2	2	2	5	5	4	1	4	8	5	2	1	2	4	75
Cockatoo-Collins, Che	-	-	-	-	1	-	-	-	-	1	-	1	1	-	-			1	-	1	-	1	2	-	9
Cornes, Chad	1	1	1	1	-	-	-	1	1	1	2	1	-	1	1	1	-	-	-	-	2	2	-	1	18
Cornes, Kane										-	1	2	1	2		1	-								7
Dew, Stuart	-	4	2	5	2	1	2	-	1	-	3	1	1	2	3	2	2	1	1	4	3	4	1	-	45
Francis, Fabian	-	-	-	3	2	6	2	-	-	2	1	2	-	-	1	2	1	1	-	-	-	2	-	2	27
Francou, Josh	9	10	8	4	6	9	4	5	6	10	8	5			3	2	6	9	5	9	6	8	8	7	147
French, Barnaby																				-	-	-		1	1
Guerra, Brent	-	3	-	-	1	-	-	-	1		1		4	3	1	2	-	-	1	1		-	-	-	18
Harwood, Mark																		1	-						1
James, Roger	5	-	4	3	4	2	2	5	2	2	1	5	2	6	4	9	7	7	3	3	3	5	1	4	89
Kingsley, Adam	2	2	-	-	-	1	-	3	3	4	-	4			1		2	2	2	-	2	-	2	1	31
Lockwood, Bowen	-	-											-				-								
Lyle, Brayden						-	1	-	2	2	-										1			2	8
Mead, Darren	2	-		-	2	-	1	-	2	-	-	-	-	-	-	3	2	1	-	1	-	-	-	1	15
Montgomery, Brett	-	1	-	1	-	1	-	-	-	-	1	-	-	2	1	-	1	-	2	-	1	2	2	-	15
Murray, Derek														4	2	-				-	1	2	2		11
Paxman, Stephen	1	-	-	-	1	-	1	1	1	-	2	1	-	-	1	-	2	-	-	-	1	-			12
Poulton, Jared	-		-									1	1	2	-		-	-							4
Primus, Matthew	7	5	10	3	4	2	2	6		4	5	6	4		4	1	10	5	3	2	4	1	3	4	95
Schofield, Jarrad	8	3	2	3	5	1	5	1	2	-	3	5	2	7	3	2	2	3	1	3	1	4	3	1	70
Steinberner, Nathan					1							-	1			-									2
Stevens, Nick	3	3	3	3	5	3	4	8	7	5	6	2	2	1	-	1	1	3	6	4	3	1	-	5	79
Tredrea, Warren		1	-	1	-	1	-	-	1	1	-	-	1	2	3	1	-	-	-	-	1	1	-	-	14
Wakelin, Darryl	1	1	1	1	1	-	-	-	-	-	-	-	-	1	-	-		-	-	1	-	1	-	1	9
Wanganeen, Gavin	-	1	1	-	1	1	-	-	-	-	-	-	1	4	-	3	4	3	1	-	2	1	-	3	26
Wilson, Michael	3	1	2	3	2	1	2	2	-	2	-														18
Totals	46	46	42	38	46	34	37	39	31	41	36	43	27	46	35	37	48	44	37	39	38	46	28	37	941
Opponent	BL	ES	AD	SK	GE	WB	WC	CW	ME	HW	SY	CA	KA	FR	RI	BL	ES	AD	SK	GE	WB	WC	BL	HW	
