Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	Tot
Ball, Luke								-	-	-	-		-	-	-	-		3	-	-	-		-	3
Beams, Dayne															-	-	1	-	-	-		-	-	1
Blair, Jarryd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	
Brown, Nathan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	
Clarke, Martin	-	-	-	-	-	-	-		-	-														
Cloke, Travis	2	-	-	3	-	-	-	-	-		-	1	-	-	-	-	-	-	-	-	-	-	-	6
Didak, Alan										-	-										-	-	-	
Dwyer, Sam	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	-	-	-	
Elliott, Jamie	-	3	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-			-	3
Fasolo, Alex			-	-	-																			
Frost, Jack	-		-																					
Goldsack, Tyson	-	-	-		-	-										-	-	-	-	-	-	-	-	
Grundy, Brodie																	-	-	-	-	-	-	-	
Hudson, Ben			-	-	-								-	-	-	-								
Johnson, Ben	-	-	-																					
Jolly, Darren	-	-				-	-	-	-	2	-	-												2
Keeffe, Lachlan																-	-	-	-	-	-	-	-	
Kennedy, Ben						-	-	-	-	-	-	-	-	-			-				-	-		
Krakouer, Andrew						-	-	-	-	-				-	-	-								
Lumumba, Heritier	-	-	-	-	-	2	-	3	-	-	-	-	-				-	-	-	-	-		-	5
Lynch, Quinten	-	-	-	-	-	-	-	-	-	-	-	-	-					-	-	-	-	-		
Macaffer, Brent	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Martin, Kyle										-	-	-	-											
Maxwell, Nick	-	-					-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Mooney, Caolan							-									-								
Oxley, Adam											-	-												
Pendlebury, Scott	-	2	-	-	-	3	-	2	-	-	2	2	-	1	3	-	-	-	3	-	1	2	-	21
Reid, Ben	-	-	-	-	-	-	-	-	-	-	-	-		2	-	-	-	1	-	-	-	-	-	3
Russell, Jordan	-	-	-	-	-			-	-				-									-		
Seedsman, Paul		-		-	-	-	-	-	-	-	-	-	-	-	-	-					-	-	-	
Shaw, Heath		-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Sidebottom, Steele	1	-	-	1	1	-	1	-	-	1	-	-	-	-	-	-	-	2	-	-	-	-	-	7
Sinclair, Ben	-	-	-	-	-						-	-	-	-	-	-	-	-	-	-				
Swan, Dane	-	-	2	2	-	-	-	-	-	3	3	3	-	3	2	-	3	-	2	1	2	-	-	26
Thomas, Dale			-	-	-	1	-																	1
Thomas, Josh	-			-		-	-	-		-	1	-	-	-	-	-	-	-	-	-	3	-	-	4
Toovey, Alan	-	-	-	-	-																			
Williams, Marley								-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Witts, Jarrod						-		-	-					-	-	-	-							
Young, Clinton														-	-									
Totals	3	5	2	6	1	6	1	5	0	6	6	6	0	6	5	0	4	6	5	1	6	2	0	82
Opponent	NM	CA	HW	RI	ES	SK	FR	GE	SY	BL	ME	WB	PA	CA	AD	GC	GW	ES	SY	HW	WC	NM	PA	
