Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	SF	Tot
Anthony, John		-		-	Off					Off															0/2
Ballantyne, Hayden	-			-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	
Barlow, Michael	On	On	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2/0
Bradley, Kepler	-	-	-											-	-	-	-	-	-	-	Off		-		0/1
Broughton, Greg	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Off										0/1
Clarke, Zac	-	-	-	-	-	-	-	-	-	-		-	-			-					-			-	
Crichton, Jesse									-	-	-	Off													0/1
Crowley, Ryan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Crozier, Hayden										On	On	-													2/0
Dawson, Zac	-	-	-	-	-	-	-	-	-	-	-							Off	-	Off	-	-	-	-	0/2
Duffield, Paul	-	-	-	-	-	-	-	-	-	-				On	-	-	-	-	-	-	-	-	-	-	1/0
Fyfe, Nat	-	-	Off		-												-	-		-	-	-	-	-	0/1
Griffin, Jonathon					-	-			Off		-	-	-	-	-	-	-	-	-			-			0/1
Grover, Antoni														Off											0/1
Hill, Stephen	-	-	-	-	-	Off	-	-	-	-	-			-	-	-	-	-	-	-	-	-	-	-	0/1
Ibbotson, Garrick	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	On	1/0
Johnson, Michael	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Lower, Nick												-	-	-											
Mayne, Chris	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	Off	-	-	-	-	-	0/1
McPharlin, Luke	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	Off			0/1
McPhee, Adam	-	-	-	-	-	-	-				-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Mellington, Josh	-	Off	-																						0/1
Mundy, David			On	-	-	-	-	-	-	-	-	-	-	-	-	Off	-	-	-	-	-	-	-	-	1/1
Mzungu, Tendai	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Neale, Lachie				On	On	-	Off	-	-	-	-	-	Off						On						3/2
Pavlich, Matthew	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	
Pearce, Clancee	Off	-	-	-	-	-	-	Off	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0/2
Pitt, Jayden												On	On												2/0
Roberton, Dylan						-	On	-					-	-	-	-	-	On	-						2/0
Sandilands, Aaron	-	-	-	-			-	-	-	-	Off									-	-	-	-	-	0/1
Sheridan, Tom																						On			1/0
Silvagni, Alex									-			-	-										-	-	
Spurr, Lee						On	-	-							-	-	-	-	-	-	-	-	On	-	2/0
Suban, Nick	-	-	-	Off							-	-	-			-			-	On	On	-	Off	Off	2/3
Sutcliffe, Cameron														-	On	On	On								3/0
Walters, Michael															-	-	Off	-	-	-	-	-	-	-	0/1
de Boer, Matthew	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	
van Berlo, Jay								On	On																2/0
Totals																									
Opponent	GE	SY	BL	SK	CA	GC	PA	HW	WC	AD	RI	ES	CW	WB	ME	GW	PA	WC	AD	RI	NM	ME	GE	AD	
