Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	GF	Tot
Armstrong, Steven													-				-	1	1	2		1	-	2	1	1	9
Banfield, Drew									-	-	-	-	-		-	-	-			-	-	-	-		-	-	
Braun, Michael	1	-	-	2	-	1	1	-	1	-	1	-		-	-	-	-	-	-	1	-	-	-	-	-	-	8
Butler, Sam													-	-	-	1	-	1	-	1	-	1	-	-	1	-	5
Chick, Daniel	-		-	-	-	-	-	-	-	1	1	-	-	-		-	-	-	-		2	-	-	-	1	-	5
Cousins, Ben	-	-	-				1	-	1	-	-	1	-	-	-		-	1	3	2	-	-	1	1	1	1	13
Cox, Dean	-	1	1	1	-	-	-	1	-	-	1	-	1						-	-	-	-	2	1	-	-	9
Embley, Andrew	2	2	1	-	1	2	1	3	2	-	3	2	1	-	1	-		1	-	2	1			1	1	2	29
Fletcher, Chad	-	1	-	-	-	-	-	1	-	-	-	-	1	1	-			-	2	1	-	3	-	1	1	-	12
Gardiner, Michael													-	-	-												
Glass, Darren	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	
Graham, Jaymie	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-		-		3
Hansen, Ashley	2						-	2	1	-	2			1	-		1	1	-					2	3	2	17
Hunter, Adam	-	1	2	2	-	-	1	-	-	-	-	-	1	-	-	1					-	-	1	1	2	1	13
Hurn, Shannon					1	-		-				-			-	2											3
Jones, Brett		-		-	-	-									-	1	-	-		-	-	-	-	-	-	1	2
Jones, Rowan	1	-	-	-	1	1	-			2	1	1	-		1	1	1	1	-	-	2	2	-	-	1	-	16
Judd, Chris	2	1	1	-	1	-	3	2	1				1	1	1	1	-	-	1	-	1	-	-	3	-	-	20
Kerr, Daniel	1	-	1	-		-	1	2	3	1	-	1	-	-		-	1	3	1	1				-	-	-	16
LeCras, Mark														-	1							4	1				6
Lynch, Quinten	1	1	4	-	1	1	1	1	1	1	2	2	2	4	1	-	-	1	1	2	2	-	-	-	4	-	33
McDougall, Andrew																2											2
Morton, Mitch																	-										
Nicoski, Mark	1	-	-	-			-	1	1	-	-	-	-	-													3
Priddis, Matt										-		-															
Rosa, Matt		1	-	-	-	-	2	-	1	-	-		-			-						1	-	-			5
Sampi, Ashley	2	2	1	-	3	1	1										1	2	-	1	2						16
Seaby, Mark	-	-	-	1	-	-	-	-	1		-	-		1	-	-	-	1	1	-	-	-		-	-	-	5
Selwood, Adam	-	-	-	-	1	-	-	-	-	-	2	1	-	-	-	-	-	-	1	-	-	1	-	-	-	-	6
Staker, Brent	1	1	1	-	-	1	-	1	1	-	-	-	-	1	-	-	-	-	5	1	-	1	1				15
Stenglein, Tyson	-	-	-	-	-	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2
Waters, Beau	1	-	-	-	-			1	1	-	-	-		-	1	-	-	-	1	-	-	-	1	1	-	1	8
Wirrpanda, David	-	-	-	1	-	1	-	-	-	-	-	2	-	-	-	1	1	-	-	-	-		1	-		-	7
Wooden, Josh					1	-																					1
Totals	15	12	12	7	10	9	13	15	15	5	13	10	7	9	7	11	5	13	17	14	10	14	8	13	16	9	289
Opponent	SK	AD	RI	KA	BL	FR	CW	ES	ME	GE	CA	PA	WB	HW	SY	CW	AD	SK	KA	BL	FR	RI	SY	WB	AD	SY	
