Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	GF	Tot
Armstrong, Steven													3				1	1	-	-		2	-	-	-	-	7
Banfield, Drew									1	4	1	4	3		2	-	1			2	2	1	2		5	6	34
Braun, Michael	1	-	-	-	-	-	-	2	1	1	3	-		1	1	2	-	-	1	2	-	1	2	-	-	-	18
Butler, Sam													-	2	1	-	2	1	2	1	4	1	2	1	3	3	23
Chick, Daniel	3		2	3	-	2	1	-	-	-	-	-	-	1		4	3	2	6		1	4	-	2	-	2	36
Cousins, Ben	2	1	-				2	3	-	2	-	1	1	-	-		-	4	2	1	-	-	1	1	1	1	23
Cox, Dean	2	2	2	4	4	3	4	-	3	1	3	2	2						-	4	1	1	4	1	-	4	47
Embley, Andrew	1	3	-	-	-	-	2	2	-	1	1	2	4	2	1	3		2	3	3	1			2	3	6	42
Fletcher, Chad	-	-	2	-	2	2	-	1	-	4	2	4	1	-	1			1	-	-	2	3	-	1	2	1	29
Gardiner, Michael													-	1	1												2
Glass, Darren	2	1	4	1	-	2	-	2	2	2	1	2	2	3		8	3	-	2	1	1	1	4	2	2	3	51
Graham, Jaymie	3	1	-	7	1	-	-	2	3	2	5	1	-	-	1	1	2	5	1	7	2	4	1		5		54
Hansen, Ashley	-						-	-	-	-	-			-	-		-	-	-					-	-	-	
Hunter, Adam	4	-	3	1	-	7	3	2	2	-	2	1	-	3	2	-					1	6	2	1	2	-	42
Hurn, Shannon					2	4		-				1			3	-											10
Jones, Brett		-		3	1	1									5	4	3	6		-	2	4	6	2	7	4	48
Jones, Rowan	1	1	1	2	2	2	1			1	1	-	-		-	2	1	-	2	-	1	-	2	-	-	-	20
Judd, Chris	3	3	3	2	1	-	2	-	1				2	2	-	5	-	1	1	1	2	-	2	1	1	1	34
Kerr, Daniel	-	1	-	4		-	1	1	4	3	1	1	2	-		3	2	3	4	-				2	1	1	34
LeCras, Mark														-	1							-	-				1
Lynch, Quinten	-	-	-	1	-	-	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-	2	-	-	1	6
McDougall, Andrew																-											
Morton, Mitch																	1										1
Nicoski, Mark	4	3	-	2			3	4	4	8	3	4	5	2													42
Priddis, Matt										-		2															2
Rosa, Matt		5	1	1	1	5	-	-	-	1	5		1			1						2	2	1			26
Sampi, Ashley	-	-	-	-	-	-	-										-	-	-	-	-						
Seaby, Mark	-	-	-	1	1	1	-	1	1		1	1		-	2	-	1	-	-	-	-	1		-	1	-	12
Selwood, Adam	-	5	1	4	-	3	2	2	8	-	1	2	2	5	4	5	2	4	3	3	3	5	2	5	1	4	76
Staker, Brent	-	1	-	-	-	1	-	1	-	-	1	-	-	1	-	-	-	-	-	-	-	-	-				5
Stenglein, Tyson	1	2	9	3	1	1	3	4	-	-	2	3	2	2	-	1	1	1	4	1	-	6	1	1	-	-	49
Waters, Beau	2	1	1	3	3			-	-	-	-	6		2	-	-	1	3	2	2	4	2	1	1	3	3	40
Wirrpanda, David	12	3	3	-	8	4	9	7	8	7	6	2	10	4	3	3	-	5	3	4	3		2	1		3	110
Wooden, Josh					2	2																					4
Totals	41	33	32	42	29	40	33	34	38	37	39	39	41	31	28	42	25	39	36	32	30	44	38	25	37	43	928
Opponent	SK	AD	RI	KA	BL	FR	CW	ES	ME	GE	CA	PA	WB	HW	SY	CW	AD	SK	KA	BL	FR	RI	SY	WB	AD	SY	
