Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	GF	Tot
Armstrong, Steven													-				-	-	-	-		-	-	-	-	-	
Banfield, Drew									-	-	1	-	-		-	-	-			1	-	-	-		-	-	2
Braun, Michael	-	-	-	-	-	-	-	-	-	2	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	2
Butler, Sam													-	-	-	-	-	-	-	1	-	-	-	-	-	-	1
Chick, Daniel	-		-	-	-	-	-	2	-	-	-	-	-	-		-	-	-	-		-	1	-	-	1	1	5
Cousins, Ben	-	-	1				-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	1
Cox, Dean	1	-	3	1	-	1	1	-	1	1	-	1	-						-	1	-	-	-	-	-	-	11
Embley, Andrew	-	-	-	2	-	1	-	3	1	1	3	-	3	3	1	1		-	1	1	-			-	1	1	23
Fletcher, Chad	2	-	-	-	-	1	1	-	-	1	-	-	-	-	-			1	-	-	-	-	-	-	-	-	6
Gardiner, Michael													1	1	1												3
Glass, Darren	1	1	2	-	3	3	-	-	2	2	1	1	1	-		3	1	-	1	-	2	-	-	-	1	1	26
Graham, Jaymie	-	3	-	1	-	-	-	1	1	-	-	1	-	-	-	-	2	1	-	-	-	-	-		-		10
Hansen, Ashley	1						-	-	1	-	-			1	-		-	-	-					1	1	2	7
Hunter, Adam	3	2	2	4	1	-	2	2	1	-	-	-	1	-	2	-					1	1	2	3	1	-	28
Hurn, Shannon					-	-		-				1			1	-											2
Jones, Brett		-		-	1	-									1	-	2	1		1	1	-	-	-	3	-	10
Jones, Rowan	-	-	-	-	-	-	-			-	-	1	2		-	-	1	-	1	-	1	-	1	-	-	-	7
Judd, Chris	-	1	1	-	2	-	-	-	-				2	-	1	1	1	1	-	1	-	-	1	-	1	-	13
Kerr, Daniel	-	-	-	-		-	-	-	1	-	-	-	-	1		1	-	1	3	-				-	-	-	7
LeCras, Mark														-	-							1	-				1
Lynch, Quinten	1	-	1	-	1	-	2	3	-	3	1	2	1	5	-	-	1	-	1	1	-	1	1	2	2	3	32
McDougall, Andrew																2											2
Morton, Mitch																	-										
Nicoski, Mark	-	-	-	-			-	-	-	-	-	-	-	-													
Priddis, Matt										-		-															
Rosa, Matt		-	-	-	-	-	-	-	2	-	-		-			-						1	-	-			3
Sampi, Ashley	-	2	-	-	1	-	-										-	-	-	-	-						3
Seaby, Mark	-	-	2	-	-	1	-	-	-		-	1		-	-	2	1	1	-	1	-	1		-	-	-	10
Selwood, Adam	-	-	-	-	1	-	-	-	-	-	-	-	-	1	-	1	-	-	-	1	-	-	-	-	-	-	4
Staker, Brent	4	3	2	1	2	3	-	1	1	-	-	4	-	-	1	1	1	1	3	1	-	-	2				31
Stenglein, Tyson	1	1	1	-	2	-	-	-	-	1	-	-	-	-	-	-	-	2	-	-	2	-	-	-	-	-	10
Waters, Beau	1	-	-	-	-			-	-	-	-	-		-	-	1	-	-	3	-	1	-	1	-	-	2	9
Wirrpanda, David	1	-	-	-	-	1	-	1	-	-	-	-	-	1	-	-	-	-	-	-	1		-	1		-	6
Wooden, Josh					-	-																					
Totals	16	13	15	9	14	11	6	13	11	11	6	12	11	13	8	13	10	9	13	10	9	6	8	7	11	10	275
Opponent	SK	AD	RI	KA	BL	FR	CW	ES	ME	GE	CA	PA	WB	HW	SY	CW	AD	SK	KA	BL	FR	RI	SY	WB	AD	SY	
