Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	GF	Tot
Armstrong, Steven													-				1	1	1	1		4	1	2	-	1	12
Banfield, Drew									-	-	-	-	-		-	-	-			-	-	1	-		-	-	1
Braun, Michael	1	-	1	-	-	-	1	-	1	-	-	-		-	-	-	-	-	-	-	-	-	-	-	1	-	5
Butler, Sam													-	-	-	1	-	-	-	-	-	-	-	-	1	-	2
Chick, Daniel	-		1	-	-	-	-	3	-	1	1	1	1	-		-	-	-	-		-	-	1	-	1	-	10
Cousins, Ben	-	1	1				-	-	1	-	-	1	-	1	-		-	-	1	-	1	-	-	-	-	-	7
Cox, Dean	-	-	3	-	2	1	-	-	-	-	-	-	-						1	2	-	1	-	1	-	-	11
Embley, Andrew	2	-	1	-	-	4	1	1	1	-	3	-	3	1	-	-		-	3	2	-			1	1	1	25
Fletcher, Chad	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-			1	1	-	-	2	-	-	-	-	5
Gardiner, Michael													-	1	-												1
Glass, Darren	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	
Graham, Jaymie	-	3	1	-	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-		6
Hansen, Ashley	2						3	4	4	1	1			-	1		2	-	-					3	3	4	28
Hunter, Adam	-	2	3	6	1	-	-	-	-	-	3	-	2	-	2	1					-	1	1	3	5	3	33
Hurn, Shannon					-	-		-				-			-	1											1
Jones, Brett		-		-	-	-									-	1	-	-		-	-	-	-	-	-	-	1
Jones, Rowan	-	1	-	1	1	2	-			1	-	1	-		-	-	1	2	-	-	1	-	-	-	3	-	14
Judd, Chris	-	-	-	1	-	-	1	-	-				1	1	-	1	-	1	-	-	1	-	-	1	-	-	8
Kerr, Daniel	1	-	1	-		-	-	-	1	1	-	-	-	-		1	1	1	2	-				-	-	-	9
LeCras, Mark														1	-							9	-				10
Lynch, Quinten	2	-	4	-	1	-	4	6	1	1	3	2	1	9	2	2	2	2	2	6	2	2	2	5	4	5	70
McDougall, Andrew																2											2
Morton, Mitch																	1										1
Nicoski, Mark	-	-	-	-			-	1	-	-	-	-	-	-													1
Priddis, Matt										-		-															
Rosa, Matt		-	-	-	-	-	-	-	-	-	-		-			-						1	-	1			2
Sampi, Ashley	-	2	2	-	1	1	-										-	2	-	-	-						8
Seaby, Mark	-	-	1	1	-	1	-	-	-		-	-		-	-	2	1	1	-	3	-	1		-	-	-	11
Selwood, Adam	1	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	5
Staker, Brent	1	1	-	1	2	2	-	1	2	-	-	2	-	1	-	2	4	3	3	2	1	-	2				30
Stenglein, Tyson	1	-	-	-	-	-	1	-	-	2	-	-	1	-	1	-	2	-	-	-	-	1	-	-	1	-	10
Waters, Beau	1	-	1	-	-			2	-	-	-	-		-	-	1	-	-	1	-	-	-	1	1	-	-	8
Wirrpanda, David	-	-	1	2	-	1	-	-	-	-	-	2	-	1	-	1	-	1	-	-	-		-	-		-	9
Wooden, Josh					-	-																					
Totals	13	10	21	12	9	13	11	18	11	7	12	9	9	17	6	16	15	15	16	17	6	23	8	18	20	14	346
Opponent	SK	AD	RI	KA	BL	FR	CW	ES	ME	GE	CA	PA	WB	HW	SY	CW	AD	SK	KA	BL	FR	RI	SY	WB	AD	SY	
