Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	GF	Tot
Armstrong, Steven													-				3	1	-	-		4	1	-	-	1	10
Banfield, Drew									-	-	-	-	-		1	-	-			-	-	1	-		-	-	2
Braun, Michael	-	-	1	-	-	-	-	-	-	-	-	-		1	-	1	1	-	-	-	-	-	-	-	-	-	4
Butler, Sam													-	-	-	1	1	-	-	-	-	3	-	-	1	-	6
Chick, Daniel	-		-	1	3	1	1	5	1	-	1	1	-	-		-	-	-	-		-	-	-	-	-	-	14
Cousins, Ben	1	2	-				1	-	-	1	1	-	-	2	-		2	-	1	-	3	1	1	1	1	2	20
Cox, Dean	2	-	2	1	2	-	1	1	1	1	-	-	-						1	-	-	1	-	1	-	-	14
Embley, Andrew	2	-	3	1	1	2	1	1	1	2	2	-	2	2	-	-		-	3	3	-			1	2	2	31
Fletcher, Chad	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-			1	1	-	-	1	-	-	-	-	5
Gardiner, Michael													-	1	-												1
Glass, Darren	-	-	-	-	-	-	-	-	-	-	-	-	1	-		-	-	-	-	-	-	-	-	-	-	-	1
Graham, Jaymie	-	3	1	-	1	1	-	1	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-		-		9
Hansen, Ashley	-						2	3	2	-	1			1	-		3	1	-					1	1	2	17
Hunter, Adam	-	-	2	4	2	-	-	-	-	2	4	-	2	-	1	-					-	1	2	4	4	1	29
Hurn, Shannon					1	-		-				-			-	-											1
Jones, Brett		-		-	-	-									-	-	-	-		-	-	-	-	-	-	-	
Jones, Rowan	-	1	1	1	-	1	-			2	1	1	-		-	-	-	-	-	1	-	-	-	-	-	-	9
Judd, Chris	-	-	1	1	4	1	3	1	1				1	1	1	-	3	3	-	-	1	3	2	1	-	1	29
Kerr, Daniel	1	-	-	-		-	-	-	2	1	-	-	-	-		1	2	2	1	-				-	1	-	11
LeCras, Mark														-	-							5	-				5
Lynch, Quinten	1	1	2	-	1	-	5	4	1	1	3	2	-	5	2	2	4	1	4	8	2	4	2	6	1	3	65
McDougall, Andrew																1											1
Morton, Mitch																	1										1
Nicoski, Mark	-	-	1	-			-	-	1	1	1	1	-	-													5
Priddis, Matt										-		-															
Rosa, Matt		-	-	-	-	1	-	-	-	1	-		-			-						1	-	-			3
Sampi, Ashley	1	2	3	-	-	-	1										2	2	1	-	-						12
Seaby, Mark	-	-	1	-	-	2	-	-	-		-	-		-	-	3	1	-	1	2	-	1		-	-	-	11
Selwood, Adam	1	-	-	1	1	-	-	-	-	-	-	-	1	1	2	-	-	-	-	1	-	-	-	-	-	-	8
Staker, Brent	1	3	-	1	1	3	-	-	2	-	1	2	1	-	-	2	2	1	1	-	2	-	1				24
Stenglein, Tyson	1	-	-	-	-	-	1	-	-	3	-	-	-	-	1	-	1	1	-	1	-	-	1	-	-	-	10
Waters, Beau	-	-	1	-	-			-	1	-	-	-		1	1	1	-	-	-	-	-	-	2	1	-	-	8
Wirrpanda, David	-	-	1	3	-	-	-	-	-	-	1	-	-	1	-	1	-	1	-	-	-		-	-		-	8
Wooden, Josh					1	-																					1
Totals	11	13	20	14	18	12	16	16	13	16	16	8	8	17	9	13	26	14	14	16	8	26	12	16	11	12	375
Opponent	SK	AD	RI	KA	BL	FR	CW	ES	ME	GE	CA	PA	WB	HW	SY	CW	AD	SK	KA	BL	FR	RI	SY	WB	AD	SY	
