Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	GF	Tot
Armstrong, Steven													-				-	1	-	-		2	-	3	1	1	8
Banfield, Drew									-	1	1	1	2		1	2	-			1	1	1	2		1	1	15
Braun, Michael	-	4	1	2	2	1	2	4	2	1	-	2		1	2	2	3	3	1	1	1	1	5	-	-	3	44
Butler, Sam													-	2	-	3	-	1	1	4	4	1	1	2	2	1	22
Chick, Daniel	2		-	1	-	1	2	3	1	1	1	1	3	-		2	5	1	3		2	-	2	2	3	2	38
Cousins, Ben	2	3	1				1	3	1	4	2	3	1	-	1		2	2	2	-	2	5	1	1	3	3	43
Cox, Dean	2	1	-	2	1	4	2	1	1	3	-	2	2						-	5	2	-	-	2	5	-	35
Embley, Andrew	3	2	2	2	3	3	1	6	2	-	-	-	1	-	1	3		5	-	2	1			2	1	2	42
Fletcher, Chad	4	5	3	2	-	1	6	3	2	-	6	6	2	5	-			-	3	2	2	3	6	2	2	2	67
Gardiner, Michael													1	2	2												5
Glass, Darren	2	1	1	-	-	1	2	2	-	-	5	-	-	1		2	1	2	-	-	1	-	1	3	-	2	27
Graham, Jaymie	-	3	4	2	1	1	1	2	-	3	2	1	4	2	1	-	2	1	2	-	2	2	1		3		40
Hansen, Ashley	2						-	-	2	1	-			3	5		1	1	-					1	3	-	19
Hunter, Adam	2	4	1	3	2	3	1	2	2	3	1	3	1	1	1	-					1	1	2	3	2	4	43
Hurn, Shannon					1	3		1				-			3	-											8
Jones, Brett		1		2	1	-									1	3	2	2		1	2	2	2	2	3	3	27
Jones, Rowan	3	2	4	2	1	6	1			2	3	2	1		3	2	1	1	2	1	5	-	1	1	2	1	47
Judd, Chris	3	3	1	5	3	2	1	2	-				-	4	5	6	1	3	2	1	3	1	2	-	1	2	51
Kerr, Daniel	7	1	-	5		2	1	2	6	6	4	2	3	7		3	1	2	12	3				1	2	3	73
LeCras, Mark														-	-							1	-				1
Lynch, Quinten	1	3	1	-	2	1	3	1	1	-	1	4	3	1	2	4	3	1	1	1	1	4	5	2	-	7	53
McDougall, Andrew																1											1
Morton, Mitch																	-										
Nicoski, Mark	4	2	3	2			-	2	1	2	2	3	5	-													26
Priddis, Matt										4		2															6
Rosa, Matt		3	1	1	2	2	-	-	5	2	4		2			2						-	-	3			27
Sampi, Ashley	2	-	-	1	-	2	-										-	1	2	-	2						10
Seaby, Mark	-	2	1	1	5	1	-	2	2		2	1		1	2	4	3	5	-	2	2	2		1	1	3	43
Selwood, Adam	6	-	3	2	1	-	1	3	1	3	1	3	1	4	2	1	2	-	3	1	1	3	4	1	2	2	51
Staker, Brent	1	-	3	2	2	2	1	1	6	-	1	1	5	3	2	4	4	4	1	2	2	-	6				53
Stenglein, Tyson	-	-	-	1	1	3	-	1	2	2	3	2	-	1	2	3	2	2	4	-	2	3	1	4	1	2	42
Waters, Beau	2	4	2	2	2			2	1	1	5	3		5	5	3	1	2	3	2	3	3	2	5	2	4	64
Wirrpanda, David	2	3	-	1	3	2	4	2	2	3	3	1	1	1	2	1	4	4	4	1	-		4	-		-	48
Wooden, Josh					3	4																					7
Totals	50	47	32	41	36	45	30	45	40	42	47	43	38	44	43	51	38	44	46	30	42	35	48	41	40	48	1086
Opponent	SK	AD	RI	KA	BL	FR	CW	ES	ME	GE	CA	PA	WB	HW	SY	CW	AD	SK	KA	BL	FR	RI	SY	WB	AD	SY	
