Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	GF	Tot
Armstrong, Steven													2				-	-	-	1		2	3	1	-	-	9
Banfield, Drew									1	-	-	-	-		-	1	1			-	1	2	-		1	-	7
Braun, Michael	-	1	-	1	2	-	2	-	1	1	1	1		1	1	-	5	1	1	-	-	1	1	-	2	-	23
Butler, Sam													3	5	4	2	2	1	-	4	4	1	3	5	2	1	37
Chick, Daniel	-		2	2	-	-	1	1	1	1	1	1	2	1		-	-	2	4		1	-	1	-	-	1	22
Cousins, Ben	4	2	3				8	7	2	5	6	5	2	1	2		7	3	5	4	3	8	3	3	6	3	92
Cox, Dean	6	3	2	-	2	3	2	2	3	5	6	1	-						2	7	-	2	2	3	1	7	59
Embley, Andrew	1	-	2	-	1	-	-	-	2	1	1	-	1	-	1	1		-	-	-	1			-	-	1	13
Fletcher, Chad	5	1	5	4	1	2	2	2	3	3	8	-	1	3	1			2	1	4	2	1	2	5	-	7	65
Gardiner, Michael													2	1	1												4
Glass, Darren	-	-	-	-	-	-	-	-	-	-	-	-	-	-		1	-	-	-	-	-	-	-	1	-	-	2
Graham, Jaymie	1	-	-	1	-	-	-	1	1	-	-	-	1	-	-	1	-	-	-	-	-	-	1		-		7
Hansen, Ashley	-						1	-	-	-	-			1	-		-	-	-					-	-	-	2
Hunter, Adam	-	2	1	-	-	1	-	-	-	-	-	1	1	-	-	-					-	-	1	-	-	-	7
Hurn, Shannon					-	-		-				1			4	-											5
Jones, Brett		-		-	-	1									-	-	-	-		2	1	-	4	-	1	1	10
Jones, Rowan	1	3	3	1	2	3	-			1	2	-	-		2	4	2	2	2	2	-	1	1	1	-	1	34
Judd, Chris	5	6	2	6	10	12	6	7	6				6	10	6	-	8	4	5	1	4	5	11	7	7	8	142
Kerr, Daniel	3	8	4	1		2	5	5	6	5	7	1	2	4		12	10	5	5	-				6	3	6	100
LeCras, Mark														-	-							-	-				
Lynch, Quinten	-	-	-	-	2	-	-	-	-	1	1	-	1	-	-	-	1	2	1	1	1	1	1	-	-	-	13
McDougall, Andrew																-											
Morton, Mitch																	1										1
Nicoski, Mark	2	-	2	1			-	-	2	-	-	2	-	-													9
Priddis, Matt										3		1															4
Rosa, Matt		1	1	1	3	2	-	2	3	2	-		1			-						1	-	1			18
Sampi, Ashley	-	-	-	-	1	1	-										1	1	-	2	-						6
Seaby, Mark	-	-	3	1	1	2	3	-	2		1	1		1	6	5	3	3	1	-	2	2		2	-	-	39
Selwood, Adam	3	-	1	2	1	3	1	2	1	-	1	1	3	-	4	-	-	2	1	1	1	-	3	-	1	1	33
Staker, Brent	-	-	-	1	-	1	-	-	-	-	1	-	-	-	-	1	-	-	-	-	-	-	1				5
Stenglein, Tyson	-	-	-	2	6	3	6	5	4	1	2	1	1	3	1	3	3	4	4	1	5	3	3	2	2	1	66
Waters, Beau	3	2	-	-	-			-	1	1	-	1		-	-	-	1	3	1	1	1	-	-	1	2	-	18
Wirrpanda, David	-	1	1	-	-	-	-	-	-	2	1	-	-	-	2	-	2	1	-	-	-		-	-		-	10
Wooden, Josh					3	1																					4
Totals	34	30	32	24	35	37	37	34	39	32	39	18	29	31	35	31	47	36	33	31	27	30	41	38	28	38	866
Opponent	SK	AD	RI	KA	BL	FR	CW	ES	ME	GE	CA	PA	WB	HW	SY	CW	AD	SK	KA	BL	FR	RI	SY	WB	AD	SY	
