Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	GF	Tot
Armstrong, Steven													3				-	-	-	2		3	-	1	1	-	10
Banfield, Drew									-	-	-	-	-		-	1	-			-	-	-	1		2	-	4
Braun, Michael	-	-	-	1	3	2	1	2	-	1	1	-		-	4	1	3	1	-	-	-	1	1	1	1	1	25
Butler, Sam													-	1	1	1	-	-	1	2	3	2	-	2	-	1	14
Chick, Daniel	-		-	1	-	-	1	-	-	-	1	-	-	1		-	-	-	1		1	2	1	1	-	-	10
Cousins, Ben	1	1	1				1	2	1	4	2	-	-	1	2		-	-	-	1	1	-	1	2	-	3	24
Cox, Dean	4	2	-	1	1	2	-	-	3	2	3	2	-						1	2	1	-	3	1	1	4	33
Embley, Andrew	-	2	2	-	1	1	-	1	-	-	1	2	-	-	2	2		-	-	-	1			2	1	2	20
Fletcher, Chad	-	1	1	-	3	2	-	-	-	-	-	-	-	1	2			-	-	2	-	1	1	-	-	-	14
Gardiner, Michael													-	-	1												1
Glass, Darren	-	-	1	1	-	-	-	-	1	-	-	2	1	-		-	-	1	1	-	2	1	1	1	-	-	13
Graham, Jaymie	-	1	-	1	1	-	-	2	-	1	1	2	1	-	3	1	-	-	-	1	1	1	2		2		21
Hansen, Ashley	-						1	2	-	-	1			1	1		1	-	-					-	-	2	9
Hunter, Adam	-	-	-	2	1	1	-	1	-	-	2	-	1	-	-	-					-	-	3	1	1	1	14
Hurn, Shannon					-	1		-				-			1	-											2
Jones, Brett		1		-	1	-									3	-	-	1		-	1	-	-	1	-	-	8
Jones, Rowan	1	2	2	-	-	1	-			3	-	1	1		4	-	1	1	-	1	1	-	-	1	1	-	21
Judd, Chris	1	2	-	2	1	3	2	4	-				1	3	1	2	1	-	1	-	5	1	1	2	-	1	34
Kerr, Daniel	-	2	1	-		1	1	2	4	2	1	-	1	-		2	1	2	4	2				4	2	1	33
LeCras, Mark														1	1							2	-				4
Lynch, Quinten	-	1	-	-	-	-	-	1	-	1	-	-	1	1	2	-	2	1	1	-	2	-	3	1	-	-	17
McDougall, Andrew																3											3
Morton, Mitch																	1										1
Nicoski, Mark	-	-	1	2			1	2	1	1	-	-	-	-													8
Priddis, Matt										1		-															1
Rosa, Matt		1	-	-	1	3	-	-	2	1	-		1			-						-	-	1			10
Sampi, Ashley	1	-	-	-	-	-	-										-	-	-	-	-						1
Seaby, Mark	1	-	1	-	1	2	1	-	-		-	-		1	-	2	3	2	-	1	4	1		1	-	-	21
Selwood, Adam	-	-	-	2	2	2	-	3	-	-	1	-	1	2	4	-	1	-	2	2	3	1	2	4	1	1	34
Staker, Brent	1	-	2	2	-	-	-	-	-	1	1	-	1	-	-	1	-	-	-	-	1	-	-				10
Stenglein, Tyson	-	1	-	-	1	1	1	-	-	1	2	1	-	3	2	-	2	-	1	1	1	1	2	1	1	1	24
Waters, Beau	1	1	-	1	2			1	3	1	1	-		-	1	-	3	-	-	1	-	-	3	-	4	1	24
Wirrpanda, David	1	2	-	1	-	1	2	-	-	2	1	-	1	1	-	-	-	-	-	4	-		-	-		1	17
Wooden, Josh					1	-																					1
Totals	12	20	12	17	20	23	12	23	15	22	19	10	14	17	35	16	19	9	13	22	28	17	25	28	18	20	486
Opponent	SK	AD	RI	KA	BL	FR	CW	ES	ME	GE	CA	PA	WB	HW	SY	CW	AD	SK	KA	BL	FR	RI	SY	WB	AD	SY	
