Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Abraham, Winston	2	-	2	2	-	2	3	-	-	1	1	-	1	-	1	3	-	3	1	1	1	2	2	2	-	30
Allison, Brett				-	-	2	-	-										-	-					-	-	2
Anderson, Brady	1	-	-	1	1	-	1	1	-	-					-	2	-					-				7
Archer, Glenn	1	2	-	2	-	2	-	-	-	-	1	-	1	1	1	-			-		1	-	-	1	-	13
Bell, Peter	-	-	2	-	-	-	-	1	-	2	1	1	-	1	1	-	-	1	-	-	1	1	1	1	1	15
Blakey, John	1	2	-	1	-	-	1	2	1	-	1	1	2	1	-	-	1	3	-	2	-	-	-	2	-	21
Capuano, Matthew	1		-	2	-	-												1	-	-	1	2	-	1	-	8
Carey, Wayne	-	1	2	1	1	1	1	1	4	1	1	-	1	2	2	2	1	-	1	1	4	2	-	3	1	34
Chandler, Brett		-	-					1	1	-	1	-	-	1	-	1	-	-	1	-			-			6
Cochrane, Stuart						-							-	-												
Crocker, Darren											1	-	-			-	-			-	-					1
Freeborn, Glenn	1																	-	-	1	1	-	1	-	-	4
Grant, Shannon	1	2	1	-	-	1	-	-	-	-	-	2	2	1	-	-	1	-	-	1	1	-	2	-	-	15
Groom, Chris	-	-								-																
Harvey, Brent			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1
Hewitt, Evan	-	1	1	2	1	2	1	-	3	1	-	-	5	1	1	-	-	2				-				21
King, David	-	-	1				-	1	-	-	-	-	-	-	2	2	-	1	3	3	1	2	1	2	2	21
Longmire, John				1	-			-	1	-	-	2	2				-						1			7
Martyn, Mick	-	-	1	2	1	-	1	-			-			1	-	-	-	1	2	1	2		2	-	-	14
McCartney, Jason	3	1	1	1	-	1	2	1	-	2	1	-	1	-	-				-	1	1	3	1	2	1	23
McKernan, Corey			-	4	-	1	4	3	-	-			2	1	1	1	3	-	2	4	2	3	2	1	3	37
Mellington, Anthony		-	-			-						-	-													
Miles, Dion											-	-														
Pickett, Byron	1	1	1	-	2	-	-	-	2	1	1	-	2	-	3	3	1	-	1	1	1	2	-	3	-	26
Pike, Martin	-	1	2	6				-	1				1	1	-	2	1	1	1	4	-	1	2	-	1	25
Roberts, Mark											-	-	-	1	2	-	1	2	2	-	1	1	-	1	-	11
Rock, Anthony	-	-		2	1		-	-	1	-	-	-				1	-	-		1	1	1	-	-	-	8
Scott, Robert	1	2	-	-	2	2	-	-	-			2	-	-	1	-	-	1	-	1	1	-		1	-	14
Sholl, Craig	1	-	3	1	-	1	-	1	-	-	-	-	-		3	1	-	1	1	1	-	-	-	1	-	15
Simpson, Adam	-	-			-	-	-		1	-				1	-	-	2	1	3	1	1	4	1	-	4	19
Stevens, Anthony	1	-	4	4	3	1	2	2	2	2	1	2	2	-	2	-	1	2	3	-	1	1	-	2	3	41
Stevens, Danny							-			-	-															
Watt, Shannon														-	-											
Welsh, Scott	-	-	-	-	-	-	-		-	-	-	-		-												
Totals	15	13	21	32	12	16	16	14	17	10	10	10	22	13	20	18	12	20	21	24	22	26	16	23	16	439
Opponent	WC	ME	PA	BL	FR	AD	WB	SY	CA	GE	CW	RI	HW	ES	SK	WC	ME	PA	BL	FR	AD	WB	ES	ME	AD	
