Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Adcock, Jed							-		-																	
Akermanis, Jason	2	3	4	1	1	2	-	1	4	2	3	1	-	-	3	1	2	-	1	1	1	6	3	1	1	44
Black, Simon	-	-	-	-	1	1	1	1	-	-	3	2	1	-	-	-	-	-	2	-	-	2	-	1	-	15
Bradshaw, Daniel	-	-		-			1	-	-	-	2	-	-	-	-	-	-	-	1	1	-	-	-	-	-	5
Brennan, Jared	-	-				1	-	-	-	-	-	-														1
Brown, Jonathan			2	1	1	-	1	1			-	1	-	1	2					-	-	-	-	-	-	10
Caracella, Blake	-	-	-	-										1	1	1	-	-	-	-	-	-	-	-	1	4
Charman, Jamie	-	-	-	1	-	-	-	-			-	-	-	-	-	1	-									2
Copeland, Robert	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Corrie, Anthony				-	-	-	-		-		1	-							-							1
Hadley, Richard	-	1	-			-	2	1	-	-	-	-	-	-	1	-	3	-	-	-	2	1	-	-	-	11
Hart, Shaun	1	-	-	-	-	-	-	4	1	-				-	1	-		-	1	-	-	-	-	-		8
Johnson, Chris	-	-	2	-	-	-	-	1	-	-	-	-	-	-	1	-	3	-	-	1	2	-	-	-	-	10
Keating, Clark	-	-						-	-									-	-	-	1	-		1	-	2
Lappin, Nigel	-	-	1	-	-	-	1	-	-	2	-	-	1	-	1	2	-	-	1	-	-	-	2	-	1	12
Leppitsch, Justin	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	2	-		-	1	-	-	-	-	-	5
Lynch, Alastair			-		1	2	-							-	-	-	1	-			-	-		2	-	6
Macdonald, Joel										-	-	-	-	-	-	-	-	-	-				1			1
McGrath, Ashley	-	-	1	-	-			1	-	2	-	1	1	1	-	-	1	1	-	-			-			9
McLaren, Dylan			-	-	-					2	-	1	-	-	-	-	-	-	1	-	-	-	-	-	-	4
McRae, Craig	1	2	-	-	-	-	2	-		-						1	-	-	1	-	-	4	1	1	-	13
Michael, Mal	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Notting, Tim	-	-	-	-	-	-	-	-	-	-	2	2	-	1	-	1	2	-	-	1	-	-	-	-	-	9
Pike, Martin	1	1	-	-	1	1	1	1	-	-	-	-	-	-	1	-	-	-	-	-	-	3	1	-	-	11
Power, Luke	-		-	2	1	1	2	1	1	2	-	1	-	1	2	1	3	1	-	-	-	1	-	-	2	22
Pratt, Daniel									-	1			-													1
Rischitelli, Michael																	1									1
Scott, Brad	-	-	1	-	-	-	-	-	-	1	-		1										2	-	-	5
Scott, Chris												1	-	-	1	-	-	-		-	1	1	2	-	-	6
Shattock, Aaron		-		-	-	-	1	1	-																	2
Voss, Michael	1	1	1	1	1	2		1	1	-	-	4	1	-	-	-	2	-	-	-	2	1	-	-	-	19
White, Darryl	-	-	-		-	-				-	-	1	-					-	-	-	1	-			-	2
Totals	6	8	12	6	7	10	12	14	7	13	12	15	5	5	14	10	18	2	8	5	10	19	12	6	5	241
Opponent	SY	AD	CW	WC	HW	SK	KA	CA	FR	ME	PA	ES	GE	RI	WB	CW	AD	SY	WC	HW	SK	KA	SK	GE	PA	
