Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Bell, Peter	-	1	2	-	2	1	-	3	-	-			3	-	-	-	1	2	-	3	1	-	1	-	-	20
Black, Heath	-	-	-	-	-	1	-	-	-	-	-	-	-	-		1	-	-	-	1	1	1	-	1	-	6
Campbell, Adam										1																1
Carr, Josh	-	-	-	2	-	-	1	-	-	-	-	-	-	-	-	-			-	-	1	-	-	1	-	5
Carr, Matthew	-	1	-	-	-	1	-	-	-	-	-	-	-	-	1	-	1	-	-	2	-	1	1	1	-	9
Cook, Troy					-		-					-	-	-	-		-	-	-	1	1	1	-	-	-	3
Crowley, Ryan	-	2	-	-	-	-	-					-	1	-	-	-	-	-			-	1	-	-	1	5
Dodd, Steven	-	1	-	-	-	-	-	1	-	-	1	-	-	1	-	-	1	-	-	-	-	1	-	-	-	6
Drum, Marcus													-	1	-	-	-									1
Duffield, Paul					-	-	-	-	-		1	-														1
Farmer, Jeff	1	1	2	-	-		-	1		1	-	-	1		-	1	2	1	2	-	5	-	-	1	-	19
Gilmore, Daniel	-	-			-						-					-	-	-	1	-						1
Grover, Antoni		-	-	-	-	-	-	-	-	-	-									-	-	-	-			
Haddrill, Robert												-														
Hasleby, Paul	-		1	-		-	-	1	-	-	-	-	-	1	-			1			-		-			4
Hayden, Roger		-	-	-									-	2	1	-	1	-	-	-	-	-	1	-	-	5
Headland, Des	1	-	1	-	-	-				-	1	-	-	-	1	1			-	2	-	1	-	-	-	8
Johnson, Michael	-	1	1	-	-	-	-	-	-	1	-	-	-	-	1	-	1	-	-	-	1	-	-	-	-	6
Longmuir, Justin	-	-	-	-				-	-				-	-				1	1	-	-	1	-	-	1	4
McManus, Shaun	-	-	1	1	1				-	1	-	-	-	2	1	1	-	-	1	-	-	-	-	-	-	9
McPharlin, Luke	-	-	1	1	1	-	-	1		-	-	1			-	-	-	-	-	-	-	1	-	-	-	6
Medhurst, Paul	-	1	-	-		-	-		-	-	-	-		1			-									2
Mundy, David	-	-	-	-	-	-	-	1	-	-	-	1	-	-	1	-	-	-	-	-	-	-	-	-	-	3
Murphy, Ryan	-							-	-				-	1	-	-	-	1	-					-	-	2
Parker, Shane	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Pavlich, Matthew	1	-	1	-	-	1	-	-	-	2	-	1	-	1	1	1	-	1	-	2	1	1	-	1	1	16
Peake, Brett		-				-		-	1	1	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-	4
Polak, Graham			1	-	-	-	1	-	-	-	-		-									-				2
Sandilands, Aaron	-	1	-	1	-	-				1	-	-		-	-	-	1	-	-	-	-	-	-	-	1	5
Schammer, Byron	-	-	1	-	-	-	-	-	-	-	1	-		-	1	1	2	-	1	1	-	1	-	-	1	10
Schofield, Jarrad								-	-																	
Thornton, Scott					-	1	-	-	-																	1
Walker, James	1					-	-	1	-	2	1	1														6
Warren, Michael							-																			
Webster, Luke													-		-	1	3	-	1	-				2	-	7
Totals	4	9	12	5	4	5	2	9	1	10	5	4	5	10	8	8	13	7	7	12	11	11	3	7	5	177
Opponent	HW	CA	PA	AD	SK	WC	ME	KA	BL	RI	WB	GE	SY	ES	CW	ME	CA	HW	AD	SK	WC	PA	AD	ME	SY	
