Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Alessio, Steven								1	1	2	3	-	-	1	2	2	2					-	-	14
Banks, Matthew					-																			
Barnard, Paul	-	-				-				-	-	1	2	1	-	-	2	1	-	1	-	2	4	14
Berbakov, Peter			-		-			-	2	-	5	-	-	1	-	1	-	-	1	2	-			12
Bewick, Darren	1	-	1	1	-	-	-	-	2	-	2	1	-	1	1	-	-	3	-	-	3	1	-	17
Blumfield, Justin		1	-	-	4	3	1	-	5	-	-	4	2	1	2	1	1	-	2		2	1	2	32
Bolton, Mark	1	-	-	2																				3
Bomford, Andrew		1	4	-	1	-	-				1		-	1	1									9
Calthorpe, David	-	2	2	1	2			4	2	-	1	-	1	1	-	1	2	-	3	-	-	1	1	24
Caracella, Blake		-	-	1	1	1	4	2	-	3	3	-	-	2				4	1				2	24
Cockatoo-Collins, Che	2		-	1	1	1	-					1			1	-		1	-	1	-	-		9
Denham, Sean	-	-	4	1			3			2						2	4	2		1			1	20
Doolan, Ben				2	-	1	4	1							-				2	1	3	1	2	17
Eastaugh, Simon			-			2	1	-	3	-	2	-	2	-								2	-	12
Fletcher, Dustin	1	1	-	-	-	2	1		1	2				-	1	2	1	-	-	3		1	-	16
Fraser, Mark	2	-	1	7	2	2		-	-	1	-				2	1	4	2	1	-	1	-		26
Hardwick, Damien	-	-	1	3	-	2	3	3	2	2	2	3	-	1	4	1	3	4	-	1	2	3	3	43
Heffernan, Chris	1	4	1	2	2		-							6	5	2					1	3	4	31
Hird, James	3	-							1	1	1	6	-				4		-	1	3	3	1	24
Johnson, Jason								1									1	-	3	3	-	-	1	9
Lalich, Judd													-	-										
Lloyd, Matthew	-	-	-	1	-	1	1	1	2	2	1	1	1	3	-	-	2	-	1	3	1	-	3	24
Long, Michael												-	1	1	-	2	2				1	-	2	9
Lucas, Scott	1	-	1	1	-	-	1	-	2	2	2	2	5	1	2	1	2	2	1	2	2	-	-	30
Mercuri, Mark	3	-	-	-			3	1	1	2	1	1	1	2	1	2		1	1	1	3	1	2	27
Misiti, Joe				-	-	3	3	1	1	-	2	-	2	1	2	2	5	2	1	-	4	-		29
Moorcroft, Gary	1	4	2	3		1	4	3	1		-	-	1	2			-	3	-	-			3	28
OConnor, Ryan	4	2		2	1	-	-	1	-		1	1						1	-	-	2			15
ODonnell, Gary	5	-	1	3	3	6		2					2		1	1	4	-	1	4	1	-	-	34
Olarenshaw, Ricky	-		-			2	2	1	2	2	1	2	3	-	2	-	2	2		2	-			23
Prior, Michael	-					4	2	1	-	1	2	-												10
Solomon, Dean					1	1	2		3			4	1	1										13
Somerville, Peter	1	-	2	1	-										-	-	1	-	2	1	-			8
Symons, Michael	5	-																				1		6
Ukovic, Andrew					3	1	-	1	-	2	1													8
Wallis, Dean										-														
Wellman, Sean	-	1	1	1	1	1	-	2	1	-	-	-	-	2	1	-	1	-	1	-	-	1	1	15
Young, Barry																3	1						1	5
Totals	31	16	21	33	22	34	35	26	32	24	31	27	24	29	28	24	44	28	21	27	29	21	33	640
Opponent	RI	SK	CA	FR	CW	WB	GE	BL	ME	HW	SY	AD	WC	NM	PA	RI	SK	CA	FR	CW	WB	GE	NM	
