Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Alessio, Steven								2	1	1	-	-	-	2	-	1	-					-	-	7
Banks, Matthew					-																			
Barnard, Paul	1	1				-				-	1	-	2	-	1	1	-	-	1	2	1	1	1	13
Berbakov, Peter			-		-			-	1	-	2	-	1	1	-	1	2	2	-	1	2			13
Bewick, Darren	2	-	-	1	2	-	-	-	1	-	-	-	2	-	1	-	1	1	1	1	1	1	-	15
Blumfield, Justin		1	-	-	-	1	2	-	-	1	-	2	-	-	-	-	2	-	-		-	-	-	9
Bolton, Mark	-	1	-	-																				1
Bomford, Andrew		-	-	-	-	1	1				-		-	-	-									2
Calthorpe, David	1	2	-	1	-			1	-	1	1	2	2	-	-	-	-	1	1	-	2	-	-	15
Caracella, Blake		-	1	1	-	1	-	1	1	1	-	1	1	1				2	-				1	12
Cockatoo-Collins, Che	2		-	1	1	1	1					1			1	-		-	2	-	-	2		12
Denham, Sean	-	-	-	1			-			3						-	2	1		-			-	7
Doolan, Ben				-	-	-	-	-							1				2	1	2	-	-	6
Eastaugh, Simon			1			2	-	-	2	-	1	-	2	-								-	1	9
Fletcher, Dustin	1	2	-	2	1	3	-		2	-				1	-	1	-	3	-	1		-	-	17
Fraser, Mark	2	-	1	1	-	2		1	-	-	-				1	2	-	1	-	1	2	-		14
Hardwick, Damien	2	2	-	3	-	1	4	-	-	2	1	2	-	2	1	3	2	3	-	5	3	-	1	37
Heffernan, Chris	1	2	-	1	-		-							-	3	-					1	-	1	9
Hird, James	1	-							-	-	2	-	-				1		-	2	3	-	3	12
Johnson, Jason								-									2	-	-	1	1	1	1	6
Lalich, Judd													1	-										1
Lloyd, Matthew	-	1	3	1	-	-	1	1	1	-	1	2	-	1	-	1	-	1	1	-	-	-	2	17
Long, Michael												-	1	-	-	2	1				1	1	1	7
Lucas, Scott	1	2	2	2	-	3	-	-	1	-	2	1	1	-	1	1	1	-	2	-	-	1	2	23
Mercuri, Mark	-	-	-	1			-	1	2	1	-	2	-	-	-	1		1	3	2	3	-	1	18
Misiti, Joe				-	1	2	-	-	-	1	1	-	-	1	-	1	-	-	-	-	-	1		8
Moorcroft, Gary	1	-	1	1		-	2	-	-		-	-	1	-			-	1	-	1			-	8
OConnor, Ryan	1	-		2	-	1	1	-	-		2	-						-	3	-	-			10
ODonnell, Gary	-	-	1	1	1	-		-					-		-	1	1	-	1	-	1	2	-	9
Olarenshaw, Ricky	1		-			1	-	4	-	2	1	1	2	2	4	-	1	-		2	1			22
Prior, Michael	-					2	1	1	-	-	-	-												4
Solomon, Dean					1	-	1		-			-	1	-										3
Somerville, Peter	2	-	1	-	-										-	1	-	-	2	1	1			8
Symons, Michael	1	1																				2		4
Ukovic, Andrew					-	1	2	-	-	-	-													3
Wallis, Dean										1														1
Wellman, Sean	1	-	-	1	1	-	1	1	-	3	-	1	2	2	1	-	1	2	1	1	-	2	-	21
Young, Barry																-	2						1	3
Totals	21	15	11	21	8	22	17	13	12	17	15	15	19	13	15	17	19	19	20	22	25	14	16	386
Opponent	RI	SK	CA	FR	CW	WB	GE	BL	ME	HW	SY	AD	WC	NM	PA	RI	SK	CA	FR	CW	WB	GE	NM	
