Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Alessio, Steven								2	3	2	-	-	-	1	1	-	-					1	-	10
Banks, Matthew					-																			
Barnard, Paul	1	-				-				-	1	-	-	-	-	1	-	1	-	-	-	-	1	5
Berbakov, Peter			-		-			-	-	-	-	-	-	-	-	-	-	-	-	-	-			
Bewick, Darren	1	1	-	1	1	1	-	-	1	-	-	3	-	2	1	-	-	-	2	2	-	-	-	16
Blumfield, Justin		1	1	1	2	1	1	-	-	-	-	-	-	-	-	-	-	1	-		1	-	-	9
Bolton, Mark	-	-	-	-																				
Bomford, Andrew		-	1	-	-	-	-				1		-	-	-									2
Calthorpe, David	-	-	-	-	-			-	1	-	1	3	-	-	1	-	2	-	1	-	1	-	-	10
Caracella, Blake		1	1	-	-	-	-	1	2	1	1	-	-	-				-	-				-	7
Cockatoo-Collins, Che	-		2	-	1	1	-					-			-	1		1	-	1	-	1		8
Denham, Sean	-	2	-	-			-			-						-	-	-		-			-	2
Doolan, Ben				-	-	-	-	-							-				-	-	-	-	-	
Eastaugh, Simon			1			-	-	-	-	-	-	2	-	-								-	-	3
Fletcher, Dustin	-	1	-	-	-	-	-		-	-				-	-	1	-	-	-	-		-	-	2
Fraser, Mark	1	1	-	2	2	-		1	-	-	-				-	-	-	-	-	-	2	-		9
Hardwick, Damien	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Heffernan, Chris	-	-	-	-	-		-							-	-	-					-	-	-	
Hird, James	-	1							2	4	3	1	-				-		1	2	2	1	2	19
Johnson, Jason								-									-	-	-	-	-	-	-	
Lalich, Judd													1	1										2
Lloyd, Matthew	1	1	5	4	-	-	1	1	2	2	4	1	1	4	2	3	-	-	-	2	2	1	1	38
Long, Michael												-	-	-	-	-	-				-	1	3	4
Lucas, Scott	1	-	1	-	2	4	-	2	1	-	1	4	1	3	-	1	1	3	3	1	1	-	1	31
Mercuri, Mark	-	-	1	1			-	1	-	3	1	-	-	1	3	-		-	-	-	-	2	1	14
Misiti, Joe				-	-	-	-	1	1	-	-	-	-	-	1	-	-	1	-	-	-	-		4
Moorcroft, Gary	-	3	1	-		1	-	1	-		1	-	-	-			-	1	-	-			1	9
OConnor, Ryan	1	-		-	-	1	-	-	-		-	-						-	2	-	-			4
ODonnell, Gary	2	-	-	-	-	-		-					-		-	-	-	-	-	-	-	-	-	2
Olarenshaw, Ricky	-		-			-	-	1	-	1	-	1	2	-	-	-	-	-		-	-			5
Prior, Michael	-					-	-	-	-	-	-	-												
Solomon, Dean					-	1	-		-			-	-	-										1
Somerville, Peter	-	-	-	-	1										-	-	-	-	-	-	1			2
Symons, Michael	-	-																				-		
Ukovic, Andrew					1	-	-	-	-	-	-													1
Wallis, Dean										-														
Wellman, Sean	2	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	3
Young, Barry																1	-						-	1
Totals	10	12	15	9	10	10	2	11	13	14	14	15	5	12	9	8	3	8	9	8	10	7	10	224
Opponent	RI	SK	CA	FR	CW	WB	GE	BL	ME	HW	SY	AD	WC	NM	PA	RI	SK	CA	FR	CW	WB	GE	NM	
