Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	GF	Tot
Anthony, John	-	-						-		-				-	-						-						
Ball, Luke	-	-	-	-	-	1	-	-	-	-	-		-	-	-	-	-	-	-		-	-	-	-	-	-	1
Barham, Jaxson												-															
Beams, Dayne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	2
Blair, Jarryd														-	-	-	-	-		1	-	-	-	-	-	-	1
Brown, Leigh	-	-	-	-							-	-	-	-	-	-	1	-	-	-	-		-	-	-	-	1
Brown, Nathan					-	-	-	-	-									-		-	-	-	-	-	-	-	
Cloke, Travis	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	2
Davis, Leon	-	-	-	1	-	-	-	-	-		1	-	-	-		-	-	-	-			-	-		-		2
Dawes, Chris					-	-	-	-	-	-			-	-	1	-	-	-	-	-	-	-	-	-	-	-	1
Dick, Brad												-	-														
Didak, Alan	-	-	-	-	-	-	3	-	-	-	-		-	2	-	3	2	1	-	-	-		-	-	-	-	11
Fraser, Josh	-	-	-	-	1	-					-	-										-					1
Goldsack, Tyson													-	-	-	-	-	-	-		-	-		-		-	
Johnson, Ben	-	-		-	2	-	-	-	1	-	-		-	-	-	-	-	-	-	-	-		-	-	-	-	3
Jolly, Darren	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	3
Lockyer, Tarkyn	-	-	-	-								-	-	-	-	-	-			-							
Lumumba, Heritier	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3
Macaffer, Brent			-	-	-	-	-	-	-	-	-	-				-	-	-	-	-	-	-	-	-	-	-	
Maxwell, Nick	-	-	-	-	-	-	-	-	-	-	-	-					-	-	-	-	-	-	-	-	-	-	
McCarthy, John			-																			-					
Medhurst, Paul	-	-	-	-	-	-	-				-	-								-							
OBree, Shane	-		-				-	-	-	-																	
Pendlebury, Scott	-	2	-	-	3	-	-	3	-	-	2	-	-	-	-	-	-	3	2	3	3	-	-	-	-	-	21
Prestigiacomo, Simon	-		-	-						-	-	-	-	-	-	-	-		-	-							
Reid, Ben		-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	
Shaw, Heath	-	-		2	-	-	-	-	-	-	-	-	3	-	-	-			-	-	-	-	-	-	-	-	5
Sidebottom, Steele	-	-	-	-	-	-	1	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	1
Swan, Dane	2	-	-	3	-	2	2	-	-	-	-	2	2	1	2	2	3	-	-	2	-	1	-	-	-	-	24
Thomas, Dale	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	1	-	-	-	-	1	-	-	-	-	-	4
Toovey, Alan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Wellingham, Sharrod	-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	3
Wood, Cameron							-	-	-	-																	
Totals	5	2	0	6	6	3	6	5	1	2	3	2	5	6	3	6	6	6	5	6	4	1	0	0	0	0	89
Opponent	WB	ME	SK	HW	ES	CA	NM	FR	GE	BL	WB	ME	SY	WC	PA	SK	RI	CA	GE	ES	AD	HW	WB	GE	SK	SK	
