Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	GF	Tot
Anthony, John	-	-						-		-				1	-						-						1
Ball, Luke	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	1	-		-	-	-	-	-	-	1
Barham, Jaxson												-															
Beams, Dayne		3	-	-	-	1	-	1	-	-	-	-	1	-	-	-	1	-	-	-	-	3	-	-	-	-	10
Blair, Jarryd														-	1	1	-	-		3	1	-	-	-	-	-	6
Brown, Leigh	-	-	-	-							-	-	-	-	-	-	-	-	2	2	-		-	-	-	-	4
Brown, Nathan					1	-	-	-	-									-		-	-	1	-	-	-	-	2
Cloke, Travis	-	-	-	-	4	-	-	-	1	-	1	-	-	-	-			-	-	-	-	1	-	-	-	-	7
Davis, Leon	-	-	1	-	1	-	1	-	-		-	-	-	-		-	-	-	-			-	-		-		3
Dawes, Chris					-	-	-	-	-	-			-	-	-	-	-	1	-	-	-	-	-	-	-	-	1
Dick, Brad												2	5														7
Didak, Alan	1	1	1	-	2	-	-	-	1	-	-		1	1	-	5	2	-	-	-	1		1	4	-	-	21
Fraser, Josh	-	-	-	-	1	-					1	-										-					2
Goldsack, Tyson													-	-	2	-	1	1	1		2	-		1		-	8
Johnson, Ben	5	1		-	1	2	2	-	2	3	1		2	2	-	2	2	2	1	2	-		4	2	-	4	40
Jolly, Darren	-	-	-	-	-	-	-	-	-	-	2	6	-	2	-	1	-	-	1	-	-	-	-	-	1	-	13
Lockyer, Tarkyn	-	-	-	-								-	-	-	-	1	1			-							2
Lumumba, Heritier	8	3	3	1	1	1	-	1	2	2	4	9	8	2	3	1	1	3	4	-	2	4	1	7	1	3	75
Macaffer, Brent			1	-	-	-	-	-	-	-	1	1				-	-	1	-	-	-	-	1	-	-	-	5
Maxwell, Nick	-	3	-	3	-	1	-	1	1	1	-	1					-	-	-	-	-	1	4	6	1	-	23
McCarthy, John			-																			-					
Medhurst, Paul	1	-	-	-	-	-	-				-	-								-							1
OBree, Shane	-		-				-	1	-	-																	1
Pendlebury, Scott	1	1	-	1	2	1	1	-	1	-	1	2	2	1	1	-	-	-	3	1	-	1	1	1	2	-	24
Prestigiacomo, Simon	-		-	-						-	3	-	2	2	-	-	-		-	-							7
Reid, Ben		-			-	-	-	-	-	-	2	-	1	1	-	-	-	1	-			-	-	1	-	-	6
Shaw, Heath	4	3		6	9	2	4	3	2	3	6	4	3	4	2	-			6	7	-	-	4	6	2	5	85
Sidebottom, Steele	-	2	-	-	-	4	-	-	-	-	-	1	-		-	-	-	-	2	1	-	-	1	-	2	-	13
Swan, Dane	1	1	2	3	2	-	-	2	-	-	-	-	1	3	2	2	1	1	-	1	1	1	-	2	2	1	29
Thomas, Dale	-	-	2	1	4	1	2	3	3	-	1	3	3	-	3	5	1	5	1	4	2	-	4	1	1	2	52
Toovey, Alan	-	2	-	1	2	-	-	-	2	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	11
Wellingham, Sharrod	-	3	2	-	-	3			3	-	-	1	-	-	2	3	2	-	2	6	-	3	-	-	1	-	31
Wood, Cameron							-	-	-	-																	
Totals	21	23	12	16	30	16	10	12	18	9	23	30	29	19	16	25	12	16	23	27	9	15	21	31	13	15	491
Opponent	WB	ME	SK	HW	ES	CA	NM	FR	GE	BL	WB	ME	SY	WC	PA	SK	RI	CA	GE	ES	AD	HW	WB	GE	SK	SK	
