Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Barker, John	-	-	1	-	-	1	-	-	-	-		2	2	7	2	-	-	-	-	-	-	-	-	-	15
Barlow, Kris	1	1	3	2	-	2	-	1	2	2	-	1	4	4	2	3			3	2	-	-	-		33
Bateman, Chance			-	1																-					1
Bowyer, Glen						1	2	1	2	2	3	3	3	4	-	2	1	1	-	2	3	-	4	3	37
Chapman, Nathan												1	2	-											3
Chick, Daniel	-	1	1	3	1	3	3	5	2	3	-	3	3	5	3	3	6	-	3	5	2	-	1	1	57
Collica, Michael	1	2	1	4	1	1					-	1													11
Crawford, Shane	-	-	1	2	3	-	1	-			1	1	3	2	3	2	2	4	3	-		1	-	-	29
Croad, Trent	3	5	3	5	-	1	-	-	-	-	1	4	2	-	1	7		5	8	4		2	4	8	63
Dixon, Ben		-	-	-	-	-	-	-	2	1	3	-	1	-	1	-	-	-	1	2	-	-	-	-	11
Graham, Mark	-	2	4	-	3	2	7	5	5	1	3	4	1	1	2	2	4	-	2	2	3	1	2	6	62
Harford, Daniel	4	2	5	1	5	-	1	4	4	-	5	6	3	1	3	3	5			-	3	-	1	3	59
Hay, Jonathan	10	2		10	5		6	6	5	1				3	7	3	5	1		6	-	7	3	4	84
Holland, Nick	-	-	-	-			1	-	-	1	-	-	-	-	1	1	1	1	1	-	-	-	-	-	7
Johnson, Brett																-	-	1			1	-		7	9
Krummel, Brendan			1	1																					2
Lekkas, Angelo	6	-	3					1	-	2	1	3	2	-	1		-	1	2		2	3	1	5	33
Lord, Aaron	2				-	-											1	1	-	-					4
McCabe, Luke	3	3		2	2	4	4	3	4	2	2	1	1	6	-	2	2	6	4	2	3		1	1	58
McPharlin, Luke					-	-										-	1								1
Obst, Chris	2	3																							5
Picioane, Lance													1	1	-	-	1	-	5	1	2	2	-	1	14
Rawlings, Jade	5	5	7	5	2	8	6	2	4	4	8				4	-	2	3	6	6	6	2	9	3	97
Rock, Anthony	-	5	2	4	4	2	-	3	3	2	2	-	-	1	2	2	-	1	-	-	-	1	-	-	34
Rode, Steven					-																				
Salmon, Paul	1	1	-	2	1	1	2	1	4	2	2	5	1	2	3	3	2	5	1	2	5	6	1	-	53
Smith, Joel	1	-	1	-	-	1					2	-	1	-	1				5	2	2	1	1	-	18
Tallis, Rayden		3	1	1	4	1	6	3	5	1	2	2	6	3	4	4	2	2	3	3	3	4	4	2	69
Taylor, Richard	-		1	1	2	2	1	-	2	2	3	2	3	1	1			-	-						21
Thompson, Nathan	-	-	-			1	-	-	-	-	-	1	-	2	-	-	1	1	-	1	-	1	4	-	12
Treleven, Craig							-		1	-											4				5
Vandenberg, Richard			2	3	2	3	2	3	1	3	-	2	1			1	1	2	-						26
Woods, Tony	1	2	1	-			1	3	4	1	4	-	-	-	1	2	-	1	-	2	3	3	2	-	31
Young, Barry	3	3			2	4	2	-	-	2	1										5	3	1	1	27
Totals	43	40	38	47	37	38	45	41	50	32	43	42	40	43	42	40	37	36	47	42	47	37	39	45	991
Opponent	CW	CA	BL	ES	PA	AD	WB	KA	GE	WC	RI	FR	SY	SK	ME	CW	CA	BL	ES	PA	AD	WB	GE	KA	
