Player	R1	R2	R3	R4	R5	R6	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	QF	SF	PF	GF	Tot
Alessio, Steven	6	7	6	2	1	4	3	4	2			4		-				3							42
Bewick, Darren	2	3	1	2	2	4	4	5	5	3	2	2	3	3	3	4	-	6	3	1	-	2	1	-	61
Calthorpe, David												5	5	1		-	4	1	1		2	2	1	3	25
Cransberg, Peter	1	3	-		4																				8
Daniher, Anthony		5	3				1	1	2	1	-										3				16
Daniher, Chris	4	4	3	7	2	4				6	4	6	4	5							4	6	2	3	64
Delaney, Tony	2	1			1					2															6
Denham, Sean	2	-	-			2	3	4	2	-	5	4	1	5	-	7	2	2	1	2	-	-	3	1	46
Ezard, Alan						1							2	3							8				14
Fletcher, Dustin		1		4		2	2	2			3	2	4	1	2	2	1		3	4		2	3	5	43
Flood, David							4		-													5	2		11
Grenvold, David	3	3	4	2	4	3	1	4	2	3	6	7	1	3	2	4	1	-	5	1	4	-	3	3	69
Harvey, Mark	6	5	4	8	7	5	7	9	3	7	3	6	4	5	7	10	2	7	6	2	4			5	122
Hills, Paul	2	4	2	4	-	2	6	3	2			5		6	2	1	1		-	-	1	5	-	3	49
Hird, James	3	1	8	5	7	10	6	6	10	8	2				4					2		4	6	7	89
Kickett, Derek	3	3	4	2	5	3	3	3	2	1	-	5	6	8	3	1	4	7	6	4	3	-	2		78
Kilpatrick, Glenn	1												1												2
Long, Michael	3			3				4	5	6	3	1		10	1	4	1	4	3	2	6	5	3	8	72
Manton, Glenn	1											6	1				1	1	4	5					19
Mercuri, Mark	3	10	5	8	3	3	4	1	4	10	6					3	4	6	7	7	7	5	5	5	106
Misiti, Joe	3	4	4	9	6	6	5	5	1	1	7	2	5	3	1	4	3	1	4	3		6	3	4	90
ODonnell, Gary	4	3	2	1	4	3	3	7	2	6	1	3	3	5	5	3	2	2	6	5	2	1	3	9	85
Olarenshaw, Ricky			2	4		4	6	6	2						6	4	3	7	7	3	8	3	5	5	75
Plain, Bradley				2	4						2	2	4	5	-										19
Ridley, Todd	4			6	4																4				18
Salmon, Paul			7	10	9	10			9	7	7	5	7	14	6	10	6	3	9	6	4	10	8	10	157
Somerville, Peter			3			3	7	7		4	7		9	4	6	3	5	1	6	7	6	9	2	2	91
Sporn, Kieran	4	8	1		1														1						15
Symons, Michael				3	3	3	5	5	-	5	1	1	2	5	5	4	4	3	2	2	3	-			56
Thompson, Mark		3	5	3	2	2	5	7	3	5	7	10	3	10	3	4	-	3	2	4			4	6	91
Wallis, Dean		3								2					6	3		-	6	3				4	27
Wanganeen, Gavin	3	1	2	3	3	3	5	5	5	4	5	1	4		4	3	2	1		3	1	1	3	7	69
Watson, Tim							4	5	7	7	4	2	2	5	6	9	1	1			1	1	3	-	58
Totals	60	72	66	88	72	77	84	93	68	88	75	79	71	101	72	83	47	59	82	66	71	67	62	90	1793
Opponent	WC	CA	CW	SY	FO	GE	SK	AD	FI	HW	ME	RI	BB	NM	WC	CA	CW	SY	FO	GE	CA	WC	AD	CA	
