Player	R1	R2	R3	R4	R5	R6	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	QF	SF	PF	GF	Tot
Alessio, Steven	27	3	12	15	3	1	11	6	11			11		2				2							104
Bewick, Darren	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Calthorpe, David												-	-	-		-	-	-	-		-	-	-	-	
Cransberg, Peter	2	-	-		2																				4
Daniher, Anthony		-	1				-	-	8	-	-										2				11
Daniher, Chris	-	-	1	-	-	-				-	-	-	-	-							-	-	-	-	1
Delaney, Tony	-	-			-					-															
Denham, Sean	-	-	-			-	-	1	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	3
Ezard, Alan						-							-	-							-				
Fletcher, Dustin		5		2		4	2	-			-	-	-	-	-	-	1		-	-		-	1	1	16
Flood, David							-		1													2	-		3
Grenvold, David	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1	-	-	-	2
Harvey, Mark	-	-	-	-	-	-	-	-	1	-	1	-	-	-	1	-	-	-	-	-	-			-	3
Hills, Paul	1	-	-	-	-	-	-	-	-			-		-	-	-	-		-	-	-	-	-	-	1
Hird, James	1	-	1	-	-	-	-	-	-	-	-				-					-		-	2	-	4
Kickett, Derek	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		2
Kilpatrick, Glenn	1												-												1
Long, Michael	-			-				-	-	-	-	-		-	-	-	1	-	-	-	-	-	1	-	2
Manton, Glenn	4											-	-				1	-	-	-					5
Mercuri, Mark	2	-	-	-	-	-	-	-	-	-	-					-	2	-	1	-	-	-	-	-	5
Misiti, Joe	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	
ODonnell, Gary	-	-	-	-	-	-	1	-	1	-	1	-	-	-	-	-	-	-	-	1	-	1	2	1	8
Olarenshaw, Ricky			-	-		-	-	-	-						-	-	-	-	-	-	-	-	-	-	
Plain, Bradley				-	-						-	-	-	-	-										
Ridley, Todd	1			-	-																1				2
Salmon, Paul			3	7	15	-			8	7	3	18	9	18	8	6	15	18	22	9	2	14	6	6	194
Somerville, Peter			5			14	5	10		16	11		10	3	10	6	3	5	5	8	12	9	18	5	155
Sporn, Kieran	-	-	-		1														-						1
Symons, Michael				-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-			1
Thompson, Mark		-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-			1	-	2
Wallis, Dean		-								-					-	-		-	1	-				-	1
Wanganeen, Gavin	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-		-	-	-	-	-	
Watson, Tim							-	-	-	-	-	-	-	-	-	-	1	-			-	-	-	-	1
Totals	40	8	23	24	21	19	20	17	31	24	16	31	19	23	19	12	24	25	29	19	18	26	31	13	532
Opponent	WC	CA	CW	SY	FO	GE	SK	AD	FI	HW	ME	RI	BB	NM	WC	CA	CW	SY	FO	GE	CA	WC	AD	CA	
