Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	Tot
Bardsley, Kristian																					1				1
Beveridge, Luke	1	-	-	-	2	3	2	1	4		1	-	2	1	-	-	-	1	-						18
Brown, Tony	4	1	2	1	1	-				3	2	-	1	-	2	1	3	-	2	1	6	-	-	-	30
Burke, Nathan	6	1	5	5	10		6	5	5	10	9	3	6	3	9	10	6	6	8	12		8	6	4	143
Campbell, Brad										-	-	3	2	-	3	-	-	1	1	-	-	3	-		13
Cook, Brett						1										1	2		1	-	-	-	-	5	10
Cranage, Sam																			-						
Cripps, Jason	4	-				7	1																		12
Daniels, Jayson			1	-	-	-	-																2	3	6
Elliott, Tim									1	-	-	-	-	1	1	-	-	1	-		-	-			4
Everitt, Peter	2	2	1	4	1	5	1	-	-	-	3	5	-	3	3	3	2	4	3	3	2	4	2	2	55
Hall, Barry	-	-	-	1	1		-	-		-	-						2	-					1	-	5
Harvey, Robert	-	6	5	9	12	9	10	4	12	13	8	6	9	4	9	6	8	8	8	3	11	8	4	5	177
Healy, Daniel	2	-			1	-	2	2	1	1	2	1	-	1	-	-	-								13
Heatley, Jason	-	-	-	-	-	-	-		1	-	2	-	-	1	-	-	-	-	-				1	-	5
Hudghton, Max	-	-	1	-	-	-	1	-	-	1	-	-	-	-	-	-	1	-	-	-	1	-	1	1	7
Jones, Austinn	1	-	-	-	-	-	2	-	1	1	2	-	1	1	5	3	-	-		1	2	1	1	2	24
Keogh, Rod	-	1	1	-						1												-			3
Knowles, Brett			3	-	1			-										1	-	-	12	5	-		22
Lappin, Matthew	1	1			1	-	-	2	1			-	-	-	-		-				4	-	1	1	12
Loewe, Stewart	-	3	3	-	5		3	2	-			1	-	4	1	-				1	4	2	2	-	31
McLaren, Joe						2	2	-	1									2	3	3	4	1	-	1	19
Mitchell, Gavin	4	1	1	3	1	2	3	1	1	-	3	1	2	3	1		2	-	-	-	-	-	1	5	35
Peckett, Justin	-	-	-	1	-	-	-	1	-		1	1	-	1	-	3		1	-	1	1	-		2	13
Sierakowski, David	1	2	-	1	-	-	1	-	-	1	3	1	2	1	-	-	2	-	-	1	1	-	1	1	19
Sziller, Steven	1	2	2	3		4	5	3	1	5	1	1	5	4	4	2	2	2	1	3			-	2	53
Thompson, Andrew	5	-	5	2	5			-	-	2	3	5	8	3	2	1	1	6	4	6	7	-	9	-	74
Thompson, Ben						-				1										1	-	1			3
Traianidis, Jason								-	1	-	-					1				-	-	-			2
Wakelin, Darryl	-	1	1	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-	3	-	-			1	8
Wakelin, Shane	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	1	1	-	-	2	-	-	1	7
Winmar, Nicky	-	1	5	-	-	3	6	1	1	6	3	6	2	3	2	-	1	1	2	2		3	1	4	53
Young, Matthew			2	-	2	-	2	-	-	-	3	1	-	1	3	-	3	3	-	2	2		-	1	25
Totals	32	22	38	30	43	36	47	22	32	45	46	35	42	35	46	31	36	38	36	40	60	36	33	41	902
Opponent	GE	ES	AD	HW	CA	WC	BL	PA	FR	SY	RI	CW	ME	WB	NM	GE	ES	AD	HW	CA	WC	BL	SY	ME	
