Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Biddiscombe, Craig	3	7	6	3	6	10	3	2	3	-																43
Bourke, David	4							2	4			4	4	5	4	3	4	1	4	2	1			-		42
Bowden, Joel	7	9	11	5	12	8	9	9	2	8	10	13	8	6	10	6	4	7	5	6	5	9	12	9	7	197
Broderick, Paul			1	3	6	3	3	1		7	4	-	1	8	5	4	3	6	3	5	6	3	2	6	5	85
Cameron, Leon	3	4	7	3	8	6	4	8	4	6	5	3	2	4	3	3	3	1	2	4	6	6	2	4	6	107
Campbell, Wayne	9	6	5	11	11	3	12	12	10	8	9	12	11	15	8	11	10	18	7	4	10	9	3	6	7	227
Chaffey, Mark	7	3	4	8	5	8	6	1	5	2	8	1	5	5	-	5	9	6	8	5	6	6	9	6	5	133
Coughlan, Mark									6	2			2			1	2									13
Daffy, Nick	10	-				1	3	4		4	6	4		6	2									-		40
Dragicevic, Marc		3	6	1	2	3																				15
Fiora, Aaron	-	5	1	1	1											2	4	5	6	4	2	1	2		-	34
Gale, Brendon	3	2	8	5	2	7	6	8	4	5	9	5			2	4	11	13	5	4	5		2	7	7	124
Gaspar, Darren	2	2	7	5	4	8	6	7	3	4	4	7	7	3	9	4	5	3	8	3	4	5	8	2	7	127
Hall, Ray	6	6	6	-	2	2	3		5	3	4	6	4	6								4	3	4	2	66
Haynes, Ben								1											2	-						3
Hilton, Rory	8	5	9	8	9	9	7	4	4	4	3				3	6	5	5	4	10	5	5	8	4	4	129
Holland, Ben	7	1	7	7	8	4	3	9	8	10	9	6	7	9	5	14	6	9	7	7	10	12	4	3	6	178
Kellaway, Andrew	4	6	5	9	4	8	3	7	4	5	7	8	1	8	3	8	2	7	4	6	4	2	2	3	2	122
Kellaway, Duncan		4	3	4	5	5	7	4	10	7	5										4	2	3	7	5	75
King, Clinton	1										2	7	5	9	5	7	5	8	6	11	5	13	3	4	8	99
Knights, Matthew	13	2	8	4	7	12	4	4	11	3	9	7	7	6	8	7	7	7	12	3	4	10	5	7	10	177
Krakouer, Andrew							3	3	-																	6
Mills, Andrew										3	-	3	2	-												8
Ottens, Brad	5	5		6	9	8	14	8	7	14	5	10	9	10	9	16	8	5	11	19	15	5	12	7	8	225
Pettifer, Kayne												1	6	3	6	3	-	1								20
Poyas, Ezra																						3			1	4
Proctor, Lionel							3																			3
Richardson, Matthew	7	7	10	5	8	13	9	11			2		4	5	9	12	2	8	9	10	12	8	5	13	6	175
Rogers, Matthew	5	1	6	3	2	4			2	3	4	2	2	3	4	3	2	2	4	2	4	8	4	1	3	74
Sziller, Steven	8	2	3	7	2	1	3	2	5			2	6	5	4	4	2	1	7	3	7	6	4	4	3	91
Tivendale, Greg	5	7	11	6	7	6	3	4	6	5	3	6	7	2	1	6	3	-	8	4	3	1	4	6	3	117
Torney, Jason	8	6	1	7	3	1			6	8	7	4	3	6	8	3	5	3	5	2	3	6	6	5	1	107
Vardy, Royce			3							7	-	2	2	5	-			-	1							20
Zantuck, Ty							8	1	3											1	1	1	1			16
Totals	125	93	128	111	123	130	122	112	112	118	115	113	105	129	108	132	102	116	128	115	122	125	104	108	106	2902
Opponent	ME	WB	BL	CW	WC	KA	ES	AD	GE	FR	CA	SY	SK	HW	PA	ME	WB	CW	BL	WC	KA	ES	ES	CA	BL	
