Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	EF	Tot
Allison, Brett	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	2
Archer, Glenn		-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	1
Bardsley, Kristian															-	-						
Blakey, John	-	-	-	-	-	-					3	-	-	-	-	-	-	-	-	-	-	3
Bower, Brendan	-	-																				
Buckley, Ben				-	-		-	-									-				-	
Carey, Wayne	2	-	-	3	-	-	2	-	2	-	1	1	-	3	-			1	-	1	-	16
Clarkson, Alastair						-	-	-	-	-	-	-	-	-	-	-	-	-		-		
Crocker, Darren	-	-	-	-								-	-	-	-	-	-	-	-	-	-	
Daniltchenko, Jason			-	-																		
Dwyer, Anthony									-	-		-	-			-						
Eppelstun, Greg	-																					
Fairley, Ian	-	-	-	-	-	-	-	-	-	-	-	-	-								-	
German, Peter	-	-				-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Ishchenko, Alex	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	3
Laidley, Dean	-	-	-	-	2	-	-	2	-	-	-	-	-				-	-	2	-		6
Larkin, Matthew	-	-	-	-	-				-	-	-	-	-	-			-				-	
Longmire, John	3	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		4
Mann, Peter													-	-	-	-	-	-	-	-	-	
Martyn, Mick	-	-	-	-	-	-	-	-	-	-	2			1	-	-	-	-	-	-	-	3
McAdam, Adrian					-	3	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	5
McKernan, Corey																-						
Pyman, Robert			-	-	-	-	-	-									-	-	-	-	-	
Roberts, Mark	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Rock, Anthony	-	-	-		-	2	-	-	-	-	-	-	-	-	-			-	-		-	2
Romero, Jose	-	-	-	-	-	-	-	-	-	-	-	-		-	-				-	-		
Schwass, Wayne	1	2	3	2	3	-	-	-	-	3	-			-	-	-	-	-	-	-	-	14
Sholl, Brad																-						
Sholl, Craig	-	-	-	-	-	-	-	-	3	-	-	-	-	-	2	-	-	-	-	-	-	5
Smith, Ross	-	-	-	-	-	-	3	-	-	-	-	-	-	-	3	-	-	-	3	-	-	9
Stevens, Anthony	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1
Totals	6	2	4	5	5	5	6	2	6	6	6	1	1	4	5	0	0	4	5	1	0	74
Opponent	BB	SK	GE	ME	RI	SY	FO	AD	CA	CW	WC	HW	FI	ES	BB	SK	GE	RI	SY	FO	WC	
