Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	EF	Tot
Allison, Brett	3	2	1	2	-	-	-	-	-	-	3	1	1	2	1	-	-	-	-	-	-	16
Archer, Glenn		1	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4
Bardsley, Kristian															1	-						1
Blakey, John	2	-	-	-	-	1					-	-	-	-	-	-	-	1	-	-	-	4
Bower, Brendan	-	1																				1
Buckley, Ben				-	-		-	-									1				1	2
Carey, Wayne	2	2	-	2	4	2	1	3	3	4	1	3	1	1	2			6	1	6	-	44
Clarkson, Alastair						-	-	-	-	-	1	-	-	-	-	-	-	-		1		2
Crocker, Darren	2	-	3	1								-	-	-	-	3	1	-	-	-	-	10
Daniltchenko, Jason			-	-																		
Dwyer, Anthony									1	1		1	-			1						4
Eppelstun, Greg	-																					
Fairley, Ian	-	-	-	-	-	-	-	-	-	-	-	-	-								-	
German, Peter	1	-				1	-	1	2	-	1	1	-	-	-	1	-	1	-	2	-	11
Ishchenko, Alex	-	-	-	-	-	-	-	-	-	2	-	-	1	1	-	-	-	-	1	1	-	6
Laidley, Dean	-	-	-	-	1	-	-	-	-	-	-	-	-				1	-	-	-		2
Larkin, Matthew	1	-	-	-	-				-	-	-	-	-	-			-				-	1
Longmire, John	5	-	5	-	1	4	1	1	-	1	1	-	1	4	2	1	2	-	-	-		29
Mann, Peter													1	1	1	-	-	-	-	-	-	3
Martyn, Mick	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	
McAdam, Adrian					2	6	3	2	3	2	2	7	4	2	2	3	2	1	1	1	-	43
McKernan, Corey																-						
Pyman, Robert			-	-	-	-	-	1									-	-	-	-	-	1
Roberts, Mark	-	3	3	-	-	-	-	2	-	-	-	-	1	1	1	1	1	1	-	-	-	14
Rock, Anthony	2	-	-		-	3	1	-	2	-	-	-	-	-	1			-	-		-	9
Romero, Jose	1	1	-	1	-	-	1	1	1	2	-	-		-	1				1	-		10
Schwass, Wayne	1	-	-	1	1	-	-	-	-	-	-			-	-	-	1	1	-	-	-	5
Sholl, Brad																-						
Sholl, Craig	-	-	1	3	-	-	-	1	-	-	1	-	-	-	-	-	1	-	-	-	1	8
Smith, Ross	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1
Stevens, Anthony	-	-	-	2	-	-	-	1	1	-	-	1	2	-	1	1	-	1	1	-	-	11
Totals	20	10	15	13	9	17	7	13	13	12	10	14	12	12	13	11	10	12	6	11	2	242
Opponent	BB	SK	GE	ME	RI	SY	FO	AD	CA	CW	WC	HW	FI	ES	BB	SK	GE	RI	SY	FO	WC	
