Player	R1	R2	R3	R4	R6	R7	R8	R9	R10	R11	R12	R13	R14	R16	R17	R18	R19	R20	R21	R22	R23	R24	QF	SF	PF	Tot
Brown, Mitch	-	-	-	-														-	-							
Butler, Sam			-	-	-	-	-	-			-	-	-									-	-	-	-	
Cox, Dean	-	-	-	-	-	2	1	3	2	-	1	1	-	1	-	1	2	1	-	2	-	2	-	-	-	19
Dalziell, Bradd				-																						
Darling, Jack	1	2	-	2	3	1	1	1	-	-	-	-	1	3	-	2	2	3	-			-	2	1	3	28
Ebert, Brad	2	1	1	2	-	-	-	-	-		-	-	-	1	-	-	1	2	-	1	2	1	-			14
Embley, Andrew	-	2	-	-	2	-		1	-	-	-	1	-	1	-	1	1	1	1	1	1	-	-	-	-	13
Gaff, Andrew	-	1	-	1	-		1								1	-	-	-	1	-	1	-	-	1	-	7
Glass, Darren	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	
Hams, Ashton	-																		-	-	-					
Hurn, Shannon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-	2
Kennedy, Josh	2	-	2	5	2	5	3	11	3	4	3	2	4	1	3	5			1	3	1	-	2	1	2	65
Kerr, Daniel		-	-	-	-	-		-	-		-	-	-	-				-	-	-				-	1	1
LeCras, Mark	-				-	2	-	3	-	1	3	2	3	1	3	2	2	1	-	3	2	1	1	3	2	35
Lycett, Scott																	1									1
Lynch, Quinten	-	2	5	-	-	1	2	3	-	1	1	2	4		1	1	1	1	1	1	-	1	1	2	-	31
Mackenzie, Eric			-	-	-								-	-	-	-	-		-	-	-	-	-	-	-	
Masten, Chris	-						-	1	-	-	-							-		-	1	2	-	-	-	4
McGinnity, Patrick		-	-		-		-	-	-	-	-	-		-		-	-	-	-		-	-	-	-	-	
Naitanui, Nic		-	-	1	-	1	-	2	2	1	1	1	1	-	1	-		2	-	-	-	-	-	-	-	13
Nicoski, Mark	-	-	-	-	5	-	-	2	1	1	-	-	1	-	1	-	1	-	3	1	-	-	-	1	-	17
Priddis, Matt	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-	1	-	1	-	-	-	-	4
Rosa, Matt	-	-	-	1	-	-	2	-	-	-	1	1	-	-	-	-	-	-								5
Schofield, Will	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	
Selwood, Adam	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Selwood, Scott	-	-	-	1	-	-	-	-	-	-	1	-	-	-	-	-	2	-	-	-	1	-	1	-	2	8
Sheppard, Brad	-	-				-	-		-	-																
Shuey, Luke	-	-	-	-	1	-	-	-	-	1	-	-	1	1	-	1	-	-	-	-	-	1	-	-	-	6
Smith, Ashley					-	-	-	-	-	-	-	-	2	1	-	-	-	1	1	-	-	-				5
Stevens, Koby														-	-											
Strijk, Andrew										-																
Swift, Tom										-		-	-	2			-									2
Waters, Beau	-	-													-	-	-			-	-	-	-	-	-	
Weedon, Gerrick						-																				
Totals	5	8	8	13	14	12	10	27	8	10	11	11	17	12	10	13	13	13	9	13	10	8	7	9	10	281
Opponent	NM	PA	SY	HW	ME	ES	FR	WB	CW	GC	AD	PA	CA	GE	SK	FR	WB	RI	ME	ES	BL	AD	CW	CA	GE	
