Player	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	EF	SF	GF	Tot
Ball, Jason	3																									3
Barich, Adrian					8																					8
Brennan, Michael				14	10	7	2			10	9	5				13	9	9	7	21	9	7	5		5	142
Clape, Matt												19	5	21	7		18	16	9	6	10					111
Evans, Tony								9	17	21	12	15	11		11	10	23	18		23	10	28	19	14	20	261
Harding, Paul		11	6	7								11	14	9	19	21	19	16	14	10		13	16	21	10	217
Hart, David												20	20	17	24	11			15	12	3			5		127
Heady, Brett	14			12			17	4			6								15	22	10	16	20		28	164
Hepburn, Mark						13	19	6									14	15	6	13	10					96
Hynes, David	17	15	16	9	14	8	15	10	13	16	10	6	14	9	16	4								18		210
Irving, Dean	14																									14
Jakovich, Glen	20	14	14	10	20	25	24	15	23	14	10		12	26	24	18	12	24	12	18	18	11	13	13	15	405
Kemp, Dean	28	27	24	31	18	20	17	25	16	28	26	27	19	12	22	19	35	9	11	25	13	19	27	25	20	543
Krummel, Brendan					1																					1
Laidley, Dean	21	11	18	19	18	11	23	21	30	23	20	15					6	12								248
Lamb, Dwayne		25	11	21	19	28	23	19	19	22	21	16	19	21	18	23	19	22		25	13	23	2	23	12	444
Langdon, Karl		17	14	19	11	20	18	12	11	13	10	14		14	14	4	13			19	14	21	16	1	14	289
Lewis, Chris	18	23	23	19	18	15	25	16	21	22	14	6	18	15	18	14	14	10			8	11	12	13	9	362
Lockyer, Andrew		9	8																							17
Mainwaring, Chris	23	22	21	18	22	12	26	17	26	18	22	29	24	20	26	7	30	20	22	30	25	35	15	27	12	549
Matera, Peter	26	21	14	26		18	23	24	20		18	20	23	14	19	18	16	24	14	18	6	16	28	35	18	459
McIntosh, Ashley							16	13	8	6	9	10	9	14	2			13	5	15	6	10	7	10	14	167
McKenna, Guy	15	16	22				16							3					15	21	14	13	17	20	14	186
Metropolis, Daniel		12	3		9	6																				30
Nichols, Trent	15			10	16	9																				50
Peos, Paul		22	13	18	10	17							7	12	5	9										113
Pyke, Don	21	7	13														20	13	13	17	23	14	23	26	8	198
Sumich, Peter				9	8			9	4	10	8	6	25	8	5	3	4	14	7	8		9	11	16	11	175
Turley, Craig	15	27	23	12			12	10	12	25	21	27	21	15	16	21	27	20	19	18	13	21	14	22	5	416
Turnbull, Ryan	10	10	7		10	1											7									45
Ugle, Troy	2					13	12	9	22	3																61
Waterman, Chris	26	13	11	8	13	23	19	14	21	26	14	25	25	14	15	13		25	14	18	15	14	20	5	14	405
Watters, Scott	15	6	5	14	25	17	22	11	24	15	11		15	13	23	16			19		24	13				288
West, Robert									5	1																6
White, Mitchell	8			11	7	6	12	11	8	5	12	15	12	7	10	18	1	21	17		3	9	9	17	12	231
Wilson, Peter									26	24	15	14	16	18	24	21	13	17	7				9	23	7	234
Worsfold, John	10	16	13	19	17	15	17	12	12	12	14	10	7			18	10	15	7	9		19	14	16	12	294
Totals	321	324	279	306	274	284	358	267	338	314	282	310	316	282	318	281	310	333	248	348	247	322	297	350	260	7569
Opponent	SY	SK	GE	BB	RI	FI	FO	CA	AD	NM	CW	HW	ES	ME	SY	SK	GE	BB	RI	FI	FO	CA	HW	GE	GE	
