Player	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	EF	SF	GF	Tot
Ball, Jason	-																									
Barich, Adrian					6																					6
Brennan, Michael				7	2	2	-			2	5	4				3	5	2	3	10	2	2	1		2	52
Clape, Matt												8	2	5	3		7	5	3	4	1					38
Evans, Tony								3	5	11	5	8	4		3	5	9	8		12	4	8	7	7	6	105
Harding, Paul		4	3	4								3	5	1	6	4	5	11	4	4		3	7	6	3	73
Hart, David												5	5	3	5	1			4	3	-			2		28
Heady, Brett	2			4			1	-			2								5	6	5	3	6		8	42
Hepburn, Mark						6	8	5									8	5	3	6	3					44
Hynes, David	7	8	6	3	4	4	3	2	2	7	4	5	4	3	6	2								8		78
Irving, Dean	7																									7
Jakovich, Glen	11	5	5	3	6	5	7	7	3	1	3		9	11	11	4	5	10	1	6	-	5	3	5	2	128
Kemp, Dean	1	11	9	8	7	3	5	7	7	6	10	11	6	4	11	5	13	2	4	13	3	6	7	3	1	163
Krummel, Brendan					1																					1
Laidley, Dean	11	2	3	7	7	1	12	3	16	6	9	5					1	7								90
Lamb, Dwayne		8	2	9	5	10	7	4	8	7	4	6	7	2	6	4	8	11		6	7	11	1	6	4	143
Langdon, Karl		9	4	5	5	8	7	3	2	6	3	5		7	2	2	5			7	6	2	4	-	8	100
Lewis, Chris	4	4	6	8	6	3	9	3	5	4	4	2	4	2	7	3	2	2			2	4	4	3	2	93
Lockyer, Andrew		2	-																							2
Mainwaring, Chris	6	4	10	8	8	1	5	2	3	2	4	11	6	5	6	2	14	6	3	12	1	9	2	6	4	140
Matera, Peter	9	11	2	6		3	3	5	5		4	4	6	3	6	5	6	4	5	6	1	2	6	5	3	110
McIntosh, Ashley							2	6	3	2	3	4	4	9	-			5	2	7	3	3	1	5	4	63
McKenna, Guy	7	6	14				10							3					6	12	4	7	10	10	6	95
Metropolis, Daniel		3	-		3	2																				8
Nichols, Trent	4			4	4	2																				14
Peos, Paul		6	4	5	-	4							1	3	1	4										28
Pyke, Don	9	5	5														6	4	5	7	4	3	5	8	4	65
Sumich, Peter				1	1			-	1	-	1	-	1	1	1	1	-	-	-	1		-	-	3	1	13
Turley, Craig	6	12	8	7			4	4	4	12	5	8	9	5	6	9	9	7	6	6	3	8	4	11	2	155
Turnbull, Ryan	1	5	3		5	-											-									14
Ugle, Troy	1					5	3	3	7	1																20
Waterman, Chris	6	4	3	2	5	6	9	3	9	5	2	12	3	1	5	5		6	7	6	1	7	8	1	2	118
Watters, Scott	8	1	4	4	7	8	7	4	10	4	2		5	5	7	3			7		8	6				100
West, Robert									1	-																1
White, Mitchell	7			6	1	1	4	3	2	1	3	1	3	1	2	3	1	10	11		-	5	6	4	5	80
Wilson, Peter									5	8	6	4	5	4	12	8	4	9	1				2	8	1	77
Worsfold, John	7	9	6	7	3	4	9	4	6	6	5	2	2			6	6	8	4	4		5	4	8	2	117
Totals	114	119	97	108	86	78	115	71	104	91	84	108	91	78	106	79	114	122	84	138	58	99	88	109	70	2411
Opponent	SY	SK	GE	BB	RI	FI	FO	CA	AD	NM	CW	HW	ES	ME	SY	SK	GE	BB	RI	FI	FO	CA	HW	GE	GE	
