Player	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	EF	SF	GF	Tot
Ball, Jason	1																									1
Barich, Adrian					1																					1
Brennan, Michael				1	2	2	-			-	1	1				6	1	-	-	2	4	1	-		-	21
Clape, Matt												-	-	3	2		-	2	1	1	3					12
Evans, Tony								1	2	-	-	1	-		3	-	3	2		1	2	2	1	1	1	20
Harding, Paul		3	-	2								1	3	-	4	4	2	1	-	2		4	1	4	-	31
Hart, David												2	2	1	2	1			2	-	-			1		11
Heady, Brett	-			2			1	1			1								1	2	2	2	3		2	17
Hepburn, Mark						1	2	-									2	1	1	3	1					11
Hynes, David	-	-	2	-	1	-	1	2	2	2	2	1	1	2	-	1								-		17
Irving, Dean	1																									1
Jakovich, Glen	3	2	3	1	2	2	-	3	-	1	2		-	3	4	1	1	-	1	1	4	-	-	-	2	36
Kemp, Dean	4	1	1	1	2	1	-	1	-	2	-	1	-	2	-	2	2	-	1	3	1	1	4	-	1	31
Krummel, Brendan					-																					
Laidley, Dean	1	1	3	-	1	3	1	3	1	-	1	-					2	1								18
Lamb, Dwayne		2	1	1	-	1	1	1	-	1	1	-	1	2	2	-	1	1		3	2	1	1	-	2	25
Langdon, Karl		1	2	2	-	-	-	-	-	1	2	-		4	-	-	-			1	4	1	1	-	1	20
Lewis, Chris	2	3	2	1	6	1	2	2	-	2	2	1	-	2	1	1	2	2			1	1	-	-	2	36
Lockyer, Andrew		1	-																							1
Mainwaring, Chris	4	3	2	3	1	2	1	1	5	2	1	2	1	4	4	-	4	4	1	2	4	5	3	6	-	65
Matera, Peter	2	3	3	-		3	2	-	-		1	2	3	3	2	1	1	2	1	2	-	2	6	3	2	44
McIntosh, Ashley							-	1	-	1	-	4	-	2	1			1	-	1	-	-	-	1	2	14
McKenna, Guy	1	3	1				1							-					2	1	4	-	-	-	2	15
Metropolis, Daniel		2	1		-	2																				5
Nichols, Trent	-			-	-	1																				1
Peos, Paul		1	1	1	-	2							-	1	1	-										7
Pyke, Don	2	1	1														-	-	2	1	2	-	1	-	1	11
Sumich, Peter				-	1			-	-	2	2	2	4	2	1	-	1	1	-	1		-	2	4	3	26
Turley, Craig	2	2	-	-			2	-	-	3	4	5	2	1	2	-	2	1	2	-	2	-	2	1	-	33
Turnbull, Ryan	3	-	-		3	-											1									7
Ugle, Troy	-					1	1	-	1	-																3
Waterman, Chris	1	-	3	3	1	2	2	2	-	4	1	1	1	2	2	-		1	2	2	3	1	2	-	2	38
Watters, Scott	3	-	-	1	1	1	-	-	1	1	2		-	1	-	1			1		3	1				17
West, Robert									-	-																
White, Mitchell	2			-	1	1	1	1	-	-	-	1	1	3	1	1	-	2	-		-	1	1	1	1	19
Wilson, Peter									-	2	-	-	-	1	1	1	2	-	1				-	2	1	11
Worsfold, John	2	1	3	-	-	-	1	3	1	-	2	1	1			-	2	1	-	2		4	-	2	1	27
Totals	34	30	29	19	23	26	19	22	13	24	25	26	20	39	33	20	29	23	19	31	42	27	28	26	26	653
Opponent	SY	SK	GE	BB	RI	FI	FO	CA	AD	NM	CW	HW	ES	ME	SY	SK	GE	BB	RI	FI	FO	CA	HW	GE	GE	
