Player	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	EF	SF	GF	Tot
Ball, Jason	3																									3
Barich, Adrian					2																					2
Brennan, Michael				7	8	5	2			8	4	1				10	4	7	4	11	7	5	4		3	90
Clape, Matt												11	3	16	4		11	11	6	2	9					73
Evans, Tony								6	12	10	7	7	7		8	5	14	10		11	6	20	12	7	14	156
Harding, Paul		7	3	3								8	9	8	13	17	14	5	10	6		10	9	15	7	144
Hart, David												15	15	14	19	10			11	9	3			3		99
Heady, Brett	12			8			16	4			4								10	16	5	13	14		20	122
Hepburn, Mark						7	11	1									6	10	3	7	7					52
Hynes, David	10	7	10	6	10	4	12	8	11	9	6	1	10	6	10	2								10		132
Irving, Dean	7																									7
Jakovich, Glen	9	9	9	7	14	20	17	8	20	13	7		3	15	13	14	7	14	11	12	18	6	10	8	13	277
Kemp, Dean	27	16	15	23	11	17	12	18	9	22	16	16	13	8	11	14	22	7	7	12	10	13	20	22	19	380
Krummel, Brendan					-																					
Laidley, Dean	10	9	15	12	11	10	11	18	14	17	11	10					5	5								158
Lamb, Dwayne		17	9	12	14	18	16	15	11	15	17	10	12	19	12	19	11	11		19	6	12	1	17	8	301
Langdon, Karl		8	10	14	6	12	11	9	9	7	7	9		7	12	2	8			12	8	19	12	1	6	189
Lewis, Chris	14	19	17	11	12	12	16	13	16	18	10	4	14	13	11	11	12	8			6	7	8	10	7	269
Lockyer, Andrew		7	8																							15
Mainwaring, Chris	17	18	11	10	14	11	21	15	23	16	18	18	18	15	20	5	16	14	19	18	24	26	13	21	8	409
Matera, Peter	17	10	12	20		15	20	19	15		14	16	17	11	13	13	10	20	9	12	5	14	22	30	15	349
McIntosh, Ashley							14	7	5	4	6	6	5	5	2			8	3	8	3	7	6	5	10	104
McKenna, Guy	8	10	8				6							-					9	9	10	6	7	10	8	91
Metropolis, Daniel		9	3		6	4																				22
Nichols, Trent	11			6	12	7																				36
Peos, Paul		16	9	13	10	13							6	9	4	5										85
Pyke, Don	12	2	8														14	9	8	10	19	11	18	18	4	133
Sumich, Peter				8	7			9	3	10	7	6	24	7	4	2	4	14	7	7		9	11	13	10	162
Turley, Craig	9	15	15	5			8	6	8	13	16	19	12	10	10	12	18	13	13	12	10	13	10	11	3	261
Turnbull, Ryan	9	5	4		5	1											7									31
Ugle, Troy	1					8	9	6	15	2																41
Waterman, Chris	20	9	8	6	8	17	10	11	12	21	12	13	22	13	10	8		19	7	12	14	7	12	4	12	287
Watters, Scott	7	5	1	10	18	9	15	7	14	11	9		10	8	16	13			12		16	7				188
West, Robert									4	1																5
White, Mitchell	1			5	6	5	8	8	6	4	9	14	9	6	8	15	-	11	6		3	4	3	13	7	151
Wilson, Peter									21	16	9	10	11	14	12	13	9	8	6				7	15	6	157
Worsfold, John	3	7	7	12	14	11	8	8	6	6	9	8	5			12	4	7	3	5		14	10	8	10	177
Totals	207	205	182	198	188	206	243	196	234	223	198	202	225	204	212	202	196	211	164	210	189	223	209	241	190	5158
Opponent	SY	SK	GE	BB	RI	FI	FO	CA	AD	NM	CW	HW	ES	ME	SY	SK	GE	BB	RI	FI	FO	CA	HW	GE	GE	
