Player	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	EF	SF	GF	Tot
Ball, Jason	-																									
Barich, Adrian					-																					
Brennan, Michael				-	-	2	-			-	-	-				-	-	-	-	1	-	-	-		-	3
Clape, Matt												1	-	-	-		1	2	-	-	-					4
Evans, Tony								3	2	1	-	-	-		2	-	-	3		2	-	1	-	1	3	18
Harding, Paul		-	-	-								-	-	-	-	-	1	1	-	-		-	-	-	-	2
Hart, David												1	-	-	-	-			-	-	-			1		2
Heady, Brett	3			1			7	-			2								4	-	-	2	1		-	20
Hepburn, Mark						-	-	-									-	-	-	-	-					
Hynes, David	3	-	4	-	2	1	1	-	1	1	-	-	1	2	2	-								1		19
Irving, Dean	-																									
Jakovich, Glen	-	-	-	-	1	1	1	1	-	-	-		-	-	-	-	-	-	2	1	-	-	-	-	-	7
Kemp, Dean	-	1	-	1	-	-	-	-	-	2	1	-	1	-	1	1	-	3	1	-	-	-	1	1	-	14
Krummel, Brendan					-																					
Laidley, Dean	-	-	-	1	1	-	-	-	-	-	-	-					-	-								2
Lamb, Dwayne		-	-	-	-	-	-	-	1	2	-	-	-	1	-	-	-	-		-	-	1	-	1	-	6
Langdon, Karl		1	3	-	3	-	-	2	2	-	-	-		2	1	-	3			1	-	1	2	-	-	21
Lewis, Chris	-	2	2	1	1	1	-	-	2	1	-	1	1	-	1	1	1	-			1	-	1	-	-	17
Lockyer, Andrew		-	-																							
Mainwaring, Chris	2	-	-	-	1	-	-	-	-	-	-	-	2	1	1	-	-	1	-	-	-	-	-	2	-	10
Matera, Peter	1	1	1	2		-	2	-	2		-	1	3	1	3	-	-	2	1	-	-	1	3	2	5	31
McIntosh, Ashley							4	-	1	-	-	-	1	-	-			6	1	-	-	2	-	-	-	15
McKenna, Guy	-	-	-				-							-					-	1	-	-	-	1	-	2
Metropolis, Daniel		6	-		1	1																				8
Nichols, Trent	1			1	1	-																				3
Peos, Paul		4	2	2	2	-							-	1	1	-										12
Pyke, Don	1	-	1														2	-	-	3	-	-	2	-	-	9
Sumich, Peter				2	1			6	-	4	2	5	11	5	2	1	3	6	5	3		8	4	8	6	82
Turley, Craig	2	-	-	1			1	1	1	1	1	1	-	-	1	-	2	4	-	-	-	1	-	-	-	17
Turnbull, Ryan	1	-	1		-	-											-									2
Ugle, Troy	-					4	3	1	-	-																8
Waterman, Chris	-	-	1	-	-	1	-	-	-	-	-	-	-	-	1	-		-	-	2	-	-	-	1	-	6
Watters, Scott	-	1	-	1	-	-	-	1	1	-	-		-	-	-	-			-		1	-				5
West, Robert									-	-																
White, Mitchell	-			-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-		1	1	-	-	-	4
Wilson, Peter									4	2	1	1	-	1	-	-	2	1	-				-	1	2	15
Worsfold, John	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	-	1	-		-	-	-	-	1
Totals	14	16	15	13	14	11	19	15	17	14	8	11	20	15	16	3	15	29	15	14	3	18	14	20	16	365
Opponent	SY	SK	GE	BB	RI	FI	FO	CA	AD	NM	CW	HW	ES	ME	SY	SK	GE	BB	RI	FI	FO	CA	HW	GE	GE	
