Player	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	EF	SF	GF	Tot
Ball, Jason	-																									
Barich, Adrian					-																					
Brennan, Michael				-	-	-	-			-	-	-				-	-	-	-	-	-	-	-		-	
Clape, Matt												-	-	-	-		-	-	-	-	-					
Evans, Tony								-	-	-	-	-	-		-	-	-	-		2	-	3	-	-	-	5
Harding, Paul		-	-	-								-	-	-	-	-	-	1	-	-		-	-	-	-	1
Hart, David												-	-	-	-	-			-	-	-			-		
Heady, Brett	-			-			1	-			-								-	-	-	-	-		-	1
Hepburn, Mark						-	-	-									-	-	-	-	-					
Hynes, David	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-								-		
Irving, Dean	-																									
Jakovich, Glen	-	-	-	-	-	-	-	-	-	-	-		-	2	2	-	-	3	3	-	-	-	-	-	-	10
Kemp, Dean	-	-	-	1	-	-	-	-	-	3	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	7
Krummel, Brendan					-																					
Laidley, Dean	-	-	-	-	-	-	-	-	2	-	-	-					-	-								2
Lamb, Dwayne		-	-	-	-	-	-	3	-	2	-	-	2	-	-	-	-	-		-	-	2	-	-	-	9
Langdon, Karl		-	-	-	-	-	-	-	-	-	-	-		-	-	-	-			-	-	-	-	-	-	
Lewis, Chris	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	1
Lockyer, Andrew		-	-																							
Mainwaring, Chris	-	-	-	-	2	-	-	-	-	-	-	3	-	3	-	-	1	-	1	-	-	-	-	-	-	10
Matera, Peter	1	-	-	-		-	3	-	-		1	-	1	-	3	-	-	-	-	-	-	-	-	-	-	9
McIntosh, Ashley							2	-	-	-	-	-	-	-	-			2	-	1	-	-	-	-	-	5
McKenna, Guy	-	-	-				-							-					-	-	-	-	-	-	-	
Metropolis, Daniel		-	-		-	-																				
Nichols, Trent	-			-	-	-																				
Peos, Paul		2	-	-	-	-							-	-	-	-										2
Pyke, Don	-	-	-														-	-	-	-	-	-	-	-	-	
Sumich, Peter				-	-			-	-	-	-	-	3	-	-	-	-	-	-	-		-	-	-	-	3
Turley, Craig	-	3	-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3
Turnbull, Ryan	-	-	-		-	-											-									
Ugle, Troy	-					-	-	-	3	-																3
Waterman, Chris	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	
Watters, Scott	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-			-		-	-				
West, Robert									-	-																
White, Mitchell	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	
Wilson, Peter									-	-	-	-	-	-	-	-	-	-	-				-	-	-	
Worsfold, John	-	-	-	-	1	-	-	-	-	-	-	-	-			-	-	-	-	-		-	-	-	-	1
Totals	1	6	0	1	3	0	6	3	5	5	1	3	6	5	5	0	4	6	4	3	0	5	0	0	0	72
Opponent	SY	SK	GE	BB	RI	FI	FO	CA	AD	NM	CW	HW	ES	ME	SY	SK	GE	BB	RI	FI	FO	CA	HW	GE	GE	
