Player	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	EF	SF	GF	Tot
Ball, Jason	2																									2
Barich, Adrian					1																					1
Brennan, Michael				5	2	-	1			1	2	-				1	2	2	1	3	-	3	1		1	25
Clape, Matt												4	2	2	1		5	5	5	1	-					25
Evans, Tony								4	6	2	2	3	3		1	1	3	4		4	1	1	2	4	2	43
Harding, Paul		3	2	-								3	3	4	2	9	3	5	2	4		5	9	4	3	61
Hart, David												2	2	1	4	2			2	2	-			1		16
Heady, Brett	9			2			8	-			3								7	6	-	5	6		4	50
Hepburn, Mark						4	6	3									3	6	2	3	4					31
Hynes, David	7	7	3	3	5	-	7	2	2	7	2	-	7	2	9	1								7		71
Irving, Dean	2																									2
Jakovich, Glen	1	1	3	1	7	9	6	5	4	4	1		3	5	7	3	3	8	7	7	3	1	4	4	2	99
Kemp, Dean	3	2	3	2	1	1	3	4	1	1	8	2	3	2	2	5	4	1	2	3	-	6	5	3	3	70
Krummel, Brendan					-																					
Laidley, Dean	3	2	2	1	2	4	4	2	1	2	1	2					2	2								30
Lamb, Dwayne		3	1	1	3	3	3	2	2	-	2	2	3	4	2	4	2	3		1	1	3	-	6	1	52
Langdon, Karl		3	7	4	4	8	4	3	1	2	1	6		2	8	1	6			8	5	7	8	1	-	89
Lewis, Chris	2	6	6	1	1	1	3	2	5	2	2	1	3	1	5	3	1	3			3	3	6	2	2	64
Lockyer, Andrew		-	1																							1
Mainwaring, Chris	5	3	1	2	6	3	2	2	1	1	4	8	6	6	4	3	3	2	7	6	4	5	4	8	1	97
Matera, Peter	5	-	3	6		3	5	4	1		2	2	3	4	1	1	1	3	1	3	1	1	2	7	4	63
McIntosh, Ashley							12	4	3	1	1	-	3	3	1			4	4	3	2	-	3	2	2	48
McKenna, Guy	1	2	2				3							-					4	3	2	5	6	6	3	37
Metropolis, Daniel		4	-		3	1																				8
Nichols, Trent	2			-	1	2																				5
Peos, Paul		12	5	2	4	3							-	-	2	2										30
Pyke, Don	1	2	-														5	2	-	4	1	3	5	-	1	24
Sumich, Peter				6	4			8	1	-	2	3	13	8	3	2	3	10	6	2		2	4	4	6	87
Turley, Craig	-	5	6	-			4	2	4	1	3	7	5	5	4	6	7	7	4	5	3	4	5	4	3	94
Turnbull, Ryan	3	-	-		1	-											3									7
Ugle, Troy	1					5	5	2	7	1																21
Waterman, Chris	9	4	2	3	6	5	5	4	4	2	2	4	10	4	1	3		7	2	5	4	3	4	1	4	98
Watters, Scott	2	1	1	1	-	3	2	-	3	1	1		2	1	2	1			1		1	4				27
West, Robert									2	-																2
White, Mitchell	2			3	2	2	2	1	1	-	7	3	4	1	3	6	-	2	4		1	1	2	5	1	53
Wilson, Peter									3	5	1	4	2	4	4	7	3	2	1				3	3	1	43
Worsfold, John	2	5	2	7	3	1	4	2	-	1	5	2	3			7	3	2	1	-		4	4	3	3	64
Totals	62	65	50	50	56	58	89	56	52	34	52	58	80	59	66	68	62	80	63	73	36	66	83	75	47	1540
Opponent	SY	SK	GE	BB	RI	FI	FO	CA	AD	NM	CW	HW	ES	ME	SY	SK	GE	BB	RI	FI	FO	CA	HW	GE	GE	
